,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,UTAH_ACTION,LA CLIPPERS_SCORE,UTAH_SCORE
0,1,11:45.0,L. Mbah a Moute misses 2-pt jump shot from 8 ft,,0,0
1,1,11:45.0,,Defensive rebound by Team,0,0
2,1,11:31.0,,R. Gobert misses 2-pt hook shot from 4 ft,0,0
3,1,11:30.0,Defensive rebound by A. Rivers,,0,0
4,1,11:17.0,J. Redick makes 3-pt jump shot from 25 ft (assist by L. Mbah a Moute),,3,0
5,1,10:56.0,,Shooting foul by D. Jordan (drawn by R. Gobert),3,0
6,1,10:56.0,,R. Gobert makes free throw 1 of 2,3,1
7,1,10:56.0,,R. Gobert misses free throw 2 of 2,3,1
8,1,10:55.0,Defensive rebound by A. Rivers,,3,1
9,1,10:36.0,Turnover by J. Redick (traveling),,3,1
10,1,10:17.0,,R. Gobert makes 2-pt layup from 3 ft (assist by B. Diaw),3,3
11,1,10:06.0,C. Paul misses 2-pt jump shot from 10 ft,,3,3
12,1,10:05.0,Offensive rebound by D. Jordan,,3,3
13,1,10:03.0,D. Jordan misses 2-pt layup from 2 ft (block by G. Hill),,3,3
14,1,10:00.0,,Defensive rebound by G. Hill,3,3
15,1,9:53.0,,B. Diaw makes 2-pt jump shot from 4 ft,3,5
16,1,9:39.0,J. Redick misses 2-pt jump shot from 22 ft,,3,5
17,1,9:38.0,,Defensive rebound by G. Hill,3,5
18,1,9:31.0,,Shooting foul by J. Redick (drawn by G. Hill),3,5
19,1,9:31.0,,G. Hill makes free throw 1 of 2,3,6
20,1,9:31.0,,G. Hill makes free throw 2 of 2,3,7
21,1,9:20.0,A. Rivers misses 2-pt jump shot from 10 ft,,3,7
22,1,9:19.0,,Defensive rebound by R. Gobert,3,7
23,1,9:12.0,,G. Hayward makes 2-pt dunk at rim,3,9
24,1,9:12.0,LA Clippers full timeout,,3,9
25,1,8:53.0,Personal foul by R. Gobert (drawn by D. Jordan),,3,9
26,1,8:50.0,Shooting foul by B. Diaw (drawn by D. Jordan),,3,9
27,1,8:50.0,D. Jordan misses free throw 1 of 2,,3,9
28,1,8:50.0,Offensive rebound by Team,,3,9
29,1,8:50.0,D. Jordan misses free throw 2 of 2,,3,9
30,1,8:48.0,,Defensive rebound by G. Hill,3,9
31,1,8:31.0,,G. Hayward misses 3-pt jump shot from 24 ft,3,9
32,1,8:31.0,Defensive rebound by A. Rivers,,3,9
33,1,8:23.0,A. Rivers misses 3-pt jump shot from 25 ft,,3,9
34,1,8:23.0,,Defensive rebound by B. Diaw,3,9
35,1,8:11.0,,R. Gobert misses 2-pt jump shot from 12 ft,3,9
36,1,8:10.0,Defensive rebound by D. Jordan,,3,9
37,1,8:04.0,C. Paul makes 2-pt jump shot from 22 ft,,5,9
38,1,8:04.0,Shooting foul by G. Hill (drawn by C. Paul),,5,9
39,1,8:04.0,P. Pierce enters the game for L. Mbah a Moute,,5,9
40,1,8:04.0,C. Paul makes free throw 1 of 1,,6,9
41,1,7:53.0,,Shooting foul by C. Paul (drawn by G. Hill),6,9
42,1,7:53.0,,G. Hill misses free throw 1 of 3,6,9
43,1,7:53.0,,Offensive rebound by Team,6,9
44,1,7:53.0,,G. Hill misses free throw 2 of 3,6,9
45,1,7:53.0,,Offensive rebound by Team,6,9
46,1,7:53.0,,G. Hill makes free throw 3 of 3,6,10
47,1,7:33.0,C. Paul makes 2-pt jump shot from 6 ft,,8,10
48,1,7:19.0,,G. Hill makes 3-pt jump shot from 24 ft (assist by J. Ingles),8,13
49,1,6:54.0,D. Jordan makes 2-pt dunk at rim,,10,13
50,1,6:29.0,,G. Hill misses 2-pt layup from 2 ft,10,13
51,1,6:29.0,,Offensive rebound by R. Gobert,10,13
52,1,6:27.0,,R. Gobert makes 2-pt layup from 2 ft,10,15
53,1,6:15.0,Personal foul by G. Hill (drawn by D. Jordan),,10,15
54,1,6:15.0,J. Crawford enters the game for A. Rivers,,10,15
55,1,6:15.0,L. Mbah a Moute enters the game for J. Redick,,10,15
56,1,6:15.0,,J. Johnson enters the game for B. Diaw,10,15
57,1,6:15.0,,R. Hood enters the game for J. Ingles,10,15
58,1,6:15.0,,R. Neto enters the game for G. Hill,10,15
59,1,6:08.0,Shooting foul by R. Neto (drawn by C. Paul),,10,15
60,1,6:08.0,C. Paul misses free throw 1 of 2,,10,15
61,1,6:08.0,Offensive rebound by Team,,10,15
62,1,6:08.0,C. Paul makes free throw 2 of 2,,11,15
63,1,5:47.0,,R. Hood misses 2-pt jump shot from 10 ft,11,15
64,1,5:46.0,Defensive rebound by C. Paul,,11,15
65,1,5:36.0,Turnover by P. Pierce (bad pass; steal by R. Gobert),,11,15
66,1,5:30.0,,Personal foul by P. Pierce (drawn by J. Johnson),11,15
67,1,5:17.0,,R. Gobert misses 2-pt jump shot from 5 ft,11,15
68,1,5:15.0,Defensive rebound by D. Jordan,,11,15
69,1,5:04.0,C. Paul misses 3-pt jump shot from 27 ft,,11,15
70,1,5:03.0,,Defensive rebound by R. Hood,11,15
71,1,4:49.0,,Shooting foul by P. Pierce (drawn by R. Gobert),11,15
72,1,4:49.0,,R. Gobert misses free throw 1 of 2,11,15
73,1,4:49.0,,Offensive rebound by Team,11,15
74,1,4:49.0,,R. Gobert makes free throw 2 of 2,11,16
75,1,4:38.0,J. Crawford misses 2-pt jump shot from 6 ft,,11,16
76,1,4:36.0,Offensive rebound by P. Pierce,,11,16
77,1,4:25.0,J. Crawford misses 3-pt jump shot from 25 ft,,11,16
78,1,4:24.0,,Defensive rebound by R. Gobert,11,16
79,1,4:12.0,,G. Hayward misses 3-pt jump shot from 24 ft,11,16
80,1,4:12.0,Defensive rebound by D. Jordan,,11,16
81,1,3:59.0,C. Paul makes 2-pt jump shot from 16 ft,,13,16
82,1,3:38.0,,G. Hayward misses 2-pt jump shot from 7 ft,13,16
83,1,3:36.0,,Offensive rebound by R. Gobert,13,16
84,1,3:34.0,,R. Gobert makes 2-pt dunk at rim,13,18
85,1,3:25.0,Turnover by C. Paul (lost ball; steal by R. Gobert),,13,18
86,1,3:17.0,,R. Hood misses 3-pt jump shot from 24 ft,13,18
87,1,3:16.0,Defensive rebound by L. Mbah a Moute,,13,18
88,1,3:05.0,J. Crawford misses 2-pt jump shot from 19 ft,,13,18
89,1,3:04.0,,Defensive rebound by R. Hood,13,18
90,1,2:55.0,,R. Hood misses 2-pt jump shot from 18 ft,13,18
91,1,2:54.0,Defensive rebound by L. Mbah a Moute,,13,18
92,1,2:50.0,Offensive foul by D. Jordan (drawn by R. Neto),,13,18
93,1,2:50.0,Turnover by D. Jordan (offensive foul),,13,18
94,1,2:37.0,,Utah full timeout,13,18
95,1,2:37.0,M. Speights enters the game for D. Jordan,,13,18
96,1,2:37.0,A. Rivers enters the game for P. Pierce,,13,18
97,1,2:37.0,R. Felton enters the game for C. Paul,,13,18
98,1,2:37.0,,D. Favors enters the game for R. Gobert,13,18
99,1,2:19.0,,G. Hayward makes 2-pt dunk at rim (assist by D. Favors),13,20
100,1,2:01.0,M. Speights misses 2-pt jump shot from 12 ft,,13,20
101,1,1:54.0,,Defensive rebound by R. Hood,13,20
102,1,1:48.0,,D. Favors makes 2-pt jump shot from 5 ft (assist by J. Johnson),13,22
103,1,1:21.0,R. Felton misses 3-pt jump shot from 26 ft,,13,22
104,1,1:21.0,Offensive rebound by M. Speights,,13,22
105,1,1:15.0,M. Speights makes 2-pt hook shot from 3 ft,,15,22
106,1,1:00.0,,D. Favors misses 2-pt jump shot from 6 ft,15,22
107,1,1:00.0,Defensive rebound by L. Mbah a Moute,,15,22
108,1,0:46.0,L. Mbah a Moute makes 3-pt jump shot from 23 ft (assist by R. Felton),,18,22
109,1,0:29.0,,R. Hood misses 3-pt jump shot from 23 ft,18,22
110,1,0:28.0,Defensive rebound by R. Felton,,18,22
111,1,0:08.0,L. Mbah a Moute makes 2-pt layup from 2 ft (assist by J. Crawford),,20,22
112,1,0:00.0,,D. Favors misses 2-pt jump shot from 24 ft,20,22
113,1,0:00.0,,Offensive rebound by Team,20,22
114,2,11:35.0,,Turnover by Team (shot clock),20,22
