,QUARTER,TIME_REMAINING,PORTLAND_ACTION,CHICAGO_ACTION,PORTLAND_SCORE,CHICAGO_SCORE
0,1,11:44.0,,R. Lopez misses 2-pt jump shot from 5 ft (block by M. Plumlee),0,0
1,1,11:43.0,,Offensive rebound by Team,0,0
2,1,11:36.0,,D. Wade makes 2-pt jump shot from 19 ft (assist by T. Gibson),0,2
3,1,11:21.0,M. Plumlee misses 2-pt jump shot from 17 ft,,0,2
4,1,11:20.0,,Defensive rebound by D. Wade,0,2
5,1,11:12.0,,T. Gibson makes 2-pt jump shot from 13 ft (assist by R. Lopez),0,4
6,1,10:53.0,C. McCollum makes 2-pt jump shot from 18 ft (assist by M. Harkless),,2,4
7,1,10:35.0,,J. Grant misses 3-pt jump shot from 26 ft,2,4
8,1,10:34.0,Defensive rebound by M. Harkless,,2,4
9,1,10:21.0,M. Harkless makes 2-pt layup from 2 ft (assist by M. Plumlee),,4,4
10,1,10:09.0,,Turnover by D. Wade (bad pass; steal by M. Plumlee),4,4
11,1,9:57.0,C. McCollum misses 3-pt jump shot from 25 ft,,4,4
12,1,9:56.0,,Defensive rebound by R. Lopez,4,4
13,1,9:47.0,,D. Wade makes 2-pt layup from 2 ft,4,6
14,1,9:34.0,D. Lillard makes 2-pt jump shot from 18 ft,,6,6
15,1,9:15.0,,D. Wade makes 2-pt layup from 2 ft,6,8
16,1,8:49.0,M. Harkless misses 3-pt jump shot from 25 ft,,6,8
17,1,8:48.0,,Defensive rebound by J. Butler,6,8
18,1,8:40.0,,T. Gibson makes 2-pt jump shot from 15 ft (assist by J. Butler),6,10
19,1,8:21.0,D. Lillard makes 3-pt jump shot from 25 ft (assist by C. McCollum),,9,10
20,1,8:05.0,,Turnover by D. Wade (bad pass; steal by E. Davis),9,10
21,1,8:01.0,M. Plumlee makes 2-pt dunk at rim (assist by D. Lillard),,11,10
22,1,7:36.0,,J. Butler misses 2-pt layup from 2 ft,11,10
23,1,7:36.0,,Offensive rebound by R. Lopez,11,10
24,1,7:36.0,,Shooting foul by M. Plumlee (drawn by R. Lopez),11,10
25,1,7:36.0,,R. Lopez makes free throw 1 of 2,11,11
26,1,7:36.0,,R. Lopez misses free throw 2 of 2,11,11
27,1,7:34.0,Defensive rebound by E. Davis,,11,11
28,1,7:24.0,M. Harkless misses 2-pt layup from 2 ft,,11,11
29,1,7:23.0,Offensive rebound by E. Davis,,11,11
30,1,7:23.0,E. Davis makes 2-pt dunk at rim,,13,11
31,1,7:10.0,,J. Grant misses 2-pt jump shot from 9 ft (block by D. Lillard),13,11
32,1,7:08.0,Defensive rebound by M. Plumlee,,13,11
33,1,7:01.0,D. Lillard misses 2-pt layup from 2 ft,,13,11
34,1,7:01.0,,Defensive rebound by Team,13,11
35,1,6:45.0,,J. Grant makes 3-pt jump shot from 26 ft (assist by J. Butler),13,14
36,1,6:29.0,C. McCollum makes 2-pt layup from 1 ft,,15,14
37,1,6:05.0,,D. Wade misses 2-pt layup from 2 ft,15,14
38,1,6:04.0,Defensive rebound by M. Plumlee,,15,14
39,1,5:55.0,C. McCollum misses 3-pt jump shot from 25 ft,,15,14
40,1,5:54.0,Offensive rebound by M. Harkless,,15,14
41,1,5:52.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by M. Harkless),,18,14
42,1,5:52.0,,Chicago full timeout,18,14
43,1,5:44.0,,Personal foul by M. Harkless (drawn by J. Butler),18,14
44,1,5:36.0,,J. Butler makes 2-pt jump shot from 20 ft,18,16
45,1,5:17.0,C. McCollum makes 2-pt jump shot from 8 ft,,20,16
