,QUARTER,TIME_REMAINING,ATLANTA_ACTION,INDIANA_ACTION,ATLANTA_SCORE,INDIANA_SCORE
0,1,11:39.0,Personal foul by P. George (drawn by K. Humphries),,0,0
1,1,11:31.0,T. Prince misses 2-pt jump shot from 14 ft,,0,0
2,1,11:31.0,,Defensive rebound by T. Young,0,0
3,1,11:17.0,,Shooting foul by D. Bembry (drawn by J. Teague),0,0
4,1,11:17.0,,J. Teague misses free throw 1 of 3,0,0
5,1,11:17.0,,Offensive rebound by Team,0,0
6,1,11:17.0,,J. Teague misses free throw 2 of 3,0,0
7,1,11:17.0,,Offensive rebound by Team,0,0
8,1,11:17.0,,J. Teague makes free throw 3 of 3,0,1
9,1,11:01.0,E. İlyasova makes 2-pt layup at rim (assist by J. Calderón),,2,1
10,1,10:45.0,,M. Turner misses 3-pt jump shot from 26 ft,2,1
11,1,10:43.0,Defensive rebound by Team,,2,1
12,1,10:25.0,E. İlyasova misses 2-pt layup from 1 ft,,2,1
13,1,10:24.0,Offensive rebound by K. Humphries,,2,1
14,1,10:19.0,T. Prince misses 2-pt jump shot from 6 ft,,2,1
15,1,10:18.0,,Defensive rebound by M. Turner,2,1
16,1,10:08.0,,Turnover by T. Young (lost ball; steal by T. Prince),2,1
17,1,9:58.0,E. İlyasova misses 3-pt jump shot from 25 ft,,2,1
18,1,9:57.0,Offensive rebound by D. Bembry,,2,1
19,1,9:54.0,Turnover by D. Bembry (discontinued dribble),,2,1
20,1,9:41.0,,M. Turner misses 2-pt jump shot from 18 ft,2,1
21,1,9:40.0,Defensive rebound by D. Bembry,,2,1
22,1,9:26.0,K. Humphries makes 2-pt jump shot from 19 ft (assist by D. Bembry),,4,1
23,1,9:10.0,,M. Ellis misses 2-pt jump shot from 8 ft,4,1
24,1,9:09.0,Defensive rebound by E. İlyasova,,4,1
25,1,8:59.0,D. Bembry makes 3-pt jump shot from 23 ft (assist by T. Prince),,7,1
26,1,8:46.0,,P. George makes 3-pt jump shot from 27 ft (assist by J. Teague),7,4
27,1,8:21.0,K. Humphries misses 3-pt jump shot from 27 ft,,7,4
28,1,8:20.0,,Defensive rebound by M. Turner,7,4
29,1,8:12.0,,Personal foul by T. Prince (drawn by M. Turner),7,4
30,1,8:06.0,,P. George misses 3-pt jump shot from 25 ft,7,4
31,1,8:05.0,Defensive rebound by J. Calderón,,7,4
32,1,7:55.0,Turnover by J. Calderón (bad pass; steal by M. Ellis),,7,4
33,1,7:50.0,,Shooting foul by D. Bembry (drawn by T. Young),7,4
34,1,7:50.0,,T. Young makes free throw 1 of 2,7,5
35,1,7:50.0,,T. Young misses free throw 2 of 2,7,5
36,1,7:50.0,Defensive rebound by K. Humphries,,7,5
37,1,7:50.0,T. Sefolosha enters the game for D. Bembry,,7,5
38,1,7:32.0,J. Calderón makes 3-pt jump shot from 25 ft (assist by E. İlyasova),,10,5
39,1,7:18.0,,M. Ellis misses 3-pt jump shot from 23 ft,10,5
40,1,7:17.0,Defensive rebound by K. Humphries,,10,5
41,1,7:06.0,Turnover by T. Sefolosha (step out of bounds),,10,5
42,1,7:06.0,R. Kelly enters the game for E. İlyasova,,10,5
43,1,6:51.0,,M. Turner makes 2-pt dunk from 2 ft (assist by P. George),10,7
44,1,6:25.0,Turnover by Team (shot clock),,10,7
45,1,6:08.0,,M. Ellis misses 2-pt layup at rim (block by K. Humphries),10,7
46,1,6:07.0,,Offensive rebound by M. Turner,10,7
47,1,6:05.0,,M. Turner makes 2-pt layup at rim,10,9
48,1,6:01.0,Atlanta full timeout,,10,9
49,1,5:44.0,R. Kelly misses 2-pt hook shot from 7 ft,,10,9
50,1,5:43.0,,Defensive rebound by P. George,10,9
51,1,5:37.0,,Personal foul by T. Prince (drawn by P. George),10,9
52,1,5:37.0,M. Delaney enters the game for T. Prince,,10,9
53,1,5:37.0,,Turnover by P. George (back court),10,9
54,1,5:29.0,,Violation by M. Turner (kicked ball),10,9
55,1,5:21.0,Turnover by R. Kelly (lost ball; steal by T. Young),,10,9
56,1,5:13.0,,P. George makes 3-pt jump shot from 25 ft (assist by J. Teague),10,12
57,1,5:00.0,J. Calderón misses 3-pt jump shot from 26 ft,,10,12
58,1,4:59.0,,Defensive rebound by M. Turner,10,12
59,1,4:52.0,,Turnover by T. Young (bad pass; steal by M. Delaney),10,12
60,1,4:45.0,K. Humphries misses 2-pt layup from 2 ft (block by M. Turner),,10,12
61,1,4:44.0,,Defensive rebound by P. George,10,12
62,1,4:35.0,,J. Teague misses 3-pt jump shot from 24 ft,10,12
63,1,4:34.0,,Offensive rebound by T. Young,10,12
64,1,4:34.0,,T. Young misses 2-pt layup at rim,10,12
65,1,4:33.0,Defensive rebound by K. Humphries,,10,12
66,1,4:19.0,,K. Séraphin enters the game for M. Turner,10,12
67,1,4:19.0,M. Dunleavy enters the game for J. Calderón,,10,12
68,1,4:19.0,M. Muscala enters the game for K. Humphries,,10,12
69,1,4:17.0,Shooting foul by M. Ellis (drawn by M. Delaney),,10,12
70,1,4:17.0,M. Delaney makes free throw 1 of 2,,11,12
71,1,4:17.0,M. Delaney makes free throw 2 of 2,,12,12
72,1,4:04.0,,M. Ellis misses 2-pt layup from 2 ft (block by M. Muscala),12,12
73,1,4:03.0,,Offensive rebound by Team,12,12
74,1,3:56.0,,J. Teague misses 2-pt jump shot from 8 ft,12,12
75,1,3:55.0,Defensive rebound by M. Muscala,,12,12
76,1,3:42.0,Turnover by M. Muscala (lost ball; steal by P. George),,12,12
77,1,3:31.0,,J. Teague makes 2-pt jump shot from 12 ft,12,14
