,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,TORONTO_ACTION,MILWAUKEE_SCORE,TORONTO_SCORE
0,1,11:42.0,,S. Ibaka makes 3-pt jump shot from 25 ft (assist by D. DeRozan),0,3
1,1,11:13.0,K. Middleton makes 2-pt jump shot from 17 ft (assist by T. Snell),,2,3
2,1,11:03.0,,Shooting foul by T. Maker (drawn by D. DeRozan),2,3
3,1,11:03.0,,D. DeRozan makes free throw 1 of 2,2,4
4,1,11:03.0,,D. DeRozan makes free throw 2 of 2,2,5
5,1,10:51.0,M. Brogdon misses 3-pt jump shot from 24 ft,,2,5
6,1,10:50.0,,Defensive rebound by S. Ibaka,2,5
7,1,10:37.0,,S. Ibaka makes 2-pt dunk at rim (assist by N. Powell),2,7
8,1,10:21.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,2,7
9,1,10:20.0,,Defensive rebound by S. Ibaka,2,7
10,1,10:17.0,,Turnover by S. Ibaka (bad pass; steal by M. Brogdon),2,7
11,1,10:12.0,M. Brogdon makes 3-pt jump shot from 22 ft (assist by T. Maker),,5,7
12,1,9:54.0,,K. Lowry misses 2-pt jump shot from 20 ft,5,7
13,1,9:53.0,Defensive rebound by T. Maker,,5,7
14,1,9:42.0,Personal foul by K. Lowry (drawn by M. Brogdon),,5,7
15,1,9:28.0,M. Brogdon makes 3-pt jump shot from 23 ft (assist by K. Middleton),,8,7
16,1,9:17.0,,N. Powell misses 2-pt layup from 2 ft (block by G. Antetokounmpo),8,7
17,1,9:17.0,,Offensive rebound by Team,8,7
18,1,9:09.0,,S. Ibaka makes 2-pt jump shot from 20 ft (assist by K. Lowry),8,9
19,1,9:00.0,G. Antetokounmpo makes 2-pt dunk at rim,,10,9
20,1,8:45.0,,D. DeRozan misses 3-pt jump shot from 23 ft,10,9
21,1,8:45.0,Defensive rebound by G. Antetokounmpo,,10,9
22,1,8:35.0,G. Antetokounmpo misses 2-pt hook shot from 5 ft,,10,9
23,1,8:34.0,Offensive rebound by G. Antetokounmpo,,10,9
24,1,8:32.0,G. Antetokounmpo misses 2-pt layup from 1 ft,,10,9
25,1,8:31.0,,Defensive rebound by D. Carroll,10,9
26,1,8:29.0,,Personal foul by T. Snell (drawn by K. Lowry),10,9
27,1,8:18.0,,Turnover by S. Ibaka (lost ball; steal by K. Middleton),10,9
28,1,8:16.0,Personal foul by D. DeRozan (drawn by K. Middleton),,10,9
29,1,8:01.0,Shooting foul by D. Carroll (drawn by G. Antetokounmpo),,10,9
30,1,8:01.0,G. Antetokounmpo makes free throw 1 of 2,,11,9
31,1,8:01.0,G. Antetokounmpo misses free throw 2 of 2,,11,9
32,1,8:00.0,,Defensive rebound by N. Powell,11,9
33,1,7:39.0,,N. Powell misses 2-pt jump shot from 5 ft (block by T. Maker),11,9
34,1,7:39.0,,Offensive rebound by Team,11,9
35,1,7:35.0,,D. DeRozan misses 2-pt jump shot from 13 ft,11,9
36,1,7:34.0,,Offensive rebound by D. Carroll,11,9
37,1,7:32.0,,D. Carroll makes 2-pt layup from 1 ft,11,11
38,1,7:24.0,Turnover by G. Antetokounmpo (bad pass; steal by N. Powell),,11,11
39,1,7:22.0,,N. Powell makes 2-pt layup from 2 ft,11,13
40,1,7:22.0,,Shooting foul by M. Brogdon (drawn by N. Powell),11,13
41,1,7:22.0,,N. Powell makes free throw 1 of 1,11,14
42,1,7:11.0,Turnover by M. Brogdon (bad pass; steal by D. Carroll),,11,14
43,1,7:04.0,,S. Ibaka misses 3-pt jump shot from 24 ft,11,14
44,1,7:03.0,Defensive rebound by G. Antetokounmpo,,11,14
45,1,6:48.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by S. Ibaka),,11,14
46,1,6:46.0,,Defensive rebound by S. Ibaka,11,14
47,1,6:37.0,,N. Powell misses 2-pt jump shot from 19 ft,11,14
48,1,6:36.0,Defensive rebound by T. Maker,,11,14
49,1,6:22.0,Turnover by T. Maker (bad pass; steal by S. Ibaka),,11,14
50,1,6:14.0,,K. Lowry misses 3-pt jump shot from 25 ft,11,14
51,1,6:13.0,,Offensive rebound by D. Carroll,11,14
52,1,6:08.0,,Toronto full timeout,11,14
53,1,6:08.0,G. Monroe enters the game for T. Maker,,11,14
54,1,6:08.0,M. Dellavedova enters the game for M. Brogdon,,11,14
55,1,5:55.0,,D. Carroll makes 3-pt jump shot from 22 ft (assist by D. DeRozan),11,17
56,1,5:31.0,G. Antetokounmpo misses 2-pt jump shot from 5 ft,,11,17
57,1,5:30.0,,Defensive rebound by D. Carroll,11,17
58,1,5:19.0,,S. Ibaka makes 2-pt dunk at rim (assist by N. Powell),11,19
59,1,5:04.0,Turnover by G. Monroe (lost ball; steal by K. Lowry),,11,19
60,1,4:58.0,,D. DeRozan misses 2-pt layup from 3 ft (block by G. Antetokounmpo),11,19
61,1,4:58.0,,Offensive rebound by Team,11,19
62,1,4:48.0,,D. Carroll makes 2-pt jump shot from 5 ft (assist by S. Ibaka),11,21
63,1,4:34.0,Turnover by G. Monroe (offensive foul),,11,21
64,1,4:34.0,,Offensive charge foul by G. Monroe (drawn by K. Lowry),11,21
65,1,4:27.0,,D. DeRozan makes 2-pt dunk at rim,11,23
66,1,4:27.0,Milwaukee full timeout,,11,23
67,1,4:27.0,M. Beasley enters the game for G. Antetokounmpo,,11,23
68,1,4:10.0,M. Beasley misses 2-pt layup from 1 ft (block by S. Ibaka),,11,23
69,1,4:09.0,,Defensive rebound by D. DeRozan,11,23
70,1,3:58.0,,N. Powell makes 3-pt jump shot from 24 ft (assist by S. Ibaka),11,26
