,QUARTER,TIME_REMAINING,BOSTON_ACTION,SAN ANTONIO_ACTION,BOSTON_SCORE,SAN ANTONIO_SCORE
0,1,11:37.0,,D. Lee misses 2-pt layup from 1 ft,0,0
1,1,11:36.0,,Offensive rebound by D. Lee,0,0
2,1,11:32.0,,K. Leonard misses 3-pt jump shot from 25 ft,0,0
3,1,11:32.0,Defensive rebound by A. Bradley,,0,0
4,1,11:19.0,M. Smart makes 2-pt jump shot from 11 ft (assist by J. Crowder),,2,0
5,1,10:54.0,,D. Green makes 3-pt jump shot from 25 ft (assist by T. Parker),2,3
6,1,10:32.0,A. Horford makes 2-pt jump shot from 12 ft,,4,3
7,1,10:22.0,,Turnover by K. Leonard (bad pass),4,3
8,1,10:10.0,A. Bradley makes 2-pt jump shot from 20 ft (assist by M. Smart),,6,3
9,1,9:55.0,,P. Gasol misses 2-pt layup from 2 ft (block by J. Crowder),6,3
10,1,9:55.0,,Offensive rebound by Team,6,3
11,1,9:48.0,,T. Parker makes 2-pt jump shot from 19 ft,6,5
12,1,9:47.0,,Violation by Team (jump ball),6,5
13,1,9:40.0,Personal foul by K. Leonard (drawn by J. Crowder),,6,5
14,1,9:32.0,A. Horford misses 2-pt jump shot from 9 ft,,6,5
15,1,9:30.0,,Defensive rebound by P. Gasol,6,5
16,1,9:22.0,,T. Parker makes 2-pt jump shot from 9 ft,6,7
17,1,9:10.0,A. Horford makes 2-pt jump shot from 17 ft (assist by A. Bradley),,8,7
18,1,8:49.0,,Turnover by D. Green (lost ball; steal by A. Bradley),8,7
19,1,8:38.0,A. Bradley makes 3-pt jump shot from 23 ft (assist by A. Johnson),,11,7
20,1,8:37.0,,San Antonio full timeout,11,7
21,1,8:18.0,,K. Leonard misses 2-pt jump shot from 19 ft,11,7
22,1,8:17.0,Defensive rebound by A. Johnson,,11,7
23,1,8:10.0,A. Bradley misses 3-pt jump shot from 25 ft,,11,7
24,1,8:09.0,,Defensive rebound by D. Lee,11,7
25,1,8:02.0,,Shooting foul by J. Crowder (drawn by K. Leonard),11,7
26,1,8:02.0,,K. Leonard makes free throw 1 of 3,11,8
27,1,8:02.0,,K. Leonard makes free throw 2 of 3,11,9
28,1,8:02.0,,K. Leonard makes free throw 3 of 3,11,10
29,1,7:50.0,A. Horford misses 2-pt layup from 1 ft (block by K. Leonard),,11,10
30,1,7:48.0,,Defensive rebound by P. Gasol,11,10
31,1,7:42.0,,K. Leonard misses 2-pt jump shot from 19 ft,11,10
32,1,7:41.0,Defensive rebound by M. Smart,,11,10
33,1,7:34.0,M. Smart makes 2-pt jump shot from 4 ft,,13,10
34,1,7:20.0,,P. Gasol makes 2-pt jump shot from 19 ft (assist by T. Parker),13,12
35,1,7:13.0,Turnover by J. Crowder (bad pass),,13,12
36,1,6:55.0,,T. Parker misses 2-pt jump shot from 18 ft,13,12
37,1,6:54.0,Defensive rebound by A. Bradley,,13,12
38,1,6:41.0,J. Crowder misses 3-pt jump shot from 25 ft,,13,12
39,1,6:40.0,,Defensive rebound by K. Leonard,13,12
40,1,6:14.0,,K. Leonard makes 2-pt layup from 1 ft (assist by P. Gasol),13,14
41,1,5:53.0,Shooting foul by D. Lee (drawn by A. Johnson),,13,14
42,1,5:53.0,A. Johnson misses free throw 1 of 2,,13,14
43,1,5:53.0,Offensive rebound by Team,,13,14
44,1,5:53.0,A. Johnson makes free throw 2 of 2,,14,14
45,1,5:31.0,,D. Green makes 2-pt layup from 2 ft (assist by D. Lee),14,16
46,1,5:23.0,A. Horford misses 3-pt jump shot from 25 ft,,14,16
47,1,5:22.0,,Defensive rebound by D. Lee,14,16
48,1,5:14.0,,D. Lee makes 2-pt layup from 1 ft (assist by T. Parker),14,18
49,1,4:51.0,,P. Mills enters the game for T. Parker,14,18
50,1,4:51.0,,M. Ginóbili enters the game for D. Green,14,18
51,1,4:51.0,T. Zeller enters the game for A. Johnson,,14,18
52,1,4:51.0,,D. Dedmon enters the game for P. Gasol,14,18
53,1,4:47.0,Turnover by Team (shot clock),,14,18
54,1,4:30.0,,Personal foul by M. Smart (drawn by M. Ginóbili),14,18
55,1,4:30.0,J. Brown enters the game for J. Crowder,,14,18
56,1,4:21.0,,K. Leonard makes 2-pt jump shot from 19 ft,14,20
57,1,4:02.0,A. Bradley makes 2-pt jump shot from 21 ft,,16,20
58,1,3:51.0,,M. Ginóbili makes 2-pt layup from 1 ft (assist by P. Mills),16,22
59,1,3:51.0,Boston full timeout,,16,22
60,1,3:51.0,T. Rozier enters the game for M. Smart,,16,22
61,1,3:34.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by T. Zeller),,19,22
62,1,3:26.0,,Personal block foul by A. Bradley (drawn by M. Ginóbili),19,22
63,1,3:14.0,,K. Leonard makes 2-pt jump shot from 10 ft,19,24
64,1,3:04.0,Turnover by A. Bradley (bad pass; steal by K. Leonard),,19,24
65,1,2:54.0,,Turnover by M. Ginóbili (lost ball; steal by J. Brown),19,24
66,1,2:50.0,J. Brown makes 2-pt dunk at rim,,21,24
67,1,2:36.0,,P. Mills misses 3-pt jump shot from 23 ft,21,24
68,1,2:35.0,Defensive rebound by A. Bradley,,21,24
69,1,2:19.0,Turnover by J. Brown (bad pass; steal by P. Mills),,21,24
70,1,2:14.0,,Turnover by P. Mills (bad pass; steal by A. Bradley),21,24
71,1,1:58.0,T. Rozier misses 2-pt layup at rim,,21,24
72,1,1:57.0,,Defensive rebound by D. Dedmon,21,24
73,1,1:51.0,,M. Ginóbili makes 3-pt jump shot from 26 ft (assist by D. Lee),21,27
74,1,1:31.0,A. Horford misses 3-pt jump shot from 24 ft,,21,27
75,1,1:28.0,Offensive rebound by A. Horford,,21,27
76,1,1:25.0,A. Horford misses 2-pt layup from 2 ft,,21,27
77,1,1:25.0,Offensive rebound by Team,,21,27
78,1,1:25.0,K. Olynyk enters the game for A. Horford,,21,27
79,1,1:25.0,,J. Simmons enters the game for D. Lee,21,27
80,1,1:25.0,,D. Bertāns enters the game for K. Leonard,21,27
81,1,1:23.0,Turnover by J. Brown (bad pass; steal by M. Ginóbili),,21,27
82,1,1:12.0,,M. Ginóbili makes 3-pt jump shot from 24 ft (assist by D. Bertāns),21,30
83,1,0:50.0,Personal foul by D. Dedmon (drawn by J. Brown),,21,30
84,1,0:45.0,T. Zeller misses 2-pt jump shot from 19 ft,,21,30
85,1,0:45.0,,Defensive rebound by Team,21,30
86,1,0:31.0,,D. Dedmon makes 2-pt jump shot from 9 ft (assist by M. Ginóbili),21,32
87,1,0:18.0,A. Bradley makes 2-pt jump shot from 10 ft (assist by T. Zeller),,23,32
88,1,0:02.0,,Offensive foul by D. Dedmon (drawn by T. Zeller),23,32
