,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,OKLAHOMA CITY_ACTION,LA LAKERS_SCORE,OKLAHOMA CITY_SCORE
0,1,11:44.0,,Turnover by R. Westbrook (bad pass; steal by N. Young),0,0
1,1,11:29.0,Shooting foul by Á. Abrines (drawn by B. Ingram),,0,0
2,1,11:29.0,B. Ingram makes free throw 1 of 2,,1,0
3,1,11:29.0,B. Ingram misses free throw 2 of 2,,1,0
4,1,11:29.0,,Defensive rebound by R. Westbrook,1,0
5,1,11:12.0,,S. Adams misses 2-pt hook shot from 5 ft,1,0
6,1,11:11.0,,Offensive rebound by Team,1,0
7,1,11:00.0,,R. Westbrook misses 2-pt jump shot from 19 ft,1,0
8,1,11:00.0,Defensive rebound by N. Young,,1,0
9,1,10:48.0,N. Young misses 3-pt jump shot from 24 ft,,1,0
10,1,10:47.0,,Defensive rebound by A. Roberson,1,0
11,1,10:36.0,,S. Adams makes 2-pt hook shot from 6 ft (assist by R. Westbrook),1,2
12,1,10:17.0,D. Russell makes 2-pt jump shot from 17 ft,,3,2
13,1,10:05.0,,Á. Abrines makes 3-pt jump shot from 24 ft (assist by R. Westbrook),3,5
14,1,9:50.0,J. Randle misses 3-pt jump shot from 22 ft,,3,5
15,1,9:49.0,,Defensive rebound by A. Roberson,3,5
16,1,9:48.0,,Turnover by A. Roberson (lost ball; steal by N. Young),3,5
17,1,9:42.0,N. Young misses 3-pt jump shot from 25 ft,,3,5
18,1,9:41.0,Offensive rebound by T. Black,,3,5
19,1,9:38.0,J. Randle makes 2-pt jump shot from 3 ft,,5,5
20,1,9:23.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),5,7
21,1,9:11.0,D. Russell misses 3-pt jump shot from 23 ft,,5,7
22,1,9:10.0,,Defensive rebound by R. Westbrook,5,7
23,1,9:01.0,,A. Roberson makes 2-pt layup from 3 ft (assist by R. Westbrook),5,9
24,1,8:50.0,Turnover by B. Ingram (bad pass; steal by R. Westbrook),,5,9
25,1,8:49.0,,Personal foul by T. Black (drawn by R. Westbrook),5,9
26,1,8:39.0,,S. Adams misses 2-pt dunk at rim,5,9
27,1,8:38.0,Defensive rebound by D. Russell,,5,9
28,1,8:31.0,D. Russell misses 3-pt jump shot from 24 ft,,5,9
29,1,8:31.0,,Defensive rebound by Team,5,9
30,1,8:31.0,Loose ball foul by T. Black (drawn by S. Adams),,5,9
31,1,8:13.0,,D. Sabonis misses 2-pt hook shot from 9 ft,5,9
32,1,8:13.0,Defensive rebound by B. Ingram,,5,9
