,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,PORTLAND_ACTION,LA CLIPPERS_SCORE,PORTLAND_SCORE
0,1,11:41.0,,A. Aminu misses 3-pt jump shot from 23 ft,0,0
1,1,11:39.0,,Offensive rebound by M. Plumlee,0,0
2,1,11:36.0,,A. Aminu misses 3-pt jump shot from 23 ft,0,0
3,1,11:36.0,Defensive rebound by Team,,0,0
4,1,11:36.0,,Loose ball foul by M. Plumlee (drawn by D. Jordan),0,0
5,1,11:16.0,C. Paul makes 2-pt jump shot from 16 ft,,2,0
6,1,10:56.0,,M. Harkless misses 3-pt jump shot from 23 ft,2,0
7,1,10:55.0,Defensive rebound by D. Jordan,,2,0
8,1,10:50.0,Personal foul by A. Aminu (drawn by B. Griffin),,2,0
9,1,10:45.0,J. Redick makes 2-pt jump shot from 22 ft (assist by B. Griffin),,4,0
10,1,10:23.0,,D. Lillard makes 2-pt layup from 3 ft,4,2
11,1,10:03.0,C. Paul misses 3-pt jump shot from 25 ft,,4,2
12,1,10:03.0,,Defensive rebound by M. Plumlee,4,2
13,1,9:52.0,,M. Plumlee makes 2-pt jump shot from 19 ft,4,4
14,1,9:40.0,Turnover by J. Redick (lost ball),,4,4
15,1,9:31.0,,M. Harkless makes 2-pt layup from 2 ft (assist by M. Plumlee),4,6
16,1,9:06.0,B. Griffin misses 2-pt hook shot from 3 ft,,4,6
17,1,9:05.0,,Defensive rebound by A. Aminu,4,6
18,1,8:55.0,,M. Plumlee misses 2-pt layup from 2 ft,4,6
19,1,8:54.0,Defensive rebound by L. Mbah a Moute,,4,6
20,1,8:44.0,Personal foul by A. Aminu (drawn by B. Griffin),,4,6
21,1,8:44.0,,A. Crabbe enters the game for A. Aminu,4,6
22,1,8:29.0,C. Paul misses 2-pt jump shot from 10 ft,,4,6
23,1,8:27.0,Offensive rebound by D. Jordan,,4,6
24,1,8:27.0,D. Jordan misses 2-pt layup from 2 ft (block by M. Plumlee),,4,6
25,1,8:25.0,,Defensive rebound by D. Lillard,4,6
26,1,8:21.0,,D. Lillard misses 2-pt layup from 3 ft (block by L. Mbah a Moute),4,6
27,1,8:21.0,,Offensive rebound by Team,4,6
28,1,8:17.0,,Turnover by M. Plumlee (lost ball; steal by C. Paul),4,6
29,1,7:52.0,B. Griffin misses 2-pt hook shot from 3 ft,,4,6
30,1,7:52.0,Offensive rebound by D. Jordan,,4,6
31,1,7:52.0,D. Jordan makes 2-pt dunk at rim,,6,6
32,1,7:31.0,,C. McCollum makes 3-pt jump shot from 24 ft,6,9
33,1,7:17.0,B. Griffin misses 2-pt layup from 2 ft,,6,9
34,1,7:17.0,Offensive rebound by B. Griffin,,6,9
35,1,7:16.0,B. Griffin makes 2-pt layup from 1 ft,,8,9
36,1,7:01.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by A. Crabbe),8,11
37,1,6:44.0,Personal foul by A. Crabbe (drawn by C. Paul),,8,11
38,1,6:34.0,C. Paul makes 2-pt layup from 2 ft,,10,11
39,1,6:20.0,,D. Lillard misses 2-pt jump shot from 8 ft,10,11
40,1,6:20.0,Defensive rebound by D. Jordan,,10,11
41,1,6:06.0,Turnover by J. Redick (lost ball; steal by C. McCollum),,10,11
42,1,6:01.0,,A. Crabbe makes 2-pt layup from 1 ft,10,13
43,1,5:36.0,B. Griffin makes 3-pt jump shot from 24 ft (assist by C. Paul),,13,13
44,1,5:34.0,,Portland full timeout,13,13
45,1,5:34.0,A. Rivers enters the game for L. Mbah a Moute,,13,13
46,1,5:34.0,,E. Turner enters the game for C. McCollum,13,13
