,QUARTER,TIME_REMAINING,PHOENIX_ACTION,CLEVELAND_ACTION,PHOENIX_SCORE,CLEVELAND_SCORE
71,1,2:34.0,,Defensive rebound by C. Frye,17,25
72,1,2:30.0,,K. Irving makes 2-pt layup from 1 ft (assist by R. Jefferson),17,27
73,1,2:10.0,A. Len makes 2-pt layup from 1 ft (assist by P. Tucker),,19,27
74,1,1:55.0,,K. Irving misses 3-pt jump shot from 27 ft,19,27
75,1,1:55.0,Defensive rebound by Team,,19,27
76,1,1:53.0,B. Knight enters the game for T. Warren,,19,27
77,1,1:53.0,,D. Liggins enters the game for K. Irving,19,27
78,1,1:31.0,P. Tucker makes 2-pt jump shot from 7 ft (assist by E. Bledsoe),,21,27
79,1,1:16.0,,K. Korver misses 2-pt jump shot from 15 ft,21,27
80,1,1:15.0,Defensive rebound by A. Len,,21,27
81,1,1:10.0,Personal foul by D. Liggins (drawn by D. Bender),,21,27
82,1,1:10.0,T. Ulis enters the game for E. Bledsoe,,21,27
83,1,1:03.0,Turnover by B. Knight (lost ball; steal by C. Frye),,21,27
84,1,1:03.0,,Personal foul by B. Knight (drawn by D. Liggins),21,27
85,1,1:03.0,,D. Liggins makes free throw 1 of 2,21,28
86,1,1:03.0,,D. Liggins makes free throw 2 of 2,21,29
87,1,0:51.0,T. Ulis misses 2-pt jump shot from 18 ft,,21,29
88,1,0:50.0,,Defensive rebound by T. Thompson,21,29
89,1,0:37.0,,T. Thompson misses 2-pt layup from 1 ft (block by D. Bender),21,29
90,1,0:35.0,Defensive rebound by P. Tucker,,21,29
91,1,0:31.0,P. Tucker misses 2-pt layup from 1 ft,,21,29
92,1,0:29.0,,Defensive rebound by T. Thompson,21,29
93,1,0:23.0,,R. Jefferson misses 3-pt jump shot from 25 ft,21,29
94,1,0:23.0,Defensive rebound by Team,,21,29
95,1,0:23.0,,J. Jones enters the game for T. Thompson,21,29
96,1,0:00.0,P. Tucker misses 2-pt jump shot from 14 ft,,21,29
97,1,0:00.0,Offensive rebound by Team,,21,29
98,2,11:57.0,,Turnover by R. Jefferson (bad pass; steal by T. Ulis),21,29
99,2,11:51.0,D. Bender misses 3-pt jump shot from 25 ft,,21,29
100,2,11:51.0,,Defensive rebound by R. Jefferson,21,29
101,2,11:36.0,,K. Korver misses 3-pt jump shot from 25 ft,21,29
102,2,11:35.0,,Offensive rebound by R. Jefferson,21,29
103,2,11:35.0,,Personal foul by B. Knight (drawn by R. Jefferson),21,29
104,2,11:24.0,,Personal foul by B. Knight (drawn by L. James),21,29
105,2,11:17.0,,C. Frye makes 3-pt jump shot from 26 ft (assist by L. James),21,32
106,2,10:55.0,B. Knight misses 2-pt layup from 1 ft,,21,32
107,2,10:53.0,,Defensive rebound by L. James,21,32
108,2,10:44.0,,C. Frye misses 3-pt jump shot from 25 ft,21,32
109,2,10:43.0,Defensive rebound by A. Len,,21,32
110,2,10:32.0,B. Knight makes 3-pt jump shot from 26 ft,,24,32
111,2,10:08.0,,K. Korver makes 3-pt jump shot from 29 ft (assist by C. Frye),24,35
112,2,9:51.0,T. Ulis misses 2-pt layup from 1 ft,,24,35
113,2,9:51.0,,Defensive rebound by C. Frye,24,35
114,2,9:51.0,,Personal foul by B. Knight (drawn by C. Frye),24,35
115,2,9:51.0,L. Barbosa enters the game for B. Knight,,24,35
116,2,9:42.0,,C. Frye makes 3-pt jump shot from 25 ft (assist by L. James),24,38
117,2,9:41.0,Phoenix full timeout,,24,38
118,2,9:41.0,D. Booker enters the game for A. Len,,24,38
119,2,9:22.0,Turnover by T. Ulis (traveling),,24,38
120,2,9:18.0,Offensive charge foul by L. James (drawn by P. Tucker),,24,38
121,2,9:18.0,,Turnover by L. James (offensive foul),24,38
122,2,9:06.0,D. Bender misses 3-pt jump shot from 25 ft,,24,38
123,2,9:06.0,,Defensive rebound by Team,24,38
124,2,9:06.0,Loose ball foul by P. Tucker (drawn by R. Jefferson),,24,38
125,2,8:51.0,,C. Frye misses 3-pt jump shot from 24 ft,24,38
126,2,8:51.0,Defensive rebound by Team,,24,38
127,2,8:31.0,P. Tucker misses 2-pt layup from 1 ft,,24,38
128,2,8:30.0,,Defensive rebound by K. Korver,24,38
129,2,8:23.0,,K. Korver misses 3-pt jump shot from 25 ft,24,38
130,2,8:23.0,Defensive rebound by T. Ulis,,24,38
131,2,8:17.0,Shooting foul by C. Frye (drawn by D. Booker),,24,38
132,2,8:17.0,D. Booker makes free throw 1 of 2,,25,38
133,2,8:17.0,E. Bledsoe enters the game for T. Ulis,,25,38
134,2,8:17.0,D. Booker makes free throw 2 of 2,,26,38
135,2,8:00.0,,C. Frye misses 2-pt jump shot from 15 ft,26,38
136,2,7:59.0,Defensive rebound by D. Booker,,26,38
137,2,7:52.0,D. Bender makes 3-pt jump shot from 26 ft (assist by D. Booker),,29,38
138,2,7:29.0,,L. James makes 2-pt layup from 1 ft,29,40
139,2,7:23.0,Turnover by E. Bledsoe (bad pass; steal by K. Korver),,29,40
140,2,7:16.0,,K. Irving enters the game for D. Liggins,29,40
141,2,7:06.0,,Shooting foul by L. Barbosa (drawn by C. Frye),29,40
142,2,7:06.0,,C. Frye makes free throw 1 of 2,29,41
143,2,7:06.0,,C. Frye makes free throw 2 of 2,29,42
144,2,6:47.0,D. Booker misses 3-pt jump shot from 25 ft,,29,42
145,2,6:47.0,Offensive rebound by Team,,29,42
146,2,6:47.0,,Loose ball foul by L. James (drawn by P. Tucker),29,42
147,2,6:47.0,,I. Shumpert enters the game for R. Jefferson,29,42
148,2,6:37.0,Turnover by L. Barbosa (lost ball; steal by K. Korver),,29,42
149,2,6:31.0,,L. James makes 2-pt dunk at rim,29,44
150,2,6:21.0,Turnover by D. Bender (bad pass),,29,44
151,2,6:02.0,,K. Korver makes 3-pt jump shot from 26 ft (assist by L. James),29,47
152,2,5:50.0,Phoenix full timeout,,29,47
153,2,5:50.0,Official timeout,,29,47
154,2,5:50.0,T. Chandler enters the game for D. Bender,,29,47
155,2,5:50.0,T. Warren enters the game for L. Barbosa,,29,47
156,2,5:38.0,Turnover by Team (shot clock),,29,47
157,2,5:20.0,,K. Irving misses 3-pt jump shot from 25 ft,29,47
158,2,5:19.0,Defensive rebound by D. Booker,,29,47
159,2,5:14.0,T. Chandler makes 2-pt layup from 1 ft (assist by D. Booker),,31,47
160,2,4:53.0,,Personal foul by E. Bledsoe (drawn by K. Irving),31,47
161,2,4:53.0,,K. Irving makes free throw 1 of 2,31,48
162,2,4:53.0,,T. Thompson enters the game for C. Frye,31,48
163,2,4:53.0,,R. Jefferson enters the game for L. James,31,48
