,QUARTER,TIME_REMAINING,BOSTON_ACTION,DENVER_ACTION,BOSTON_SCORE,DENVER_SCORE
0,1,11:43.0,A. Bradley misses 2-pt jump shot from 16 ft,,0,0
1,1,11:42.0,,Defensive rebound by N. Jokić,0,0
2,1,11:32.0,,W. Chandler misses 3-pt jump shot from 25 ft,0,0
3,1,11:31.0,Defensive rebound by A. Bradley,,0,0
4,1,11:29.0,Turnover by A. Bradley (lost ball; steal by N. Jokić),,0,0
5,1,11:24.0,,N. Jokić makes 2-pt dunk at rim,0,2
6,1,11:13.0,J. Crowder misses 3-pt jump shot from 27 ft,,0,2
7,1,11:13.0,,Defensive rebound by N. Jokić,0,2
8,1,11:03.0,,Denver full timeout,0,2
9,1,10:52.0,,D. Gallinari misses 2-pt jump shot from 12 ft,0,2
10,1,10:51.0,,Offensive rebound by Team,0,2
11,1,10:51.0,,Turnover by Team (shot clock),0,2
12,1,10:39.0,A. Horford misses 2-pt jump shot from 20 ft,,0,2
13,1,10:38.0,,Defensive rebound by N. Jokić,0,2
14,1,10:27.0,,G. Harris misses 3-pt jump shot from 24 ft,0,2
15,1,10:26.0,Defensive rebound by A. Horford,,0,2
16,1,10:24.0,Turnover by A. Horford (bad pass; steal by G. Harris),,0,2
17,1,10:15.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by W. Chandler),0,5
18,1,9:59.0,Turnover by J. Crowder (bad pass; steal by N. Jokić),,0,5
19,1,9:51.0,,D. Gallinari misses 2-pt layup from 1 ft (block by A. Johnson),0,5
20,1,9:48.0,Defensive rebound by A. Horford,,0,5
21,1,9:37.0,I. Thomas makes 2-pt jump shot from 18 ft,,2,5
22,1,9:21.0,,Shooting foul by J. Crowder (drawn by D. Gallinari),2,5
23,1,9:21.0,,D. Gallinari makes free throw 1 of 2,2,6
24,1,9:21.0,,D. Gallinari makes free throw 2 of 2,2,7
25,1,9:01.0,A. Johnson misses 2-pt hook shot from 7 ft,,2,7
26,1,9:01.0,,Defensive rebound by Team,2,7
27,1,9:01.0,,Personal foul by J. Crowder (drawn by J. Nelson),2,7
28,1,8:49.0,,W. Chandler misses 3-pt jump shot from 26 ft,2,7
29,1,8:48.0,,Offensive rebound by G. Harris,2,7
30,1,8:45.0,,W. Chandler makes 2-pt dunk at rim (assist by N. Jokić),2,9
31,1,8:45.0,Boston full timeout,,2,9
32,1,8:28.0,J. Crowder makes 3-pt jump shot from 26 ft (assist by I. Thomas),,5,9
33,1,8:14.0,,J. Nelson misses 2-pt layup from 1 ft,5,9
34,1,8:13.0,Defensive rebound by J. Crowder,,5,9
35,1,7:54.0,A. Horford misses 2-pt jump shot from 19 ft,,5,9
36,1,7:53.0,,Defensive rebound by D. Gallinari,5,9
37,1,7:34.0,,W. Chandler misses 2-pt layup from 2 ft (block by A. Johnson),5,9
38,1,7:32.0,Defensive rebound by I. Thomas,,5,9
39,1,7:23.0,A. Horford makes 2-pt jump shot from 9 ft (assist by J. Crowder),,7,9
40,1,7:09.0,,Shooting foul by A. Johnson (drawn by N. Jokić),7,9
41,1,7:09.0,,D. Gallinari makes free throw 1 of 2,7,10
42,1,7:09.0,,D. Gallinari makes free throw 2 of 2,7,11
43,1,6:55.0,A. Bradley makes 2-pt jump shot from 20 ft (assist by J. Crowder),,9,11
44,1,6:41.0,,W. Chandler makes 2-pt dunk at rim (assist by N. Jokić),9,13
45,1,6:23.0,A. Bradley misses 2-pt jump shot from 22 ft,,9,13
46,1,6:23.0,,Defensive rebound by N. Jokić,9,13
47,1,6:21.0,,Turnover by N. Jokić (bad pass),9,13
48,1,6:11.0,Personal foul by N. Jokić (drawn by A. Horford),,9,13
49,1,6:01.0,Turnover by A. Horford (lost ball; steal by D. Gallinari),,9,13
50,1,5:56.0,,G. Harris misses 2-pt jump shot from 3 ft,9,13
51,1,5:55.0,Defensive rebound by A. Johnson,,9,13
52,1,5:46.0,A. Bradley makes 2-pt jump shot from 16 ft,,11,13
53,1,5:36.0,,N. Jokić makes 2-pt hook shot from 5 ft,11,15
54,1,5:22.0,I. Thomas misses 3-pt jump shot from 25 ft,,11,15
55,1,5:21.0,,Defensive rebound by G. Harris,11,15
56,1,5:12.0,,W. Chandler makes 3-pt jump shot from 25 ft (assist by G. Harris),11,18
57,1,4:56.0,J. Crowder misses 3-pt jump shot from 26 ft,,11,18
58,1,4:55.0,,Defensive rebound by J. Nelson,11,18
59,1,4:49.0,,Turnover by G. Harris (lost ball; steal by I. Thomas),11,18
60,1,4:40.0,A. Bradley makes 3-pt jump shot from 25 ft (assist by I. Thomas),,14,18
61,1,4:15.0,,N. Jokić makes 2-pt layup from 3 ft (assist by J. Nelson),14,20
62,1,3:53.0,A. Horford makes 2-pt jump shot from 15 ft,,16,20
63,1,3:38.0,,J. Nelson misses 3-pt jump shot from 24 ft,16,20
64,1,3:36.0,Defensive rebound by A. Johnson,,16,20
65,1,3:34.0,Turnover by A. Johnson (lost ball; steal by G. Harris),,16,20
66,1,3:27.0,,D. Gallinari makes 2-pt jump shot from 16 ft (assist by J. Nelson),16,22
67,1,3:09.0,A. Johnson misses 2-pt jump shot from 4 ft (block by W. Chandler),,16,22
68,1,3:07.0,Offensive rebound by A. Johnson,,16,22
69,1,3:07.0,A. Johnson makes 2-pt layup from 3 ft,,18,22
70,1,2:53.0,,D. Gallinari makes 2-pt jump shot from 10 ft (assist by J. Nelson),18,24
71,1,2:53.0,Boston full timeout,,18,24
72,1,2:53.0,,Denver full timeout,18,24
73,1,2:53.0,M. Smart enters the game for A. Johnson,,18,24
74,1,2:53.0,K. Olynyk enters the game for A. Bradley,,18,24
75,1,2:53.0,J. Brown enters the game for A. Horford,,18,24
76,1,2:53.0,J. Jerebko enters the game for J. Crowder,,18,24
77,1,2:53.0,,M. Plumlee enters the game for D. Gallinari,18,24
78,1,2:53.0,,W. Barton enters the game for N. Jokić,18,24
79,1,2:37.0,J. Jerebko misses 3-pt jump shot from 23 ft,,18,24
80,1,2:36.0,,Defensive rebound by W. Chandler,18,24
81,1,2:24.0,,W. Chandler makes 2-pt jump shot from 4 ft,18,26
82,1,2:18.0,J. Jerebko misses 2-pt jump shot from 3 ft (block by M. Plumlee),,18,26
83,1,2:17.0,Offensive rebound by J. Brown,,18,26
84,1,2:13.0,J. Brown makes 2-pt layup from 1 ft,,20,26
85,1,1:57.0,,W. Chandler makes 3-pt jump shot from 25 ft (assist by J. Nelson),20,29
86,1,1:40.0,M. Smart makes 3-pt jump shot from 25 ft (assist by K. Olynyk),,23,29
87,1,1:31.0,,W. Barton makes 2-pt layup from 2 ft (assist by M. Plumlee),23,31
88,1,1:17.0,I. Thomas makes 2-pt layup from 2 ft,,25,31
89,1,1:08.0,,J. Nelson makes 2-pt layup from 1 ft,25,33
90,1,1:08.0,,Shooting foul by I. Thomas (drawn by J. Nelson),25,33
91,1,1:08.0,,J. Nelson misses free throw 1 of 1,25,33
92,1,1:08.0,T. Rozier enters the game for I. Thomas,,25,33
93,1,1:08.0,,J. Hernangómez enters the game for G. Harris,25,33
94,1,1:06.0,Defensive rebound by T. Rozier,,25,33
95,1,0:48.0,M. Smart misses 2-pt jump shot from 19 ft,,25,33
96,1,0:47.0,,Defensive rebound by W. Chandler,25,33
97,1,0:42.0,,Shooting foul by J. Brown (drawn by W. Chandler),25,33
98,1,0:42.0,,W. Chandler makes free throw 1 of 2,25,34
99,1,0:42.0,,J. Murray enters the game for J. Nelson,25,34
100,1,0:42.0,,W. Chandler makes free throw 2 of 2,25,35
101,1,0:22.0,T. Rozier misses 3-pt jump shot from 26 ft,,25,35
102,1,0:20.0,,Defensive rebound by W. Chandler,25,35
103,1,0:01.0,,J. Murray misses 3-pt jump shot from 34 ft,25,35
104,1,0:00.0,,Offensive rebound by Team,25,35
105,2,11:47.0,,J. Murray makes 3-pt jump shot from 27 ft (assist by M. Plumlee),25,38
106,2,11:28.0,Turnover by K. Olynyk (bad pass),,25,38
107,2,11:12.0,,Turnover by J. Murray (bad pass; steal by T. Rozier),25,38
108,2,11:09.0,M. Smart misses 2-pt jump shot from 4 ft,,25,38
109,2,11:08.0,Offensive rebound by M. Smart,,25,38
110,2,11:07.0,Shooting foul by D. Arthur (drawn by M. Smart),,25,38
111,2,11:07.0,M. Smart makes free throw 1 of 2,,26,38
112,2,11:07.0,M. Smart makes free throw 2 of 2,,27,38
113,2,10:52.0,,J. Murray misses 2-pt jump shot from 20 ft,27,38
114,2,10:50.0,Defensive rebound by K. Olynyk,,27,38
115,2,10:37.0,T. Rozier misses 2-pt jump shot from 11 ft,,27,38
116,2,10:36.0,,Defensive rebound by M. Plumlee,27,38
117,2,10:31.0,,J. Hernangómez makes 3-pt jump shot from 25 ft (assist by M. Plumlee),27,41
118,2,10:13.0,K. Olynyk misses 2-pt jump shot from 18 ft,,27,41
119,2,10:11.0,Offensive rebound by T. Rozier,,27,41
120,2,10:06.0,J. Brown makes 2-pt layup from 2 ft,,29,41
121,2,9:54.0,,D. Arthur misses 2-pt jump shot from 21 ft,29,41
122,2,9:54.0,Defensive rebound by Team,,29,41
123,2,9:54.0,,Loose ball foul by M. Plumlee (drawn by K. Olynyk),29,41
124,2,9:53.0,A. Horford enters the game for J. Jerebko,,29,41
125,2,9:34.0,M. Smart makes 2-pt layup from 2 ft (assist by A. Horford),,31,41
126,2,9:15.0,,J. Murray misses 2-pt layup from 1 ft,31,41
127,2,9:14.0,Defensive rebound by K. Olynyk,,31,41
128,2,9:05.0,M. Smart misses 3-pt jump shot from 26 ft,,31,41
129,2,9:03.0,,Defensive rebound by D. Arthur,31,41
130,2,8:43.0,,M. Plumlee makes 2-pt hook shot from 6 ft,31,43
131,2,8:34.0,K. Olynyk misses 3-pt jump shot from 25 ft,,31,43
132,2,8:33.0,,Defensive rebound by D. Arthur,31,43
133,2,8:23.0,,W. Barton misses 2-pt jump shot from 17 ft,31,43
134,2,8:21.0,,Offensive rebound by D. Arthur,31,43
135,2,8:17.0,,W. Barton misses 3-pt jump shot from 26 ft,31,43
136,2,8:16.0,Defensive rebound by M. Smart,,31,43
137,2,8:05.0,J. Brown misses 3-pt jump shot from 24 ft,,31,43
138,2,8:04.0,,Defensive rebound by W. Barton,31,43
139,2,7:54.0,,D. Arthur makes 3-pt jump shot from 25 ft (assist by W. Barton),31,46
140,2,7:54.0,Boston full timeout,,31,46
141,2,7:54.0,J. Crowder enters the game for K. Olynyk,,31,46
142,2,7:32.0,M. Smart misses 2-pt layup from 2 ft,,31,46
143,2,7:32.0,,Defensive rebound by J. Murray,31,46
144,2,7:28.0,,Personal foul by J. Brown,31,46
145,2,7:28.0,,J. Hernangómez makes free throw 1 of 2,31,47
146,2,7:28.0,I. Thomas enters the game for T. Rozier,,31,47
147,2,7:28.0,A. Bradley enters the game for J. Brown,,31,47
148,2,7:28.0,,J. Hernangómez makes free throw 2 of 2,31,48
149,2,7:10.0,A. Horford misses 2-pt hook shot from 3 ft,,31,48
150,2,7:08.0,Offensive rebound by M. Smart,,31,48
151,2,7:05.0,M. Smart misses 2-pt layup from 3 ft,,31,48
152,2,7:03.0,Offensive rebound by M. Smart,,31,48
153,2,7:03.0,M. Smart makes 2-pt layup from 2 ft,,33,48
154,2,6:47.0,,D. Arthur misses 3-pt jump shot from 25 ft,33,48
155,2,6:45.0,,Offensive rebound by M. Plumlee,33,48
156,2,6:37.0,,J. Murray makes 2-pt layup from 1 ft (assist by W. Barton),33,50
157,2,6:20.0,Personal foul by J. Hernangómez,,33,50
158,2,6:20.0,,D. Gallinari enters the game for J. Hernangómez,33,50
159,2,6:12.0,I. Thomas misses 2-pt jump shot from 3 ft (block by W. Barton),,33,50
160,2,6:09.0,,Defensive rebound by D. Gallinari,33,50
161,2,6:03.0,,J. Murray makes 2-pt layup from 2 ft (assist by D. Arthur),33,52
162,2,5:52.0,A. Bradley makes 3-pt jump shot from 22 ft (assist by I. Thomas),,36,52
163,2,5:37.0,,Personal foul by I. Thomas (drawn by W. Barton),36,52
164,2,5:37.0,Official timeout,,36,52
165,2,5:37.0,G. Green enters the game for M. Smart,,36,52
166,2,5:37.0,,N. Jokić enters the game for M. Plumlee,36,52
167,2,5:24.0,,D. Arthur misses 2-pt jump shot from 20 ft,36,52
168,2,5:23.0,Defensive rebound by G. Green,,36,52
169,2,5:05.0,Turnover by G. Green (traveling),,36,52
170,2,5:05.0,,W. Chandler enters the game for D. Arthur,36,52
171,2,5:05.0,,G. Harris enters the game for W. Barton,36,52
172,2,4:47.0,,W. Chandler makes 2-pt layup from 1 ft (assist by N. Jokić),36,54
173,2,4:32.0,J. Crowder misses 2-pt layup from 2 ft,,36,54
174,2,4:32.0,,Defensive rebound by J. Murray,36,54
175,2,4:26.0,,J. Murray makes 2-pt layup from 2 ft,36,56
176,2,4:12.0,A. Horford makes 2-pt jump shot from 20 ft (assist by I. Thomas),,38,56
177,2,3:57.0,,J. Murray makes 2-pt layup from 2 ft,38,58
178,2,3:42.0,Turnover by A. Horford (lost ball; steal by N. Jokić),,38,58
179,2,3:36.0,,J. Murray misses 3-pt jump shot from 26 ft,38,58
180,2,3:35.0,Defensive rebound by Team,,38,58
