,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,NEW YORK_ACTION,LA CLIPPERS_SCORE,NEW YORK_SCORE
0,1,11:45.0,J. Redick makes 3-pt jump shot from 25 ft (assist by A. Rivers),,3,0
1,1,11:28.0,,K. Porziņģis misses 2-pt hook shot from 4 ft,3,0
2,1,11:25.0,,Offensive rebound by K. O'Quinn,3,0
3,1,11:24.0,,K. O'Quinn misses 2-pt layup from 1 ft,3,0
4,1,11:22.0,,Offensive rebound by K. O'Quinn,3,0
5,1,11:08.0,,D. Rose makes 2-pt layup from 2 ft (assist by C. Lee),3,2
6,1,10:58.0,A. Rivers makes 2-pt jump shot from 7 ft,,5,2
7,1,10:36.0,,D. Rose misses 3-pt jump shot from 25 ft,5,2
8,1,10:34.0,,Offensive rebound by K. Porziņģis,5,2
9,1,10:33.0,,K. Porziņģis makes 2-pt layup from 1 ft,5,4
10,1,10:06.0,L. Mbah a Moute misses 3-pt jump shot from 23 ft,,5,4
11,1,10:04.0,,Defensive rebound by D. Rose,5,4
12,1,9:59.0,,C. Lee makes 2-pt jump shot from 17 ft (assist by D. Rose),5,6
13,1,9:54.0,Shooting foul by K. O'Quinn (drawn by B. Griffin),,5,6
14,1,9:54.0,B. Griffin misses free throw 1 of 2,,5,6
15,1,9:54.0,Offensive rebound by Team,,5,6
16,1,9:54.0,B. Griffin makes free throw 2 of 2,,6,6
17,1,9:35.0,,K. Porziņģis makes 2-pt jump shot from 14 ft,6,8
18,1,9:19.0,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),,8,8
19,1,9:08.0,,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by D. Rose),8,11
20,1,8:58.0,B. Griffin makes 3-pt jump shot from 25 ft (assist by A. Rivers),,11,11
21,1,8:44.0,,K. Porziņģis misses 3-pt jump shot from 25 ft,11,11
22,1,8:43.0,,Offensive rebound by Team,11,11
23,1,8:43.0,Loose ball foul by L. Mbah a Moute (drawn by K. O'Quinn),,11,11
24,1,8:32.0,,K. O'Quinn makes 2-pt jump shot from 5 ft (assist by C. Lee),11,13
