,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PHOENIX_ACTION,NEW ORLEANS_SCORE,PHOENIX_SCORE
0,1,11:40.0,,D. Booker misses 2-pt jump shot from 14 ft,0,0
1,1,11:38.0,Defensive rebound by S. Hill,,0,0
2,1,11:28.0,Personal foul by P. Tucker (drawn by A. Davis),,0,0
3,1,11:19.0,S. Hill makes 3-pt jump shot from 26 ft (assist by J. Holiday),,3,0
4,1,11:04.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),3,3
5,1,10:53.0,A. Ajinça makes 2-pt jump shot from 10 ft (assist by A. Davis),,5,3
6,1,10:36.0,,Turnover by D. Booker (bad pass; steal by A. Ajinça),5,3
7,1,10:31.0,B. Hield misses 2-pt layup from 2 ft,,5,3
8,1,10:28.0,,Defensive rebound by D. Booker,5,3
9,1,10:23.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,5,3
10,1,10:20.0,Defensive rebound by A. Ajinça,,5,3
11,1,10:15.0,J. Holiday makes 3-pt jump shot from 26 ft,,8,3
12,1,9:59.0,,Personal foul by S. Hill (drawn by M. Chriss),8,3
13,1,9:51.0,,Turnover by D. Booker (bad pass; steal by A. Davis),8,3
14,1,9:48.0,Shooting foul by E. Bledsoe (drawn by B. Hield),,8,3
15,1,9:48.0,B. Hield misses free throw 1 of 2,,8,3
16,1,9:48.0,Offensive rebound by Team,,8,3
17,1,9:48.0,B. Hield makes free throw 2 of 2,,9,3
18,1,9:36.0,,Turnover by E. Bledsoe (lost ball; steal by A. Ajinça),9,3
19,1,9:28.0,Turnover by S. Hill (bad pass),,9,3
20,1,9:04.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by D. Booker),9,6
21,1,8:51.0,A. Ajinça misses 2-pt jump shot from 19 ft,,9,6
22,1,8:49.0,,Defensive rebound by T. Chandler,9,6
23,1,8:38.0,,M. Chriss misses 2-pt jump shot from 20 ft,9,6
24,1,8:37.0,,Offensive rebound by T. Chandler,9,6
25,1,8:32.0,,P. Tucker makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),9,9
26,1,8:16.0,A. Davis makes 2-pt jump shot from 19 ft (assist by S. Hill),,11,9
27,1,7:51.0,,T. Chandler makes 2-pt layup at rim (assist by E. Bledsoe),11,11
28,1,7:41.0,S. Hill makes 2-pt jump shot from 18 ft,,13,11
29,1,7:21.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,13,11
30,1,7:19.0,Defensive rebound by A. Ajinça,,13,11
31,1,7:10.0,J. Holiday misses 3-pt jump shot from 24 ft,,13,11
32,1,7:08.0,,Defensive rebound by T. Chandler,13,11
33,1,6:48.0,,D. Booker makes 2-pt jump shot from 22 ft,13,13
34,1,6:29.0,S. Hill misses 2-pt dunk at rim,,13,13
35,1,6:25.0,,Defensive rebound by P. Tucker,13,13
