,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,BOSTON_ACTION,WASHINGTON_SCORE,BOSTON_SCORE
0,1,11:48.0,M. Gortat makes 2-pt layup from 2 ft (assist by J. Wall),,2,0
1,1,11:33.0,,J. Crowder misses 2-pt jump shot from 20 ft,2,0
2,1,11:32.0,Defensive rebound by O. Porter,,2,0
3,1,11:13.0,M. Morris misses 2-pt jump shot from 9 ft,,2,0
4,1,11:12.0,Offensive rebound by M. Gortat,,2,0
5,1,11:06.0,B. Beal makes 3-pt jump shot from 25 ft,,5,0
6,1,10:48.0,,A. Bradley misses 3-pt jump shot from 26 ft,5,0
7,1,10:47.0,Defensive rebound by B. Beal,,5,0
8,1,10:38.0,O. Porter makes 2-pt layup from 2 ft,,7,0
9,1,10:29.0,,I. Thomas misses 2-pt jump shot from 5 ft,7,0
10,1,10:28.0,Defensive rebound by J. Wall,,7,0
11,1,10:14.0,B. Beal makes 2-pt layup from 2 ft (assist by M. Gortat),,9,0
12,1,10:14.0,,Boston full timeout,9,0
13,1,9:56.0,,I. Thomas misses 2-pt jump shot from 6 ft,9,0
14,1,9:55.0,Defensive rebound by O. Porter,,9,0
15,1,9:45.0,Personal foul by J. Crowder (drawn by M. Morris),,9,0
16,1,9:45.0,,A. Johnson enters the game for G. Green,9,0
17,1,9:36.0,M. Gortat makes 2-pt hook shot from 8 ft (assist by B. Beal),,11,0
18,1,9:20.0,,A. Bradley misses 2-pt jump shot from 18 ft,11,0
19,1,9:19.0,Defensive rebound by O. Porter,,11,0
20,1,9:01.0,M. Morris misses 3-pt jump shot from 25 ft,,11,0
21,1,9:00.0,Offensive rebound by M. Gortat,,11,0
22,1,8:56.0,J. Wall makes 3-pt jump shot from 28 ft (assist by B. Beal),,14,0
23,1,8:38.0,,I. Thomas misses 2-pt layup from 2 ft,14,0
24,1,8:37.0,Defensive rebound by O. Porter,,14,0
25,1,8:32.0,M. Gortat misses 2-pt jump shot from 7 ft (block by A. Johnson),,14,0
26,1,8:31.0,Offensive rebound by Team,,14,0
27,1,8:28.0,B. Beal misses 2-pt jump shot from 17 ft,,14,0
28,1,8:27.0,Offensive rebound by M. Morris,,14,0
29,1,8:21.0,J. Wall makes 2-pt jump shot from 17 ft,,16,0
30,1,8:04.0,,Shooting foul by J. Wall (drawn by I. Thomas),16,0
31,1,8:04.0,,I. Thomas makes free throw 1 of 3,16,1
32,1,8:04.0,,I. Thomas makes free throw 2 of 3,16,2
33,1,8:04.0,,M. Smart enters the game for J. Crowder,16,2
34,1,8:04.0,,K. Olynyk enters the game for A. Horford,16,2
35,1,8:04.0,,I. Thomas makes free throw 3 of 3,16,3
36,1,7:46.0,M. Morris makes 2-pt hook shot from 5 ft (assist by B. Beal),,18,3
37,1,7:30.0,,A. Bradley misses 3-pt jump shot from 25 ft,18,3
38,1,7:29.0,Defensive rebound by M. Morris,,18,3
39,1,7:11.0,J. Wall makes 2-pt jump shot from 10 ft,,20,3
40,1,6:54.0,,K. Olynyk misses 2-pt jump shot from 8 ft,20,3
41,1,6:53.0,Defensive rebound by M. Morris,,20,3
42,1,6:46.0,Turnover by J. Wall (lost ball; steal by M. Smart),,20,3
43,1,6:42.0,,A. Bradley makes 2-pt layup from 2 ft (assist by M. Smart),20,5
44,1,6:29.0,O. Porter makes 2-pt jump shot from 8 ft (assist by J. Wall),,22,5
45,1,6:16.0,,A. Bradley misses 3-pt jump shot from 25 ft,22,5
46,1,6:15.0,Defensive rebound by J. Wall,,22,5
47,1,6:09.0,J. Wall misses 2-pt jump shot from 14 ft,,22,5
48,1,6:08.0,Offensive rebound by Team,,22,5
49,1,6:08.0,Personal foul by A. Johnson (drawn by M. Gortat),,22,5
50,1,5:57.0,M. Gortat misses 2-pt jump shot from 8 ft,,22,5
51,1,5:56.0,,Defensive rebound by M. Smart,22,5
52,1,5:45.0,,I. Thomas makes 3-pt jump shot from 25 ft (assist by K. Olynyk),22,8
53,1,5:30.0,B. Beal misses 2-pt layup from 3 ft,,22,8
54,1,5:28.0,,Defensive rebound by K. Olynyk,22,8
55,1,5:22.0,,I. Thomas makes 3-pt jump shot from 27 ft (assist by A. Bradley),22,11
56,1,5:21.0,Washington full timeout,,22,11
57,1,5:12.0,Shooting foul by A. Johnson (drawn by M. Gortat),,22,11
58,1,5:12.0,M. Gortat misses free throw 1 of 2,,22,11
59,1,5:12.0,Offensive rebound by Team,,22,11
60,1,5:12.0,M. Gortat makes free throw 2 of 2,,23,11
61,1,4:59.0,Offensive charge foul by K. Olynyk (drawn by M. Gortat),,23,11
62,1,4:59.0,,Turnover by K. Olynyk (offensive foul),23,11
63,1,4:45.0,M. Gortat makes 2-pt jump shot from 13 ft (assist by J. Wall),,25,11
64,1,4:29.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by I. Thomas),25,14
65,1,4:16.0,M. Morris misses 2-pt layup from 1 ft,,25,14
66,1,4:15.0,Offensive rebound by M. Gortat,,25,14
67,1,4:14.0,M. Gortat makes 2-pt layup from 2 ft,,27,14
68,1,4:14.0,Violation by Team (jump ball),,27,14
69,1,3:56.0,,A. Johnson misses 2-pt layup from 2 ft (block by M. Morris),27,14
70,1,3:55.0,,Offensive rebound by A. Bradley,27,14
71,1,3:52.0,,M. Smart misses 3-pt jump shot from 25 ft,27,14
72,1,3:51.0,,Offensive rebound by Team,27,14
73,1,3:51.0,K. Oubre enters the game for M. Morris,,27,14
74,1,3:42.0,,A. Bradley misses 2-pt jump shot from 18 ft,27,14
75,1,3:41.0,Defensive rebound by Team,,27,14
76,1,3:27.0,Personal foul by M. Smart (drawn by M. Gortat),,27,14
77,1,3:14.0,O. Porter makes 2-pt layup from 2 ft (assist by J. Wall),,29,14
78,1,3:02.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by I. Thomas),29,17
79,1,2:44.0,K. Oubre makes 3-pt jump shot from 23 ft (assist by J. Wall),,32,17
80,1,2:34.0,,I. Thomas makes 3-pt jump shot from 25 ft,32,20
81,1,2:18.0,K. Oubre makes 3-pt jump shot from 23 ft (assist by M. Gortat),,35,20
82,1,1:59.0,,Turnover by I. Thomas (lost ball; steal by B. Beal),35,20
83,1,1:55.0,Shooting foul by A. Bradley (drawn by B. Beal),,35,20
84,1,1:55.0,B. Beal makes free throw 1 of 2,,36,20
85,1,1:55.0,B. Beal misses free throw 2 of 2,,36,20
86,1,1:55.0,,Defensive rebound by K. Olynyk,36,20
87,1,1:55.0,B. Jennings enters the game for J. Wall,,36,20
88,1,1:55.0,,A. Horford enters the game for A. Johnson,36,20
89,1,1:55.0,,J. Crowder enters the game for I. Thomas,36,20
90,1,1:36.0,,Shooting foul by O. Porter (drawn by K. Olynyk),36,20
91,1,1:36.0,,K. Olynyk makes 2-pt layup from 3 ft,36,22
92,1,1:36.0,,K. Olynyk misses free throw 1 of 1,36,22
93,1,1:36.0,Defensive rebound by O. Porter,,36,22
94,1,1:17.0,Turnover by B. Beal (bad pass; steal by M. Smart),,36,22
95,1,1:13.0,,J. Crowder misses 2-pt layup from 2 ft,36,22
96,1,1:12.0,Defensive rebound by Team,,36,22
97,1,0:55.0,B. Beal makes 2-pt jump shot from 15 ft,,38,22
98,1,0:36.0,,K. Olynyk makes 2-pt layup from 2 ft (assist by A. Horford),38,24
99,1,0:30.0,B. Beal misses 3-pt jump shot from 25 ft,,38,24
