,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PHILADELPHIA_ACTION,BROOKLYN_SCORE,PHILADELPHIA_SCORE
0,1,11:55.0,,Turnover by J. Okafor (lost ball),0,0
1,1,11:41.0,B. Lopez makes 2-pt jump shot from 18 ft,,2,0
2,1,11:25.0,,J. Embiid makes 2-pt hook shot from 4 ft (assist by J. Okafor),2,2
3,1,11:05.0,S. Kilpatrick misses 3-pt jump shot from 24 ft,,2,2
4,1,11:04.0,,Defensive rebound by J. Embiid,2,2
5,1,10:45.0,,J. Embiid misses 3-pt jump shot from 25 ft,2,2
6,1,10:43.0,Defensive rebound by B. Bogdanović,,2,2
7,1,10:31.0,B. Lopez makes 2-pt hook shot from 10 ft (assist by T. Booker),,4,2
8,1,10:06.0,,G. Henderson makes 3-pt jump shot from 25 ft (assist by J. Embiid),4,5
9,1,9:57.0,B. Lopez makes 3-pt jump shot from 27 ft (assist by T. Booker),,7,5
10,1,9:37.0,,J. Okafor misses 2-pt jump shot from 14 ft,7,5
11,1,9:36.0,Defensive rebound by S. Kilpatrick,,7,5
12,1,9:22.0,Turnover by B. Bogdanović (bad pass; steal by S. Rodríguez),,7,5
13,1,9:16.0,,Personal foul by I. Whitehead (drawn by J. Embiid),7,5
14,1,9:02.0,,Shooting foul by T. Booker (drawn by J. Embiid),7,5
15,1,9:02.0,,J. Embiid makes free throw 1 of 2,7,6
16,1,9:02.0,,J. Embiid makes free throw 2 of 2,7,7
17,1,8:55.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,7,7
18,1,8:52.0,,Defensive rebound by J. Embiid,7,7
19,1,8:46.0,,S. Rodríguez makes 3-pt jump shot from 25 ft,7,10
20,1,8:28.0,S. Kilpatrick makes 2-pt jump shot from 17 ft,,9,10
21,1,8:05.0,,Turnover by S. Rodríguez (traveling),9,10
22,1,7:52.0,B. Lopez misses 2-pt jump shot from 4 ft,,9,10
23,1,7:50.0,Offensive rebound by B. Lopez,,9,10
24,1,7:50.0,B. Lopez misses 2-pt layup from 1 ft,,9,10
25,1,7:49.0,Offensive rebound by B. Lopez,,9,10
26,1,7:49.0,Shooting foul by R. Covington (drawn by B. Lopez),,9,10
27,1,7:49.0,B. Lopez makes free throw 1 of 2,,10,10
