,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MILWAUKEE_ACTION,MEMPHIS_SCORE,MILWAUKEE_SCORE
0,1,11:45.0,,G. Antetokounmpo makes 2-pt jump shot from 5 ft,0,2
1,1,11:28.0,M. Conley misses 3-pt jump shot from 27 ft,,0,2
2,1,11:26.0,,Defensive rebound by J. Parker,0,2
3,1,11:19.0,,T. Snell makes 3-pt jump shot from 25 ft (assist by J. Henson),0,5
4,1,10:56.0,Shooting foul by J. Henson (drawn by J. Ennis),,0,5
5,1,10:56.0,J. Ennis makes free throw 1 of 2,,1,5
6,1,10:56.0,J. Ennis makes free throw 2 of 2,,2,5
7,1,10:45.0,,Personal foul by J. Ennis (drawn by G. Antetokounmpo),2,5
8,1,10:35.0,,G. Antetokounmpo makes 2-pt hook shot from 5 ft,2,7
9,1,10:20.0,J. Green misses 2-pt jump shot from 18 ft,,2,7
10,1,10:19.0,Offensive rebound by M. Gasol,,2,7
11,1,10:09.0,C. Parsons misses 3-pt jump shot from 25 ft,,2,7
12,1,10:08.0,,Defensive rebound by J. Henson,2,7
13,1,9:53.0,,J. Henson makes 2-pt layup at rim (assist by T. Snell),2,9
14,1,9:40.0,Turnover by J. Green (bad pass; steal by G. Antetokounmpo),,2,9
15,1,9:28.0,,J. Parker makes 2-pt layup from 4 ft,2,11
16,1,9:18.0,Memphis full timeout,,2,11
17,1,9:08.0,J. Green misses 2-pt layup at rim (block by G. Antetokounmpo),,2,11
18,1,9:06.0,,Defensive rebound by J. Henson,2,11
19,1,8:51.0,Offensive charge foul by J. Parker (drawn by J. Green),,2,11
20,1,8:51.0,,Turnover by J. Parker (offensive foul),2,11
21,1,8:31.0,M. Conley makes 2-pt layup from 1 ft,,4,11
22,1,8:19.0,,T. Snell misses 3-pt jump shot from 25 ft,4,11
23,1,8:18.0,Defensive rebound by C. Parsons,,4,11
24,1,8:05.0,J. Ennis makes 2-pt jump shot from 16 ft,,6,11
25,1,7:52.0,,J. Parker misses 3-pt jump shot from 24 ft,6,11
26,1,7:51.0,Defensive rebound by M. Gasol,,6,11
27,1,7:44.0,Turnover by M. Conley (bad pass; steal by G. Antetokounmpo),,6,11
28,1,7:41.0,,Shooting foul by M. Gasol (drawn by G. Antetokounmpo),6,11
29,1,7:41.0,,G. Antetokounmpo makes free throw 1 of 2,6,12
30,1,7:41.0,,G. Antetokounmpo misses free throw 2 of 2,6,12
31,1,7:40.0,Defensive rebound by J. Green,,6,12
32,1,7:18.0,J. Green misses 2-pt hook shot from 7 ft,,6,12
33,1,7:17.0,,Defensive rebound by G. Antetokounmpo,6,12
34,1,7:07.0,,G. Antetokounmpo misses 2-pt layup from 2 ft (block by M. Gasol),6,12
35,1,7:04.0,Defensive rebound by M. Conley,,6,12
36,1,7:00.0,J. Green makes 2-pt layup at rim (assist by J. Ennis),,8,12
37,1,6:42.0,,G. Antetokounmpo makes 2-pt jump shot from 18 ft,8,14
38,1,6:27.0,C. Parsons misses 3-pt jump shot from 27 ft,,8,14
39,1,6:26.0,,Defensive rebound by J. Henson,8,14
40,1,6:12.0,,J. Parker misses 2-pt jump shot from 7 ft,8,14
41,1,6:11.0,Defensive rebound by M. Gasol,,8,14
42,1,6:00.0,M. Gasol misses 3-pt jump shot from 27 ft,,8,14
43,1,5:59.0,,Defensive rebound by J. Parker,8,14
44,1,5:46.0,,J. Parker misses 3-pt jump shot from 24 ft,8,14
45,1,5:44.0,Defensive rebound by C. Parsons,,8,14
46,1,5:31.0,C. Parsons makes 3-pt jump shot from 25 ft (assist by M. Gasol),,11,14
47,1,5:30.0,,Milwaukee full timeout,11,14
48,1,5:30.0,J. Martin enters the game for C. Parsons,,11,14
49,1,5:30.0,V. Carter enters the game for J. Green,,11,14
50,1,5:30.0,,G. Monroe enters the game for G. Antetokounmpo,11,14
51,1,5:30.0,,M. Beasley enters the game for J. Henson,11,14
52,1,5:10.0,,Shooting foul by V. Carter (drawn by M. Beasley),11,14
53,1,5:10.0,,M. Beasley makes free throw 1 of 2,11,15
54,1,5:10.0,,M. Beasley misses free throw 2 of 2,11,15
55,1,5:06.0,Defensive rebound by J. Ennis,,11,15
56,1,4:44.0,M. Conley misses 2-pt jump shot from 9 ft,,11,15
57,1,4:43.0,,Defensive rebound by M. Beasley,11,15
58,1,4:32.0,,Turnover by G. Monroe (bad pass; steal by M. Conley),11,15
59,1,4:31.0,Shooting foul by M. Beasley (drawn by J. Martin),,11,15
60,1,4:31.0,J. Martin makes free throw 1 of 2,,12,15
61,1,4:31.0,,M. Brogdon enters the game for M. Dellavedova,12,15
62,1,4:31.0,Z. Randolph enters the game for M. Gasol,,12,15
63,1,4:31.0,A. Harrison enters the game for M. Conley,,12,15
64,1,4:31.0,J. Martin makes free throw 2 of 2,,13,15
65,1,4:19.0,,G. Monroe makes 2-pt layup from 2 ft,13,17
66,1,4:03.0,Turnover by J. Martin (lost ball; steal by M. Beasley),,13,17
67,1,3:56.0,,T. Snell makes 3-pt jump shot from 25 ft (assist by M. Beasley),13,20
68,1,3:40.0,Z. Randolph misses 2-pt layup from 2 ft,,13,20
69,1,3:38.0,,Defensive rebound by G. Monroe,13,20
70,1,3:24.0,,T. Snell misses 3-pt jump shot from 25 ft,13,20
71,1,3:23.0,,Offensive rebound by M. Beasley,13,20
72,1,3:23.0,,Shooting foul by J. Ennis (drawn by M. Beasley),13,20
73,1,3:23.0,,M. Beasley makes free throw 1 of 2,13,21
74,1,3:23.0,,G. Antetokounmpo enters the game for J. Parker,13,21
75,1,3:23.0,,M. Beasley makes free throw 2 of 2,13,22
76,1,3:18.0,Memphis full timeout,,13,22
77,1,3:18.0,,J. Terry enters the game for T. Snell,13,22
78,1,3:18.0,W. Baldwin enters the game for J. Ennis,,13,22
79,1,3:01.0,A. Harrison misses 2-pt jump shot from 17 ft,,13,22
80,1,2:58.0,,Defensive rebound by M. Beasley,13,22
81,1,2:56.0,,Turnover by M. Beasley (bad pass; steal by Z. Randolph),13,22
82,1,2:44.0,Personal foul by G. Monroe (drawn by Z. Randolph),,13,22
83,1,2:28.0,J. Martin makes 2-pt layup from 1 ft (assist by Z. Randolph),,15,22
84,1,2:00.0,,M. Brogdon misses 2-pt jump shot from 5 ft (block by A. Harrison),15,22
85,1,2:00.0,,Offensive rebound by M. Brogdon,15,22
86,1,2:00.0,,Turnover by Team (shot clock),15,22
87,1,1:44.0,A. Harrison misses 3-pt jump shot from 27 ft,,15,22
88,1,1:43.0,,Defensive rebound by G. Monroe,15,22
89,1,1:27.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,15,24
90,1,1:02.0,Z. Randolph makes 2-pt jump shot from 16 ft,,17,24
