,QUARTER,TIME_REMAINING,PHOENIX_ACTION,OKLAHOMA CITY_ACTION,PHOENIX_SCORE,OKLAHOMA CITY_SCORE
0,1,11:41.0,D. Booker misses 3-pt jump shot from 23 ft,,0,0
1,1,11:40.0,Offensive rebound by T. Chandler,,0,0
2,1,11:40.0,T. Chandler makes 2-pt layup from 1 ft,,2,0
3,1,11:13.0,,R. Westbrook misses 2-pt layup from 1 ft,2,0
4,1,11:13.0,Defensive rebound by T. Chandler,,2,0
5,1,11:01.0,Turnover by E. Bledsoe (bad pass; steal by V. Oladipo),,2,0
6,1,10:58.0,,Shooting foul by T. Warren (drawn by V. Oladipo),2,0
7,1,10:58.0,,V. Oladipo makes free throw 1 of 2,2,1
8,1,10:58.0,,V. Oladipo makes free throw 2 of 2,2,2
9,1,10:35.0,Turnover by D. Booker (bad pass; steal by S. Adams),,2,2
10,1,10:29.0,,D. Sabonis misses 2-pt layup from 2 ft,2,2
11,1,10:29.0,Defensive rebound by T. Warren,,2,2
12,1,10:14.0,D. Booker makes 2-pt jump shot from 8 ft,,4,2
13,1,9:52.0,,V. Oladipo makes 2-pt jump shot from 13 ft,4,4
14,1,9:29.0,D. Booker makes 3-pt jump shot from 26 ft (assist by J. Dudley),,7,4
15,1,9:14.0,,Personal foul by E. Bledsoe (drawn by R. Westbrook),7,4
16,1,9:07.0,,V. Oladipo misses 2-pt jump shot from 15 ft,7,4
17,1,9:06.0,Defensive rebound by E. Bledsoe,,7,4
18,1,9:01.0,T. Warren makes 2-pt layup from 1 ft (assist by E. Bledsoe),,9,4
19,1,8:51.0,,R. Westbrook misses 2-pt jump shot from 12 ft,9,4
20,1,8:50.0,Defensive rebound by T. Chandler,,9,4
21,1,8:42.0,J. Dudley makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),,12,4
22,1,8:22.0,,Turnover by A. Roberson (traveling),12,4
23,1,8:22.0,,Violation by Team (jump ball),12,4
24,1,8:13.0,T. Warren makes 2-pt jump shot from 11 ft (assist by E. Bledsoe),,14,4
25,1,8:12.0,,Oklahoma City full timeout,14,4
26,1,8:02.0,,V. Oladipo makes 3-pt jump shot from 23 ft (assist by R. Westbrook),14,7
27,1,7:51.0,E. Bledsoe makes 2-pt layup from 1 ft,,16,7
28,1,7:35.0,,Turnover by S. Adams (bad pass; steal by J. Dudley),16,7
29,1,7:26.0,T. Warren makes 2-pt jump shot from 18 ft,,18,7
30,1,7:10.0,,D. Sabonis makes 2-pt jump shot from 20 ft (assist by R. Westbrook),18,9
31,1,6:54.0,Shooting foul by V. Oladipo (drawn by D. Booker),,18,9
32,1,6:54.0,D. Booker misses free throw 1 of 2,,18,9
33,1,6:54.0,Offensive rebound by Team,,18,9
34,1,6:54.0,D. Booker makes free throw 2 of 2,,19,9
35,1,6:45.0,,R. Westbrook misses 2-pt layup from 1 ft,19,9
36,1,6:44.0,Defensive rebound by E. Bledsoe,,19,9
37,1,6:37.0,D. Booker makes 3-pt jump shot from 22 ft (assist by E. Bledsoe),,22,9
38,1,6:20.0,,R. Westbrook misses 3-pt jump shot from 24 ft,22,9
39,1,6:19.0,,Offensive rebound by Team,22,9
40,1,6:19.0,,E. İlyasova enters the game for D. Sabonis,22,9
41,1,6:10.0,,Turnover by R. Westbrook (traveling),22,9
42,1,5:57.0,D. Booker misses 3-pt jump shot from 24 ft,,22,9
43,1,5:57.0,,Defensive rebound by A. Roberson,22,9
44,1,5:49.0,,R. Westbrook makes 2-pt jump shot from 13 ft,22,11
45,1,5:28.0,Shooting foul by A. Roberson (drawn by T. Warren),,22,11
46,1,5:28.0,T. Warren misses free throw 1 of 2,,22,11
47,1,5:28.0,Offensive rebound by Team,,22,11
48,1,5:28.0,P. Tucker enters the game for J. Dudley,,22,11
49,1,5:28.0,B. Knight enters the game for E. Bledsoe,,22,11
50,1,5:28.0,T. Warren makes free throw 2 of 2,,23,11
51,1,5:10.0,,V. Oladipo makes 2-pt dunk at rim (assist by R. Westbrook),23,13
52,1,4:47.0,B. Knight makes 3-pt jump shot from 28 ft (assist by D. Booker),,26,13
53,1,4:34.0,,R. Westbrook misses 2-pt jump shot from 8 ft,26,13
54,1,4:33.0,Defensive rebound by P. Tucker,,26,13
55,1,4:18.0,T. Chandler makes 2-pt dunk at rim (assist by T. Warren),,28,13
56,1,4:18.0,Shooting foul by E. İlyasova (drawn by T. Chandler),,28,13
57,1,4:18.0,,K. Singler enters the game for V. Oladipo,28,13
58,1,4:18.0,T. Chandler makes free throw 1 of 1,,29,13
59,1,4:12.0,,K. Singler misses 3-pt jump shot from 24 ft,29,13
60,1,4:11.0,,Offensive rebound by S. Adams,29,13
61,1,4:09.0,,Turnover by S. Adams (lost ball; steal by B. Knight),29,13
62,1,4:03.0,T. Warren makes 2-pt jump shot from 19 ft,,31,13
63,1,4:02.0,,Oklahoma City full timeout,31,13
64,1,4:02.0,A. Len enters the game for T. Chandler,,31,13
65,1,3:53.0,,R. Westbrook makes 2-pt layup at rim,31,15
66,1,3:42.0,Turnover by T. Warren (bad pass; steal by R. Westbrook),,31,15
67,1,3:37.0,,A. Roberson makes 2-pt layup from 1 ft (assist by R. Westbrook),31,17
68,1,3:37.0,Phoenix full timeout,,31,17
69,1,3:30.0,Offensive foul by A. Len (drawn by S. Adams),,31,17
70,1,3:30.0,Turnover by A. Len (offensive foul),,31,17
71,1,3:22.0,,Shooting foul by A. Len (drawn by R. Westbrook),31,17
72,1,3:22.0,,R. Westbrook makes free throw 1 of 2,31,18
73,1,3:22.0,,E. Freedom enters the game for S. Adams,31,18
74,1,3:22.0,,R. Westbrook makes free throw 2 of 2,31,19
75,1,3:07.0,B. Knight misses 2-pt jump shot from 5 ft,,31,19
76,1,3:07.0,,Defensive rebound by R. Westbrook,31,19
77,1,3:01.0,,E. İlyasova makes 2-pt layup from 1 ft,31,21
78,1,2:32.0,D. Booker misses 2-pt layup from 3 ft,,31,21
79,1,2:31.0,,Defensive rebound by R. Westbrook,31,21
80,1,2:25.0,,E. İlyasova makes 3-pt jump shot from 24 ft (assist by R. Westbrook),31,24
81,1,2:07.0,T. Warren makes 2-pt jump shot from 9 ft (assist by P. Tucker),,33,24
82,1,1:50.0,,E. Freedom misses 2-pt jump shot from 5 ft,33,24
83,1,1:49.0,Defensive rebound by B. Knight,,33,24
84,1,1:35.0,P. Tucker misses 3-pt jump shot from 23 ft,,33,24
85,1,1:34.0,Offensive rebound by B. Knight,,33,24
86,1,1:29.0,B. Knight misses 3-pt jump shot from 24 ft,,33,24
87,1,1:28.0,,Defensive rebound by E. İlyasova,33,24
