,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,LA CLIPPERS_ACTION,SAN ANTONIO_SCORE,LA CLIPPERS_SCORE
164,2,4:41.0,,Personal foul by D. Green (drawn by C. Paul),29,32
165,2,4:41.0,,L. Mbah a Moute enters the game for J. Crawford,29,32
166,2,4:41.0,,J. Redick enters the game for A. Rivers,29,32
167,2,4:28.0,,C. Paul makes 3-pt jump shot from 25 ft,29,35
168,2,4:05.0,D. Green makes 3-pt jump shot from 24 ft (assist by K. Leonard),,32,35
169,2,4:01.0,,Turnover by M. Speights (bad pass; steal by K. Leonard),32,35
170,2,3:51.0,T. Parker makes 3-pt jump shot from 23 ft (assist by K. Leonard),,35,35
171,2,3:50.0,,LA Clippers full timeout,35,35
172,2,3:50.0,,D. Jordan enters the game for M. Speights,35,35
173,2,3:35.0,,Offensive foul by D. Jordan (drawn by P. Gasol),35,35
174,2,3:35.0,,Turnover by D. Jordan (offensive foul),35,35
175,2,3:14.0,T. Parker misses 2-pt jump shot from 22 ft,,35,35
176,2,3:12.0,Offensive rebound by L. Aldridge,,35,35
177,2,3:09.0,L. Aldridge makes 2-pt hook shot from 6 ft,,37,35
178,2,2:56.0,,C. Paul misses 2-pt jump shot from 18 ft,37,35
179,2,2:55.0,Defensive rebound by T. Parker,,37,35
180,2,2:45.0,L. Aldridge misses 2-pt jump shot from 17 ft,,37,35
181,2,2:45.0,,Defensive rebound by Team,37,35
182,2,2:45.0,Loose ball foul by D. Green (drawn by B. Griffin),,37,35
183,2,2:45.0,M. Ginóbili enters the game for D. Green,,37,35
184,2,2:45.0,P. Mills enters the game for T. Parker,,37,35
185,2,2:29.0,,B. Griffin makes 2-pt dunk at rim (assist by C. Paul),37,37
186,2,2:12.0,L. Aldridge misses 2-pt jump shot from 11 ft,,37,37
187,2,2:10.0,,Defensive rebound by C. Paul,37,37
188,2,1:56.0,,L. Mbah a Moute misses 2-pt jump shot from 19 ft,37,37
189,2,1:55.0,Defensive rebound by K. Leonard,,37,37
190,2,1:48.0,K. Leonard makes 2-pt jump shot from 20 ft,,39,37
191,2,1:48.0,Shooting foul by B. Griffin (drawn by K. Leonard),,39,37
192,2,1:48.0,K. Leonard misses free throw 1 of 1,,39,37
193,2,1:47.0,,Defensive rebound by D. Jordan,39,37
194,2,1:30.0,,B. Griffin misses 2-pt jump shot from 19 ft,39,37
195,2,1:29.0,Defensive rebound by L. Aldridge,,39,37
196,2,1:16.0,Def 3 sec tech foul by B. Griffin,,39,37
197,2,1:16.0,K. Leonard makes technical free throw,,40,37
