,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,OKLAHOMA CITY_ACTION,MINNESOTA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:38.0,Turnover by Z. LaVine (step out of bounds),,0,0
1,1,11:22.0,,D. Sabonis misses 2-pt jump shot from 19 ft,0,0
2,1,11:22.0,Defensive rebound by G. Dieng,,0,0
3,1,11:11.0,K. Towns misses 2-pt jump shot from 17 ft,,0,0
4,1,11:10.0,,Defensive rebound by A. Roberson,0,0
5,1,10:52.0,,A. Morrow misses 3-pt jump shot from 25 ft,0,0
6,1,10:51.0,,Offensive rebound by D. Sabonis,0,0
7,1,10:47.0,,A. Morrow misses 3-pt jump shot from 24 ft,0,0
8,1,10:46.0,Defensive rebound by K. Towns,,0,0
9,1,10:36.0,Personal foul by A. Morrow (drawn by A. Wiggins),,0,0
10,1,10:27.0,A. Wiggins makes 2-pt jump shot from 13 ft,,2,0
11,1,10:08.0,,S. Adams makes 2-pt hook shot from 5 ft,2,2
12,1,9:58.0,A. Wiggins misses 2-pt jump shot from 16 ft,,2,2
13,1,9:57.0,,Defensive rebound by R. Westbrook,2,2
14,1,9:43.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),2,4
15,1,9:33.0,Personal foul by S. Adams (drawn by K. Towns),,2,4
16,1,9:26.0,Z. LaVine makes 3-pt jump shot from 25 ft (assist by R. Rubio),,5,4
17,1,9:05.0,,Turnover by R. Westbrook (bad pass; steal by G. Dieng),5,4
18,1,9:01.0,Turnover by G. Dieng (lost ball; steal by R. Westbrook),,5,4
19,1,8:58.0,,Personal foul by G. Dieng (drawn by S. Adams),5,4
20,1,8:53.0,,Turnover by R. Westbrook (lost ball),5,4
21,1,8:40.0,A. Wiggins makes 2-pt jump shot from 15 ft (assist by R. Rubio),,7,4
22,1,8:32.0,,Personal foul by R. Rubio (drawn by R. Westbrook),7,4
23,1,8:23.0,,R. Westbrook makes 2-pt jump shot from 18 ft,7,6
24,1,8:03.0,Turnover by Z. LaVine (step out of bounds),,7,6
25,1,7:50.0,,D. Sabonis makes 2-pt dunk at rim,7,8
26,1,7:50.0,,Shooting foul by G. Dieng (drawn by D. Sabonis),7,8
27,1,7:50.0,,D. Sabonis makes free throw 1 of 1,7,9
28,1,7:38.0,R. Rubio misses 2-pt layup from 2 ft,,7,9
29,1,7:35.0,,Defensive rebound by S. Adams,7,9
30,1,7:34.0,,Turnover by S. Adams (bad pass; steal by R. Rubio),7,9
31,1,7:29.0,K. Towns misses 3-pt jump shot from 24 ft,,7,9
32,1,7:28.0,,Defensive rebound by R. Westbrook,7,9
33,1,7:22.0,J. Hill enters the game for G. Dieng,,7,9
34,1,7:15.0,,Turnover by S. Adams (bad pass; steal by J. Hill),7,9
35,1,7:06.0,K. Towns misses 2-pt dunk at rim (block by R. Westbrook),,7,9
36,1,7:05.0,Offensive rebound by J. Hill,,7,9
37,1,7:01.0,J. Hill makes 2-pt layup from 2 ft,,9,9
38,1,6:48.0,,A. Morrow makes 2-pt jump shot from 13 ft (assist by R. Westbrook),9,11
39,1,6:28.0,A. Wiggins misses 2-pt jump shot from 10 ft,,9,11
40,1,6:27.0,Offensive rebound by K. Towns,,9,11
41,1,6:22.0,J. Hill misses 2-pt jump shot from 11 ft,,9,11
42,1,6:22.0,,Defensive rebound by S. Adams,9,11
43,1,6:17.0,,A. Morrow misses 3-pt jump shot from 25 ft,9,11
44,1,6:16.0,Defensive rebound by J. Hill,,9,11
45,1,5:54.0,K. Towns makes 2-pt hook shot from 4 ft,,11,11
46,1,5:39.0,,R. Westbrook misses 2-pt layup at rim,11,11
47,1,5:39.0,Defensive rebound by K. Towns,,11,11
48,1,5:34.0,Z. LaVine misses 2-pt layup from 1 ft (block by D. Sabonis),,11,11
49,1,5:33.0,,Defensive rebound by D. Sabonis,11,11
50,1,5:28.0,,R. Westbrook misses 3-pt jump shot from 23 ft,11,11
51,1,5:27.0,,Offensive rebound by A. Roberson,11,11
52,1,5:24.0,,R. Westbrook misses 3-pt jump shot from 24 ft,11,11
53,1,5:23.0,Defensive rebound by J. Hill,,11,11
