,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,SAN ANTONIO_ACTION,GOLDEN STATE_SCORE,SAN ANTONIO_SCORE
0,1,11:34.0,,D. Green misses 3-pt jump shot from 24 ft,0,0
1,1,11:33.0,Defensive rebound by Team,,0,0
2,1,11:21.0,D. Green misses 2-pt layup from 1 ft,,0,0
3,1,11:20.0,,Defensive rebound by D. Dedmon,0,0
4,1,11:11.0,,L. Aldridge misses 2-pt jump shot from 16 ft,0,0
5,1,11:10.0,,Offensive rebound by Team,0,0
6,1,10:58.0,,Shooting foul by Z. Pachulia (drawn by D. Dedmon),0,0
7,1,10:58.0,,D. Dedmon makes free throw 1 of 2,0,1
8,1,10:58.0,,D. Dedmon makes free throw 2 of 2,0,2
9,1,10:46.0,K. Thompson misses 3-pt jump shot from 26 ft,,0,2
10,1,10:45.0,,Defensive rebound by L. Aldridge,0,2
11,1,10:30.0,,K. Leonard makes 2-pt jump shot from 8 ft,0,4
12,1,10:13.0,Turnover by Z. Pachulia (bad pass; steal by D. Green),,0,4
13,1,10:07.0,,D. Green makes 3-pt jump shot from 24 ft (assist by T. Parker),0,7
14,1,9:56.0,Offensive foul by D. Green (drawn by K. Leonard),,0,7
15,1,9:56.0,Turnover by D. Green (offensive foul),,0,7
16,1,9:36.0,,K. Leonard misses 2-pt jump shot from 15 ft,0,7
17,1,9:35.0,,Offensive rebound by K. Leonard,0,7
18,1,9:31.0,,T. Parker misses 2-pt jump shot from 20 ft,0,7
19,1,9:30.0,,Offensive rebound by D. Green,0,7
20,1,9:26.0,,D. Green makes 3-pt jump shot from 24 ft,0,10
21,1,9:26.0,Golden State full timeout,,0,10
22,1,9:09.0,S. Curry misses 2-pt jump shot from 21 ft,,0,10
23,1,9:08.0,,Defensive rebound by K. Leonard,0,10
24,1,8:51.0,,K. Leonard misses 2-pt layup from 1 ft,0,10
25,1,8:50.0,Defensive rebound by D. Green,,0,10
26,1,8:50.0,Turnover by D. Green (bad pass; steal by T. Parker),,0,10
27,1,8:45.0,,K. Leonard misses 3-pt jump shot from 25 ft,0,10
28,1,8:44.0,,Offensive rebound by D. Green,0,10
29,1,8:43.0,,Turnover by D. Green (bad pass; steal by S. Curry),0,10
30,1,8:39.0,Turnover by S. Curry (traveling),,0,10
31,1,8:22.0,,L. Aldridge makes 2-pt jump shot from 15 ft (assist by D. Green),0,12
32,1,8:11.0,D. Green misses 3-pt jump shot from 26 ft,,0,12
33,1,8:09.0,,Defensive rebound by K. Leonard,0,12
34,1,7:58.0,,D. Green makes 3-pt jump shot from 23 ft (assist by K. Leonard),0,15
35,1,7:46.0,S. Curry makes 3-pt jump shot from 25 ft,,3,15
36,1,7:36.0,,Turnover by T. Parker (bad pass; steal by D. Green),3,15
37,1,7:24.0,Turnover by D. Green (bad pass),,3,15
38,1,7:24.0,J. McGee enters the game for Z. Pachulia,,3,15
39,1,7:06.0,,D. Dedmon misses 2-pt layup from 2 ft (block by J. McGee),3,15
40,1,7:03.0,,Offensive rebound by D. Green,3,15
41,1,7:00.0,,D. Green misses 3-pt jump shot from 25 ft,3,15
42,1,6:59.0,Defensive rebound by K. Thompson,,3,15
43,1,6:50.0,K. Thompson misses 3-pt jump shot from 25 ft,,3,15
44,1,6:49.0,Offensive rebound by Team,,3,15
45,1,6:46.0,J. McGee misses 2-pt jump shot from 3 ft (block by D. Dedmon),,3,15
46,1,6:46.0,Offensive rebound by Team,,3,15
47,1,6:40.0,J. McGee misses 2-pt dunk at rim,,3,15
48,1,6:39.0,,Defensive rebound by D. Green,3,15
49,1,6:32.0,,Shooting foul by K. Thompson (drawn by K. Leonard),3,15
50,1,6:32.0,,K. Leonard makes free throw 1 of 2,3,16
51,1,6:32.0,A. Iguodala enters the game for M. Barnes,,3,16
52,1,6:32.0,,K. Leonard makes free throw 2 of 2,3,17
53,1,6:17.0,S. Curry misses 2-pt jump shot from 12 ft,,3,17
54,1,6:17.0,,Defensive rebound by D. Dedmon,3,17
55,1,6:02.0,,K. Leonard makes 2-pt jump shot from 20 ft,3,19
56,1,5:47.0,J. McGee misses 2-pt layup from 1 ft,,3,19
57,1,5:44.0,,Defensive rebound by D. Dedmon,3,19
58,1,5:39.0,,T. Parker misses 2-pt jump shot from 7 ft,3,19
59,1,5:36.0,,Offensive rebound by T. Parker,3,19
60,1,5:36.0,,L. Aldridge makes 2-pt layup from 1 ft,3,21
61,1,5:24.0,A. Iguodala misses 2-pt layup from 1 ft,,3,21
62,1,5:23.0,,Defensive rebound by L. Aldridge,3,21
63,1,5:01.0,,L. Aldridge makes 2-pt jump shot from 8 ft,3,23
64,1,5:01.0,Golden State full timeout,,3,23
65,1,5:01.0,,P. Mills enters the game for T. Parker,3,23
66,1,4:50.0,Shooting foul by D. Dedmon (drawn by S. Curry),,3,23
67,1,4:50.0,S. Curry makes free throw 1 of 2,,4,23
68,1,4:50.0,S. Curry makes free throw 2 of 2,,5,23
69,1,4:34.0,,K. Leonard misses 2-pt jump shot from 19 ft,5,23
70,1,4:33.0,Defensive rebound by D. Green,,5,23
71,1,4:27.0,Turnover by D. Green (bad pass; steal by K. Leonard),,5,23
72,1,4:22.0,,P. Mills makes 3-pt jump shot from 24 ft (assist by K. Leonard),5,26
73,1,3:54.0,J. McGee makes 2-pt layup from 2 ft (assist by S. Curry),,7,26
74,1,3:53.0,,San Antonio full timeout,7,26
75,1,3:53.0,S. Livingston enters the game for K. Thompson,,7,26
76,1,3:53.0,,P. Gasol enters the game for D. Dedmon,7,26
77,1,3:53.0,,M. Ginóbili enters the game for D. Green,7,26
78,1,3:29.0,,L. Aldridge makes 3-pt jump shot from 24 ft (assist by K. Leonard),7,29
79,1,3:05.0,Shooting foul by P. Mills (drawn by S. Curry),,7,29
80,1,3:05.0,S. Curry makes free throw 1 of 3,,8,29
81,1,3:05.0,S. Curry makes free throw 2 of 3,,9,29
82,1,3:05.0,S. Curry makes free throw 3 of 3,,10,29
83,1,2:43.0,,K. Leonard makes 2-pt layup from 2 ft (assist by M. Ginóbili),10,31
84,1,2:43.0,,Shooting foul by J. McGee (drawn by K. Leonard),10,31
85,1,2:43.0,,K. Leonard misses free throw 1 of 1,10,31
86,1,2:43.0,Defensive rebound by A. Iguodala,,10,31
87,1,2:43.0,,D. Lee enters the game for L. Aldridge,10,31
88,1,2:43.0,D. West enters the game for D. Green,,10,31
89,1,2:31.0,A. Iguodala makes 3-pt jump shot from 23 ft (assist by S. Curry),,13,31
90,1,2:19.0,,P. Gasol misses 2-pt jump shot from 8 ft (block by J. McGee),13,31
91,1,2:19.0,,Offensive rebound by Team,13,31
92,1,2:16.0,,P. Gasol misses 2-pt jump shot from 18 ft,13,31
93,1,2:14.0,,Offensive rebound by P. Mills,13,31
94,1,2:09.0,,Personal foul by S. Livingston (drawn by M. Ginóbili),13,31
95,1,2:02.0,,P. Mills misses 3-pt jump shot from 25 ft,13,31
96,1,2:01.0,Defensive rebound by J. McGee,,13,31
97,1,1:49.0,S. Curry misses 2-pt layup from 1 ft (block by P. Gasol),,13,31
98,1,1:47.0,,Defensive rebound by K. Leonard,13,31
99,1,1:38.0,,K. Leonard misses 2-pt layup from 1 ft,13,31
100,1,1:35.0,,Offensive rebound by P. Gasol,13,31
101,1,1:35.0,,P. Gasol makes 2-pt layup from 1 ft,13,33
102,1,1:28.0,Personal foul by D. Lee (drawn by A. Iguodala),,13,33
103,1,1:18.0,S. Livingston misses 2-pt layup from 2 ft (block by D. Lee),,13,33
104,1,1:17.0,,Defensive rebound by D. Lee,13,33
105,1,1:06.0,,P. Gasol misses 2-pt hook shot from 7 ft,13,33
106,1,1:05.0,Defensive rebound by J. McGee,,13,33
107,1,0:50.0,A. Iguodala makes 2-pt jump shot from 20 ft (assist by S. Livingston),,15,33
108,1,0:42.0,,Turnover by P. Mills (bad pass),15,33
109,1,0:42.0,,K. Anderson enters the game for M. Ginóbili,15,33
110,1,0:33.0,D. West misses 2-pt jump shot from 21 ft,,15,33
111,1,0:31.0,,Defensive rebound by P. Mills,15,33
112,1,0:09.0,,K. Leonard misses 3-pt jump shot from 26 ft,15,33
113,1,0:08.0,Defensive rebound by J. McGee,,15,33
114,1,0:02.0,A. Iguodala makes 2-pt jump shot from 20 ft,,17,33
115,2,11:39.0,D. West misses 2-pt layup from 2 ft,,17,33
116,2,11:38.0,Offensive rebound by D. West,,17,33
117,2,11:25.0,M. Barnes makes 3-pt jump shot from 25 ft (assist by I. Clark),,20,33
118,2,10:58.0,,K. Anderson misses 2-pt layup at rim,20,33
119,2,10:57.0,,Offensive rebound by D. Lee,20,33
120,2,10:57.0,,D. Lee makes 2-pt layup at rim,20,35
121,2,10:37.0,K. Thompson makes 2-pt jump shot from 20 ft (assist by M. Barnes),,22,35
122,2,10:17.0,,P. Mills misses 3-pt jump shot from 25 ft,22,35
123,2,10:16.0,Defensive rebound by Team,,22,35
124,2,10:03.0,A. Iguodala misses 3-pt jump shot from 24 ft,,22,35
125,2,10:02.0,,Defensive rebound by P. Gasol,22,35
126,2,9:52.0,,M. Ginóbili misses 2-pt layup at rim,22,35
127,2,9:51.0,Defensive rebound by M. Barnes,,22,35
128,2,9:45.0,Turnover by I. Clark (bad pass; steal by M. Ginóbili),,22,35
129,2,9:39.0,,P. Gasol makes 2-pt dunk at rim (assist by K. Anderson),22,37
130,2,9:21.0,K. Thompson misses 2-pt jump shot from 13 ft,,22,37
131,2,9:21.0,Offensive rebound by Team,,22,37
132,2,9:21.0,,Loose ball foul by D. Lee (drawn by D. West),22,37
133,2,9:21.0,,L. Aldridge enters the game for P. Gasol,22,37
134,2,9:21.0,,D. Green enters the game for M. Ginóbili,22,37
135,2,9:21.0,,T. Parker enters the game for P. Mills,22,37
136,2,9:13.0,D. West makes 2-pt hook shot from 5 ft,,24,37
137,2,8:57.0,,L. Aldridge misses 2-pt jump shot from 19 ft,24,37
138,2,8:56.0,Defensive rebound by A. Iguodala,,24,37
139,2,8:41.0,I. Clark makes 3-pt jump shot from 25 ft (assist by M. Barnes),,27,37
140,2,8:40.0,,San Antonio full timeout,27,37
141,2,8:40.0,,D. Dedmon enters the game for D. Lee,27,37
142,2,8:23.0,,Turnover by K. Anderson (step out of bounds),27,37
143,2,8:23.0,D. Green enters the game for A. Iguodala,,27,37
144,2,7:59.0,I. Clark misses 2-pt jump shot from 8 ft,,27,37
145,2,7:58.0,,Defensive rebound by K. Anderson,27,37
146,2,7:51.0,,D. Green makes 3-pt jump shot from 26 ft (assist by T. Parker),27,40
147,2,7:37.0,D. Green makes 2-pt jump shot from 5 ft (assist by D. West),,29,40
148,2,7:25.0,,Def 3 sec tech foul by D. West,29,40
149,2,7:25.0,,L. Aldridge makes technical free throw,29,41
150,2,7:25.0,Z. Pachulia enters the game for D. West,,29,41
151,2,7:25.0,,K. Leonard enters the game for K. Anderson,29,41
152,2,7:11.0,,K. Leonard misses 3-pt jump shot from 26 ft,29,41
153,2,7:11.0,Defensive rebound by Team,,29,41
154,2,6:58.0,I. Clark misses 2-pt jump shot from 15 ft,,29,41
155,2,6:57.0,,Defensive rebound by D. Dedmon,29,41
156,2,6:46.0,,K. Leonard makes 2-pt jump shot from 17 ft,29,43
157,2,6:39.0,Golden State full timeout,,29,43
158,2,6:39.0,S. Livingston enters the game for M. Barnes,,29,43
159,2,6:32.0,Def 3 sec tech foul by D. Dedmon,,29,43
160,2,6:32.0,K. Thompson makes technical free throw,,30,43
161,2,6:20.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by S. Livingston),,33,43
162,2,6:06.0,Offensive charge foul by L. Aldridge (drawn by D. Green),,33,43
163,2,6:06.0,,Turnover by L. Aldridge (offensive foul),33,43
164,2,6:06.0,S. Curry enters the game for I. Clark,,33,43
165,2,5:51.0,S. Livingston makes 2-pt jump shot from 14 ft,,35,43
166,2,5:51.0,Shooting foul by T. Parker (drawn by S. Livingston),,35,43
167,2,5:51.0,S. Livingston makes free throw 1 of 1,,36,43
168,2,5:32.0,,L. Aldridge misses 2-pt jump shot from 14 ft,36,43
169,2,5:30.0,,Offensive rebound by D. Green,36,43
170,2,5:30.0,,D. Green makes 2-pt layup from 1 ft,36,45
171,2,5:19.0,S. Curry misses 2-pt layup from 2 ft (block by D. Dedmon),,36,45
172,2,5:17.0,Offensive rebound by Z. Pachulia,,36,45
173,2,5:17.0,Z. Pachulia misses 2-pt hook shot from 10 ft,,36,45
174,2,5:17.0,Offensive rebound by Team,,36,45
175,2,5:17.0,,Loose ball foul by T. Parker (drawn by D. Green),36,45
176,2,5:13.0,K. Thompson makes 2-pt jump shot from 18 ft,,38,45
177,2,5:00.0,,Turnover by K. Leonard (traveling),38,45
178,2,5:00.0,A. Iguodala enters the game for K. Thompson,,38,45
179,2,4:39.0,A. Iguodala makes 3-pt jump shot from 26 ft (assist by Z. Pachulia),,41,45
180,2,4:24.0,,T. Parker misses 2-pt jump shot from 18 ft (block by S. Livingston),41,45
181,2,4:23.0,Defensive rebound by S. Curry,,41,45
182,2,4:17.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by S. Curry),,43,45
183,2,3:58.0,,D. Green misses 2-pt jump shot from 9 ft,43,45
184,2,3:56.0,,Offensive rebound by K. Leonard,43,45
185,2,3:52.0,,Turnover by Team (shot clock),43,45
186,2,3:52.0,,P. Mills enters the game for T. Parker,43,45
187,2,3:37.0,Personal foul by D. Green (drawn by Z. Pachulia),,43,45
188,2,3:37.0,,P. Gasol enters the game for D. Dedmon,43,45
189,2,3:29.0,S. Livingston makes 2-pt jump shot from 14 ft (assist by S. Curry),,45,45
190,2,3:12.0,,P. Gasol makes 3-pt jump shot from 23 ft (assist by D. Green),45,48
191,2,3:00.0,S. Curry misses 3-pt jump shot from 29 ft,,45,48
192,2,2:58.0,,Defensive rebound by L. Aldridge,45,48
193,2,2:39.0,,Shooting foul by S. Livingston (drawn by P. Gasol),45,48
194,2,2:39.0,Official timeout,,45,48
195,2,2:39.0,,P. Gasol makes free throw 1 of 2,45,49
196,2,2:39.0,,M. Ginóbili enters the game for D. Green,45,48
197,2,2:39.0,,P. Gasol makes free throw 2 of 2,45,50
198,2,2:31.0,Turnover by S. Livingston (bad pass),,45,50
199,2,2:10.0,,L. Aldridge makes 2-pt jump shot from 16 ft (assist by K. Leonard),45,52
200,2,2:02.0,S. Curry misses 2-pt layup from 1 ft (block by L. Aldridge),,45,52
