,QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA CLIPPERS_ACTION,PHOENIX_SCORE,LA CLIPPERS_SCORE
0,1,11:43.0,,J. Redick misses 2-pt jump shot from 6 ft (block by M. Chriss),0,0
1,1,11:41.0,,Offensive rebound by J. Redick,0,0
2,1,11:36.0,,J. Redick makes 2-pt jump shot from 12 ft,0,2
3,1,11:17.0,M. Chriss misses 2-pt jump shot from 4 ft (block by D. Jordan),,0,2
4,1,11:15.0,Offensive rebound by M. Chriss,,0,2
5,1,11:13.0,D. Booker misses 3-pt jump shot from 27 ft,,0,2
6,1,11:11.0,,Defensive rebound by R. Felton,0,2
7,1,11:01.0,,R. Felton misses 2-pt jump shot from 19 ft,0,2
8,1,10:58.0,,Offensive rebound by L. Mbah a Moute,0,2
9,1,10:44.0,,L. Mbah a Moute makes 2-pt layup from 2 ft,0,4
10,1,10:39.0,Turnover by E. Bledsoe (bad pass),,0,4
11,1,10:20.0,,Turnover by L. Mbah a Moute (lost ball),0,4
12,1,10:00.0,T. Chandler makes 2-pt layup from 4 ft (assist by E. Bledsoe),,2,4
13,1,9:45.0,,Personal foul by T. Warren,2,4
14,1,9:41.0,,Turnover by R. Felton (bad pass; steal by E. Bledsoe),2,4
15,1,9:38.0,T. Warren makes 2-pt dunk at rim (assist by E. Bledsoe),,4,4
16,1,9:38.0,,LA Clippers full timeout,4,4
17,1,9:21.0,,J. Redick misses 3-pt jump shot from 28 ft,4,4
18,1,9:19.0,Defensive rebound by T. Warren,,4,4
19,1,9:01.0,Turnover by E. Bledsoe (bad pass),,4,4
20,1,8:45.0,,J. Redick makes 2-pt jump shot from 8 ft (assist by R. Felton),4,6
21,1,8:27.0,E. Bledsoe misses 2-pt jump shot from 15 ft,,4,6
22,1,8:24.0,,Defensive rebound by L. Mbah a Moute,4,6
23,1,8:10.0,,A. Rivers misses 2-pt jump shot from 5 ft,4,6
24,1,8:10.0,,Offensive rebound by D. Jordan,4,6
25,1,8:10.0,,Shooting foul by M. Chriss (drawn by D. Jordan),4,6
26,1,8:10.0,,D. Jordan makes free throw 1 of 2,4,7
27,1,8:10.0,,D. Jordan misses free throw 2 of 2,4,7
28,1,8:09.0,Defensive rebound by T. Warren,,4,7
29,1,8:08.0,Personal foul by L. Mbah a Moute,,4,7
30,1,7:59.0,D. Booker misses 2-pt jump shot from 19 ft,,4,7
31,1,7:56.0,Offensive rebound by T. Chandler,,4,7
32,1,7:55.0,D. Booker makes 3-pt jump shot from 25 ft (assist by T. Chandler),,7,7
33,1,7:38.0,,J. Redick makes 2-pt jump shot from 20 ft (assist by A. Rivers),7,9
34,1,7:26.0,E. Bledsoe misses 2-pt layup from 3 ft,,7,9
35,1,7:24.0,,Defensive rebound by D. Jordan,7,9
36,1,7:20.0,,J. Redick makes 3-pt jump shot from 29 ft (assist by D. Jordan),7,12
37,1,7:20.0,Phoenix full timeout,,7,12
38,1,7:04.0,Turnover by D. Booker (bad pass),,7,12
39,1,6:50.0,,Offensive foul by L. Mbah a Moute (drawn by M. Chriss),7,12
40,1,6:50.0,,Turnover by L. Mbah a Moute (offensive foul),7,12
41,1,6:42.0,E. Bledsoe makes 2-pt jump shot from 13 ft,,9,12
42,1,6:24.0,,R. Felton misses 3-pt jump shot from 24 ft,9,12
43,1,6:23.0,,Offensive rebound by D. Jordan,9,12
44,1,6:08.0,,Turnover by R. Felton (bad pass; steal by D. Booker),9,12
45,1,6:03.0,D. Booker makes 2-pt layup from 4 ft,,11,12
46,1,5:51.0,,A. Rivers makes 3-pt jump shot from 24 ft (assist by R. Felton),11,15
47,1,5:42.0,Turnover by M. Chriss (bad pass),,11,15
48,1,5:42.0,,B. Bass enters the game for L. Mbah a Moute,11,15
49,1,5:38.0,Offensive charge foul by R. Felton (drawn by E. Bledsoe),,11,15
50,1,5:38.0,,Turnover by R. Felton (offensive foul),11,15
51,1,5:38.0,P. Tucker enters the game for M. Chriss,,11,15
52,1,5:20.0,D. Booker misses 3-pt jump shot from 26 ft,,11,15
53,1,5:19.0,,Defensive rebound by A. Rivers,11,15
54,1,5:10.0,,D. Jordan misses 2-pt layup from 4 ft,11,15
55,1,5:05.0,,Offensive rebound by D. Jordan,11,15
56,1,5:05.0,,D. Jordan makes 2-pt dunk at rim,11,17
57,1,4:53.0,T. Warren makes 2-pt jump shot from 13 ft (assist by E. Bledsoe),,13,17
58,1,4:44.0,,Personal foul by D. Booker (drawn by J. Redick),13,17
59,1,4:44.0,A. Len enters the game for T. Chandler,,13,17
60,1,4:39.0,,Turnover by B. Bass (lost ball; steal by P. Tucker),13,17
61,1,4:33.0,A. Len misses 2-pt layup from 4 ft,,13,17
62,1,4:30.0,Offensive rebound by A. Len,,13,17
63,1,4:30.0,A. Len makes 2-pt layup from 2 ft,,15,17
64,1,4:13.0,,A. Rivers misses 3-pt jump shot from 26 ft,15,17
65,1,4:10.0,Defensive rebound by E. Bledsoe,,15,17
66,1,4:01.0,T. Warren makes 2-pt jump shot from 13 ft (assist by E. Bledsoe),,17,17
67,1,3:33.0,,B. Bass makes 2-pt jump shot from 13 ft (assist by A. Rivers),17,19
68,1,3:21.0,E. Bledsoe makes 2-pt layup from 4 ft,,19,19
69,1,3:09.0,,R. Felton misses 2-pt jump shot from 17 ft,19,19
70,1,3:09.0,,Offensive rebound by Team,19,19
71,1,3:09.0,,J. Crawford enters the game for J. Redick,19,19
72,1,3:09.0,,W. Johnson enters the game for A. Rivers,19,19
