,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DALLAS_ACTION,CLEVELAND_SCORE,DALLAS_SCORE
0,1,11:47.0,K. Irving misses 3-pt jump shot from 25 ft,,0,0
1,1,11:46.0,,Defensive rebound by D. Nowitzki,0,0
2,1,11:22.0,,W. Matthews misses 2-pt jump shot from 18 ft,0,0
3,1,11:21.0,Defensive rebound by T. Thompson,,0,0
4,1,11:09.0,L. James makes 2-pt jump shot from 8 ft,,2,0
5,1,11:09.0,Shooting foul by W. Matthews (drawn by L. James),,2,0
6,1,11:09.0,L. James misses free throw 1 of 1,,2,0
7,1,11:08.0,,Defensive rebound by W. Matthews,2,0
8,1,10:50.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by W. Matthews),2,3
9,1,10:28.0,I. Shumpert misses 2-pt jump shot from 14 ft,,2,3
10,1,10:28.0,,Defensive rebound by H. Barnes,2,3
11,1,10:18.0,,H. Barnes makes 2-pt jump shot from 17 ft (assist by S. Curry),2,5
12,1,9:52.0,R. Jefferson misses 2-pt jump shot from 6 ft,,2,5
13,1,9:50.0,,Defensive rebound by S. Curry,2,5
14,1,9:45.0,,Turnover by D. Nowitzki (lost ball),2,5
15,1,9:34.0,I. Shumpert makes 3-pt jump shot from 23 ft (assist by L. James),,5,5
16,1,9:12.0,,H. Barnes makes 2-pt jump shot from 20 ft (assist by W. Matthews),5,7
17,1,8:54.0,K. Irving misses 2-pt jump shot from 19 ft,,5,7
18,1,8:53.0,,Defensive rebound by H. Barnes,5,7
19,1,8:45.0,,Shooting foul by T. Thompson (drawn by W. Matthews),5,7
20,1,8:45.0,,W. Matthews makes free throw 1 of 2,5,8
21,1,8:45.0,,W. Matthews makes free throw 2 of 2,5,9
22,1,8:34.0,L. James misses 3-pt jump shot from 25 ft,,5,9
23,1,8:33.0,,Defensive rebound by D. Nowitzki,5,9
24,1,8:23.0,,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by Y. Ferrell),5,12
25,1,8:09.0,K. Irving misses 2-pt jump shot from 14 ft,,5,12
26,1,8:08.0,,Defensive rebound by Y. Ferrell,5,12
27,1,8:00.0,,Y. Ferrell misses 3-pt jump shot from 24 ft,5,12
28,1,7:59.0,Defensive rebound by T. Thompson,,5,12
29,1,7:44.0,I. Shumpert misses 3-pt jump shot from 23 ft,,5,12
30,1,7:43.0,Offensive rebound by T. Thompson,,5,12
31,1,7:39.0,Turnover by T. Thompson (lost ball; steal by Y. Ferrell),,5,12
32,1,7:34.0,,H. Barnes makes 2-pt dunk at rim (assist by D. Nowitzki),5,14
33,1,7:33.0,Cleveland full timeout,,5,14
34,1,7:12.0,L. James misses 2-pt jump shot from 16 ft,,5,14
35,1,7:12.0,,Defensive rebound by H. Barnes,5,14
36,1,6:59.0,,D. Nowitzki misses 2-pt jump shot from 15 ft,5,14
37,1,6:58.0,Defensive rebound by K. Irving,,5,14
38,1,6:50.0,R. Jefferson makes 3-pt jump shot from 23 ft (assist by L. James),,8,14
39,1,6:37.0,,W. Matthews misses 3-pt jump shot from 24 ft,8,14
40,1,6:35.0,Defensive rebound by I. Shumpert,,8,14
41,1,6:30.0,,S. Mejri enters the game for D. Nowitzki,8,14
42,1,6:30.0,,D. Harris enters the game for Y. Ferrell,8,14
43,1,6:19.0,K. Irving makes 3-pt jump shot from 25 ft,,11,14
44,1,6:04.0,,H. Barnes misses 2-pt jump shot from 11 ft,11,14
45,1,6:03.0,Defensive rebound by L. James,,11,14
46,1,5:54.0,Shooting block foul by S. Curry (drawn by I. Shumpert),,11,14
47,1,5:54.0,I. Shumpert makes free throw 1 of 2,,12,14
48,1,5:54.0,I. Shumpert misses free throw 2 of 2,,12,14
49,1,5:54.0,C. Frye enters the game for T. Thompson,,12,14
50,1,5:53.0,,Defensive rebound by W. Matthews,12,14
51,1,5:36.0,,H. Barnes misses 2-pt jump shot from 18 ft,12,14
52,1,5:34.0,Defensive rebound by K. Irving,,12,14
53,1,5:29.0,L. James makes 2-pt dunk at rim (assist by K. Irving),,14,14
54,1,5:26.0,,Dallas full timeout,14,14
55,1,5:06.0,,S. Curry misses 3-pt jump shot from 25 ft,14,14
56,1,5:04.0,Defensive rebound by K. Irving,,14,14
57,1,5:01.0,Personal foul by D. Harris (drawn by K. Irving),,14,14
