,QUARTER,TIME_REMAINING,INDIANA_ACTION,WASHINGTON_ACTION,INDIANA_SCORE,WASHINGTON_SCORE
0,1,11:37.0,P. George makes 3-pt jump shot from 23 ft (assist by G. Robinson),,3,0
1,1,11:22.0,,M. Gortat misses 2-pt jump shot from 7 ft,3,0
2,1,11:21.0,Defensive rebound by T. Young,,3,0
3,1,11:15.0,Turnover by J. Teague (bad pass),,3,0
4,1,10:58.0,,M. Morris makes 2-pt hook shot from 11 ft (assist by B. Beal),3,2
5,1,10:45.0,G. Robinson misses 2-pt jump shot from 20 ft,,3,2
6,1,10:45.0,,Defensive rebound by J. Wall,3,2
7,1,10:28.0,,B. Beal misses 2-pt layup from 1 ft (block by M. Turner),3,2
8,1,10:27.0,Defensive rebound by M. Turner,,3,2
9,1,10:20.0,M. Turner makes 2-pt dunk at rim (assist by J. Teague),,5,2
10,1,10:03.0,,Shooting foul by P. George (drawn by M. Gortat),5,2
11,1,10:03.0,,M. Gortat makes free throw 1 of 2,5,3
12,1,10:03.0,,M. Gortat makes free throw 2 of 2,5,4
13,1,9:42.0,T. Young misses 3-pt jump shot from 23 ft,,5,4
14,1,9:41.0,,Defensive rebound by J. Wall,5,4
15,1,9:35.0,,J. Wall makes 2-pt jump shot from 15 ft,5,6
16,1,9:20.0,M. Turner makes 2-pt layup from 1 ft (assist by J. Teague),,7,6
17,1,9:20.0,Shooting foul by M. Gortat (drawn by M. Turner),,7,6
18,1,9:20.0,M. Turner makes free throw 1 of 1,,8,6
19,1,9:08.0,,B. Beal makes 2-pt jump shot from 16 ft,8,8
20,1,8:44.0,J. Teague makes 3-pt jump shot from 26 ft (assist by G. Robinson),,11,8
21,1,8:26.0,,M. Gortat misses 2-pt jump shot from 9 ft,11,8
22,1,8:25.0,,Offensive rebound by M. Morris,11,8
23,1,8:23.0,,M. Morris misses 2-pt layup from 1 ft (block by M. Turner),11,8
24,1,8:21.0,Defensive rebound by M. Turner,,11,8
25,1,8:16.0,P. George misses 2-pt jump shot from 15 ft,,11,8
26,1,8:14.0,Offensive rebound by T. Young,,11,8
27,1,8:14.0,T. Young makes 2-pt layup from 1 ft,,13,8
28,1,7:56.0,,Turnover by J. Wall (bad pass; steal by J. Teague),13,8
