,QUARTER,TIME_REMAINING,NEW YORK_ACTION,DENVER_ACTION,NEW YORK_SCORE,DENVER_SCORE
0,1,11:37.0,C. Anthony misses 2-pt jump shot from 8 ft,,0,0
1,1,11:36.0,,Defensive rebound by D. Gallinari,0,0
2,1,11:28.0,,E. Mudiay misses 2-pt jump shot from 17 ft,0,0
3,1,11:28.0,Defensive rebound by J. Noah,,0,0
4,1,11:14.0,C. Lee misses 2-pt jump shot from 5 ft,,0,0
5,1,11:13.0,Offensive rebound by C. Lee,,0,0
6,1,11:12.0,C. Lee misses 2-pt layup from 3 ft,,0,0
7,1,11:11.0,,Defensive rebound by E. Mudiay,0,0
8,1,10:50.0,,W. Chandler misses 3-pt jump shot from 26 ft,0,0
9,1,10:48.0,Defensive rebound by C. Anthony,,0,0
10,1,10:35.0,K. Porziņģis misses 2-pt jump shot from 21 ft,,0,0
11,1,10:34.0,,Defensive rebound by N. Jokić,0,0
12,1,10:22.0,,E. Mudiay makes 2-pt layup from 1 ft (assist by N. Jokić),0,2
13,1,10:01.0,J. Noah misses 2-pt hook shot from 5 ft,,0,2
14,1,10:01.0,Offensive rebound by Team,,0,2
15,1,9:59.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,0,2
16,1,9:58.0,Offensive rebound by Team,,0,2
17,1,9:58.0,Turnover by Team (shot clock),,0,2
18,1,9:49.0,,Personal foul by K. Porziņģis (drawn by W. Chandler),0,2
19,1,9:33.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by W. Chandler),0,5
20,1,9:21.0,C. Anthony makes 3-pt jump shot from 26 ft,,3,5
21,1,9:07.0,,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),3,7
22,1,8:59.0,C. Lee misses 3-pt jump shot from 25 ft,,3,7
23,1,8:58.0,,Defensive rebound by N. Jokić,3,7
24,1,8:50.0,,W. Chandler misses 2-pt layup from 3 ft,3,7
25,1,8:46.0,,Offensive rebound by W. Chandler,3,7
26,1,8:46.0,,W. Chandler makes 2-pt layup from 2 ft,3,9
27,1,8:35.0,B. Jennings misses 2-pt jump shot from 21 ft,,3,9
28,1,8:35.0,,Defensive rebound by G. Harris,3,9
29,1,8:21.0,,Turnover by N. Jokić (lost ball; steal by K. Porziņģis),3,9
30,1,8:21.0,Personal foul by N. Jokić (drawn by K. Porziņģis),,3,9
31,1,8:07.0,Turnover by J. Noah (traveling),,3,9
32,1,7:53.0,,W. Chandler makes 3-pt jump shot from 23 ft (assist by N. Jokić),3,12
33,1,7:48.0,New York full timeout,,3,12
34,1,7:35.0,C. Anthony misses 2-pt jump shot from 17 ft,,3,12
35,1,7:34.0,,Defensive rebound by N. Jokić,3,12
36,1,7:22.0,,N. Jokić makes 2-pt jump shot from 6 ft (assist by W. Chandler),3,14
37,1,7:02.0,C. Lee makes 3-pt jump shot from 24 ft (assist by B. Jennings),,6,14
38,1,6:46.0,,W. Chandler misses 2-pt jump shot from 17 ft,6,14
39,1,6:43.0,Defensive rebound by J. Noah,,6,14
40,1,6:37.0,K. Porziņģis makes 2-pt jump shot from 11 ft (assist by C. Anthony),,8,14
41,1,6:37.0,Shooting foul by W. Chandler (drawn by K. Porziņģis),,8,14
42,1,6:37.0,K. O'Quinn enters the game for J. Noah,,8,14
43,1,6:37.0,,K. Faried enters the game for W. Chandler,8,14
44,1,6:37.0,K. Porziņģis makes free throw 1 of 1,,9,14
45,1,6:23.0,,Personal foul by B. Jennings (drawn by E. Mudiay),9,14
46,1,6:15.0,,N. Jokić makes 2-pt layup from 2 ft,9,16
47,1,6:11.0,Personal foul by D. Gallinari (drawn by C. Anthony),,9,16
48,1,6:09.0,Personal foul by D. Gallinari (drawn by B. Jennings),,9,16
49,1,6:09.0,,W. Chandler enters the game for D. Gallinari,9,16
50,1,6:03.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,9,16
51,1,6:01.0,,Defensive rebound by N. Jokić,9,16
52,1,5:52.0,,K. Faried makes 2-pt hook shot from 5 ft (assist by G. Harris),9,18
53,1,5:33.0,C. Anthony makes 2-pt jump shot from 20 ft (assist by K. Porziņģis),,11,18
54,1,5:20.0,,E. Mudiay makes 2-pt jump shot from 17 ft,11,20
55,1,5:06.0,K. O'Quinn misses 3-pt jump shot from 25 ft,,11,20
56,1,5:06.0,,Defensive rebound by E. Mudiay,11,20
57,1,4:56.0,,K. Faried makes 2-pt dunk at rim (assist by N. Jokić),11,22
58,1,4:35.0,Turnover by C. Anthony (traveling),,11,22
59,1,4:35.0,W. Hernangómez enters the game for K. Porziņģis,,11,22
