,QUARTER,TIME_REMAINING,DETROIT_ACTION,INDIANA_ACTION,DETROIT_SCORE,INDIANA_SCORE
0,1,11:45.0,M. Morris misses 2-pt jump shot from 8 ft,,0,0
1,1,11:44.0,,Defensive rebound by T. Young,0,0
2,1,11:22.0,,C. Miles makes 3-pt jump shot from 24 ft (assist by M. Turner),0,3
3,1,11:17.0,Turnover by R. Jackson (lost ball),,0,3
4,1,11:08.0,,C. Miles makes 3-pt jump shot from 23 ft (assist by M. Turner),0,6
5,1,10:49.0,R. Jackson misses 2-pt jump shot from 11 ft (block by M. Turner),,0,6
6,1,10:48.0,,Defensive rebound by T. Young,0,6
7,1,10:34.0,,T. Young makes 2-pt hook shot from 2 ft,0,8
8,1,10:27.0,Detroit full timeout,,0,8
9,1,10:15.0,M. Morris misses 3-pt jump shot from 26 ft,,0,8
10,1,10:14.0,Offensive rebound by A. Drummond,,0,8
11,1,10:12.0,A. Drummond makes 2-pt hook shot from 2 ft,,2,8
12,1,9:57.0,,M. Turner misses 2-pt jump shot from 22 ft,2,8
13,1,9:56.0,Defensive rebound by M. Morris,,2,8
14,1,9:46.0,A. Drummond misses 2-pt jump shot from 15 ft,,2,8
15,1,9:45.0,,Defensive rebound by T. Young,2,8
16,1,9:33.0,,C. Miles misses 3-pt jump shot from 24 ft,2,8
17,1,9:32.0,Defensive rebound by J. Leuer,,2,8
18,1,9:19.0,A. Drummond misses 2-pt hook shot from 8 ft,,2,8
19,1,9:18.0,,Defensive rebound by M. Turner,2,8
20,1,9:11.0,,T. Young makes 2-pt jump shot from 5 ft,2,10
21,1,9:01.0,Shooting foul by C. Miles (drawn by M. Morris),,2,10
22,1,9:01.0,M. Morris makes free throw 1 of 3,,3,10
23,1,9:01.0,M. Morris misses free throw 2 of 3,,3,10
24,1,9:01.0,Offensive rebound by Team,,3,10
25,1,9:01.0,M. Morris misses free throw 3 of 3,,3,10
26,1,9:01.0,,Defensive rebound by P. George,3,10
27,1,8:37.0,,J. Teague misses 2-pt jump shot from 8 ft,3,10
28,1,8:37.0,Defensive rebound by A. Drummond,,3,10
29,1,8:25.0,M. Morris misses 3-pt jump shot from 28 ft,,3,10
30,1,8:24.0,Offensive rebound by A. Drummond,,3,10
31,1,8:22.0,A. Drummond misses 2-pt jump shot from 7 ft,,3,10
32,1,8:21.0,,Defensive rebound by P. George,3,10
33,1,8:06.0,,P. George makes 2-pt jump shot from 10 ft,3,12
34,1,7:47.0,J. Leuer misses 2-pt jump shot from 17 ft,,3,12
35,1,7:47.0,Offensive rebound by Team,,3,12
36,1,7:36.0,K. Caldwell-Pope misses 2-pt jump shot from 19 ft,,3,12
37,1,7:35.0,,Defensive rebound by J. Teague,3,12
38,1,7:26.0,,P. George makes 3-pt jump shot from 25 ft (assist by C. Miles),3,15
39,1,7:13.0,Shooting foul by J. Teague (drawn by R. Jackson),,3,15
40,1,7:13.0,R. Jackson makes free throw 1 of 2,,4,15
41,1,7:13.0,T. Harris enters the game for J. Leuer,,4,15
42,1,7:13.0,S. Johnson enters the game for M. Morris,,4,15
43,1,7:13.0,R. Jackson makes free throw 2 of 2,,5,15
44,1,7:09.0,,Personal block foul by R. Jackson (drawn by J. Teague),5,15
45,1,7:09.0,I. Smith enters the game for R. Jackson,,5,15
46,1,6:56.0,,C. Miles misses 3-pt jump shot from 26 ft,5,15
47,1,6:55.0,Defensive rebound by I. Smith,,5,15
48,1,6:46.0,T. Harris makes 2-pt layup from 3 ft,,7,15
49,1,6:31.0,,M. Turner makes 2-pt jump shot from 17 ft (assist by C. Miles),7,17
50,1,6:16.0,S. Johnson misses 2-pt jump shot from 18 ft,,7,17
51,1,6:15.0,Offensive rebound by Team,,7,17
52,1,6:15.0,,Loose ball foul by M. Turner (drawn by A. Drummond),7,17
53,1,6:08.0,T. Harris misses 3-pt jump shot from 26 ft,,7,17
54,1,6:08.0,,Defensive rebound by M. Turner,7,17
55,1,6:01.0,,T. Young misses 2-pt hook shot from 8 ft,7,17
56,1,6:00.0,Defensive rebound by A. Drummond,,7,17
57,1,5:50.0,A. Drummond misses 2-pt jump shot from 7 ft (block by M. Turner),,7,17
58,1,5:50.0,Offensive rebound by Team,,7,17
59,1,5:43.0,I. Smith misses 2-pt jump shot from 5 ft,,7,17
60,1,5:42.0,Offensive rebound by Team,,7,17
61,1,5:29.0,T. Harris misses 2-pt jump shot from 12 ft,,7,17
62,1,5:28.0,,Defensive rebound by P. George,7,17
63,1,5:14.0,,Turnover by J. Teague (bad pass; steal by S. Johnson),7,17
64,1,5:10.0,I. Smith misses 2-pt layup from 2 ft,,7,17
65,1,5:10.0,Offensive rebound by S. Johnson,,7,17
66,1,5:08.0,S. Johnson makes 2-pt layup at rim,,9,17
67,1,4:58.0,,J. Teague makes 2-pt jump shot from 9 ft,9,19
68,1,4:32.0,A. Drummond misses 2-pt hook shot from 5 ft,,9,19
69,1,4:31.0,Offensive rebound by T. Harris,,9,19
70,1,4:29.0,Turnover by A. Drummond (offensive goaltending),,9,19
71,1,4:29.0,,M. Ellis enters the game for C. Miles,9,19
72,1,4:06.0,,T. Young misses 2-pt hook shot from 4 ft,9,19
73,1,4:05.0,,Offensive rebound by T. Young,9,19
74,1,4:05.0,,T. Young misses 2-pt layup from 2 ft,9,19
75,1,4:04.0,,Offensive rebound by T. Young,9,19
76,1,4:03.0,,T. Young misses 2-pt layup at rim,9,19
77,1,4:02.0,Defensive rebound by A. Drummond,,9,19
78,1,3:55.0,Shooting block foul by M. Turner (drawn by T. Harris),,9,19
79,1,3:55.0,T. Harris makes free throw 1 of 2,,10,19
80,1,3:55.0,,A. Jefferson enters the game for M. Turner,10,19
81,1,3:55.0,,R. Stuckey enters the game for J. Teague,10,19
82,1,3:55.0,T. Harris makes free throw 2 of 2,,11,19
83,1,3:44.0,,P. George makes 2-pt jump shot from 24 ft,11,21
84,1,3:44.0,,Shooting foul by S. Johnson (drawn by P. George),11,21
85,1,3:44.0,,P. George makes free throw 1 of 1,11,22
86,1,3:30.0,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by T. Harris),,13,22
87,1,3:16.0,,T. Young makes 2-pt layup from 1 ft (assist by M. Ellis),13,24
88,1,3:03.0,Turnover by T. Harris (offensive foul),,13,24
89,1,3:03.0,Offensive foul by T. Harris (drawn by M. Ellis),,13,24
90,1,3:03.0,Violation by Team (jump ball),,13,24
91,1,2:43.0,,P. George misses 2-pt jump shot from 20 ft,13,24
92,1,2:43.0,Defensive rebound by A. Drummond,,13,24
93,1,2:34.0,T. Harris makes 3-pt jump shot from 25 ft (assist by I. Smith),,16,24
94,1,2:29.0,,Indiana full timeout,16,24
95,1,2:29.0,A. Baynes enters the game for A. Drummond,,16,24
96,1,2:29.0,,L. Allen enters the game for P. George,16,24
97,1,2:29.0,,G. Robinson enters the game for T. Young,16,24
98,1,2:14.0,,A. Jefferson misses 2-pt jump shot from 10 ft,16,24
99,1,2:13.0,,Offensive rebound by L. Allen,16,24
100,1,2:04.0,,A. Jefferson makes 2-pt jump shot from 11 ft (assist by R. Stuckey),16,26
101,1,1:50.0,T. Harris makes 2-pt layup from 2 ft (assist by I. Smith),,18,26
102,1,1:25.0,,G. Robinson misses 2-pt jump shot from 20 ft,18,26
103,1,1:24.0,Defensive rebound by S. Johnson,,18,26
104,1,1:10.0,S. Johnson makes 3-pt jump shot from 26 ft (assist by I. Smith),,21,26
105,1,0:51.0,,M. Ellis misses 2-pt jump shot from 9 ft,21,26
106,1,0:50.0,,Offensive rebound by A. Jefferson,21,26
107,1,0:48.0,,A. Jefferson misses 2-pt layup from 1 ft,21,26
108,1,0:47.0,Defensive rebound by T. Harris,,21,26
109,1,0:39.0,Shooting foul by L. Allen (drawn by T. Harris),,21,26
110,1,0:39.0,T. Harris misses free throw 1 of 2,,21,26
111,1,0:39.0,Offensive rebound by Team,,21,26
112,1,0:39.0,T. Harris misses free throw 2 of 2,,21,26
113,1,0:39.0,,Defensive rebound by G. Robinson,21,26
114,1,0:23.0,,R. Stuckey makes 3-pt jump shot from 26 ft,21,29
115,1,0:23.0,,Shooting foul by S. Johnson (drawn by R. Stuckey),21,29
116,1,0:23.0,,R. Stuckey makes free throw 1 of 1,21,30
117,1,0:01.0,T. Harris misses 2-pt layup from 1 ft,,21,30
118,1,0:01.0,Offensive rebound by S. Johnson,,21,30
119,1,0:01.0,S. Johnson makes 2-pt layup at rim,,23,30
120,2,11:48.0,,A. Jefferson makes 2-pt jump shot from 12 ft (assist by R. Stuckey),23,32
121,2,11:29.0,A. Baynes makes 2-pt dunk at rim (assist by S. Johnson),,25,32
