,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CHICAGO_ACTION,MILWAUKEE_SCORE,CHICAGO_SCORE
0,1,11:32.0,,R. Lopez makes 2-pt jump shot from 20 ft,0,2
1,1,11:15.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,0,2
2,1,11:14.0,,Defensive rebound by D. Wade,0,2
3,1,11:03.0,,R. Lopez misses 2-pt hook shot from 8 ft,0,2
4,1,11:02.0,,Offensive rebound by T. Gibson,0,2
5,1,11:01.0,,T. Gibson misses 2-pt layup from 2 ft (block by G. Antetokounmpo),0,2
6,1,10:59.0,,Offensive rebound by R. Lopez,0,2
7,1,10:58.0,,R. Lopez misses 2-pt layup from 2 ft (block by G. Antetokounmpo),0,2
8,1,10:56.0,Defensive rebound by M. Brogdon,,0,2
9,1,10:47.0,Turnover by M. Brogdon (bad pass; steal by M. Carter-Williams),,0,2
10,1,10:41.0,,J. Butler makes 3-pt jump shot from 26 ft (assist by D. Wade),0,5
11,1,10:15.0,J. Henson misses 2-pt layup from 2 ft (block by T. Gibson),,0,5
12,1,10:13.0,,Defensive rebound by R. Lopez,0,5
13,1,9:49.0,,M. Carter-Williams misses 3-pt jump shot from 23 ft,0,5
14,1,9:49.0,Defensive rebound by M. Brogdon,,0,5
15,1,9:47.0,Shooting foul by R. Lopez (drawn by G. Antetokounmpo),,0,5
16,1,9:47.0,G. Antetokounmpo misses free throw 1 of 2,,0,5
17,1,9:47.0,Offensive rebound by Team,,0,5
18,1,9:47.0,G. Antetokounmpo makes free throw 2 of 2,,1,5
19,1,9:32.0,,T. Gibson makes 2-pt jump shot from 3 ft,1,7
20,1,9:32.0,,Shooting foul by J. Henson (drawn by T. Gibson),1,7
21,1,9:32.0,,T. Gibson makes free throw 1 of 1,1,8
22,1,9:17.0,Turnover by T. Snell (lost ball; steal by D. Wade),,1,8
23,1,9:16.0,,Shooting foul by M. Brogdon (drawn by D. Wade),1,8
24,1,9:16.0,,D. Wade makes free throw 1 of 2,1,9
25,1,9:16.0,,D. Wade misses free throw 2 of 2,1,9
26,1,9:13.0,Defensive rebound by M. Brogdon,,1,9
27,1,8:47.0,J. Henson misses 2-pt jump shot from 23 ft,,1,9
28,1,8:46.0,,Defensive rebound by R. Lopez,1,9
29,1,8:43.0,,Turnover by D. Wade (bad pass; steal by G. Antetokounmpo),1,9
