,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,INDIANA_ACTION,MEMPHIS_SCORE,INDIANA_SCORE
0,1,11:37.0,M. Gasol misses 2-pt jump shot from 11 ft,,0,0
1,1,11:36.0,,Defensive rebound by P. George,0,0
2,1,11:27.0,,Turnover by M. Turner (bad pass; steal by T. Allen),0,0
3,1,11:10.0,M. Conley makes 2-pt layup from 3 ft,,2,0
4,1,10:50.0,,M. Turner makes 2-pt jump shot from 17 ft (assist by J. Teague),2,2
5,1,10:29.0,M. Gasol misses 2-pt jump shot from 21 ft,,2,2
6,1,10:29.0,,Defensive rebound by T. Young,2,2
7,1,10:05.0,,P. George makes 3-pt jump shot from 26 ft (assist by T. Young),2,5
8,1,9:49.0,T. Allen misses 2-pt jump shot from 12 ft,,2,5
9,1,9:48.0,Offensive rebound by T. Allen,,2,5
10,1,9:47.0,T. Allen makes 2-pt layup from 3 ft,,4,5
11,1,9:37.0,,Turnover by C. Miles (lost ball; steal by T. Allen),4,5
12,1,9:31.0,C. Parsons makes 2-pt layup from 2 ft (assist by T. Allen),,6,5
13,1,9:22.0,Violation by M. Gasol (kicked ball),,6,5
14,1,9:15.0,,T. Young makes 2-pt dunk from 3 ft (assist by M. Turner),6,7
15,1,8:56.0,J. Green makes 3-pt jump shot from 23 ft (assist by M. Gasol),,9,7
16,1,8:42.0,,C. Miles makes 3-pt jump shot from 26 ft (assist by P. George),9,10
17,1,8:20.0,C. Parsons misses 2-pt layup from 3 ft,,9,10
18,1,8:17.0,,Defensive rebound by M. Turner,9,10
19,1,8:14.0,,Personal foul by C. Parsons (drawn by J. Teague),9,10
20,1,8:00.0,,J. Teague misses 2-pt jump shot from 5 ft,9,10
21,1,7:59.0,Defensive rebound by M. Conley,,9,10
22,1,7:44.0,J. Green makes 2-pt dunk from 3 ft (assist by M. Gasol),,11,10
23,1,7:33.0,Offensive charge foul by P. George (drawn by J. Green),,11,10
24,1,7:33.0,,Turnover by P. George (offensive foul),11,10
25,1,7:17.0,T. Allen makes 3-pt jump shot from 24 ft (assist by M. Conley),,14,10
26,1,7:04.0,,T. Young misses 2-pt jump shot from 6 ft,14,10
27,1,7:04.0,Defensive rebound by C. Parsons,,14,10
28,1,6:59.0,T. Allen makes 2-pt layup from 2 ft (assist by C. Parsons),,16,10
29,1,6:41.0,,P. George makes 2-pt jump shot from 20 ft (assist by C. Miles),16,12
30,1,6:26.0,T. Allen makes 2-pt layup from 1 ft (assist by M. Conley),,18,12
