,QUARTER,TIME_REMAINING,HOUSTON_ACTION,NEW YORK_ACTION,HOUSTON_SCORE,NEW YORK_SCORE
0,1,11:42.0,,C. Lee makes 2-pt jump shot from 7 ft (assist by J. Noah),0,2
1,1,11:29.0,R. Anderson makes 3-pt jump shot from 25 ft (assist by J. Harden),,3,2
2,1,11:10.0,,J. Noah misses 2-pt layup from 2 ft,3,2
3,1,11:09.0,Defensive rebound by T. Ariza,,3,2
4,1,10:55.0,J. Harden misses 3-pt jump shot from 24 ft (block by C. Lee),,3,2
5,1,10:54.0,,Defensive rebound by J. Noah,3,2
6,1,10:50.0,,C. Lee makes 2-pt layup from 1 ft (assist by J. Noah),3,4
7,1,10:27.0,T. Ariza misses 3-pt jump shot from 24 ft,,3,4
8,1,10:26.0,Offensive rebound by C. Capela,,3,4
9,1,10:20.0,R. Anderson makes 3-pt jump shot from 24 ft (assist by T. Ariza),,6,4
10,1,10:06.0,,C. Lee misses 3-pt jump shot from 24 ft,6,4
11,1,10:05.0,Defensive rebound by Team,,6,4
12,1,9:50.0,R. Anderson misses 3-pt jump shot from 27 ft,,6,4
13,1,9:49.0,,Defensive rebound by C. Anthony,6,4
14,1,9:40.0,,C. Anthony misses 2-pt jump shot from 15 ft,6,4
15,1,9:39.0,Defensive rebound by E. Gordon,,6,4
16,1,9:28.0,R. Anderson makes 2-pt layup from 1 ft,,8,4
17,1,9:08.0,,D. Rose makes 2-pt jump shot from 10 ft,8,6
18,1,8:58.0,J. Harden makes 2-pt dunk at rim,,10,6
19,1,8:40.0,,C. Anthony makes 2-pt layup from 2 ft,10,8
20,1,8:30.0,Shooting foul by C. Lee (drawn by J. Harden),,10,8
21,1,8:30.0,J. Harden misses free throw 1 of 3,,10,8
22,1,8:30.0,Offensive rebound by Team,,10,8
23,1,8:30.0,J. Harden makes free throw 2 of 3,,11,8
24,1,8:30.0,J. Harden makes free throw 3 of 3,,12,8
25,1,8:09.0,,Turnover by C. Lee (bad pass; steal by C. Capela),12,8
26,1,8:01.0,Personal foul by K. Porziņģis (drawn by J. Harden),,12,8
27,1,7:57.0,Turnover by J. Harden (bad pass; steal by D. Rose),,12,8
28,1,7:51.0,,K. Porziņģis misses 2-pt jump shot from 18 ft,12,8
29,1,7:50.0,Defensive rebound by T. Ariza,,12,8
30,1,7:40.0,J. Harden makes 3-pt jump shot from 25 ft (assist by T. Ariza),,15,8
31,1,7:27.0,,Shooting foul by T. Ariza (drawn by C. Anthony),15,8
32,1,7:27.0,,C. Anthony makes free throw 1 of 2,15,9
33,1,7:27.0,,L. Thomas enters the game for J. Noah,15,9
34,1,7:27.0,,C. Anthony makes free throw 2 of 2,15,10
35,1,7:12.0,T. Ariza makes 3-pt jump shot from 24 ft (assist by E. Gordon),,18,10
36,1,6:58.0,,Turnover by L. Thomas (bad pass; steal by T. Ariza),18,10
37,1,6:49.0,J. Harden misses 3-pt jump shot from 27 ft,,18,10
38,1,6:48.0,,Defensive rebound by K. Porziņģis,18,10
39,1,6:27.0,,D. Rose makes 2-pt layup from 1 ft,18,12
40,1,6:18.0,Personal foul by D. Rose (drawn by E. Gordon),,18,12
41,1,6:12.0,Shooting foul by L. Thomas (drawn by J. Harden),,18,12
42,1,6:12.0,J. Harden makes free throw 1 of 2,,19,12
43,1,6:12.0,J. Harden makes free throw 2 of 2,,20,12
44,1,5:57.0,,Turnover by C. Anthony (lost ball; steal by J. Harden),20,12
45,1,5:50.0,J. Harden makes 2-pt layup from 1 ft,,22,12
46,1,5:46.0,,New York full timeout,22,12
47,1,5:46.0,K. McDaniels enters the game for E. Gordon,,22,12
48,1,5:29.0,,D. Rose makes 2-pt layup from 1 ft,22,14
49,1,5:16.0,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),,24,14
50,1,5:04.0,,Turnover by D. Rose (bad pass),24,14
51,1,4:51.0,R. Anderson misses 3-pt jump shot from 25 ft,,24,14
52,1,4:50.0,,Defensive rebound by L. Thomas,24,14
53,1,4:39.0,,L. Thomas makes 3-pt jump shot from 25 ft (assist by C. Lee),24,17
54,1,4:22.0,T. Ariza makes 2-pt layup from 1 ft (assist by J. Harden),,26,17
55,1,4:07.0,,C. Anthony makes 2-pt dunk at rim (assist by D. Rose),26,19
56,1,3:48.0,T. Ariza misses 3-pt jump shot from 23 ft,,26,19
57,1,3:47.0,,Defensive rebound by K. Porziņģis,26,19
58,1,3:41.0,,D. Rose makes 2-pt layup from 2 ft,26,21
59,1,3:38.0,Houston full timeout,,26,21
60,1,3:38.0,S. Dekker enters the game for R. Anderson,,26,21
61,1,3:38.0,M. Harrell enters the game for C. Capela,,26,21
62,1,3:26.0,J. Harden misses 3-pt jump shot from 26 ft,,26,21
63,1,3:25.0,,Defensive rebound by L. Thomas,26,21
64,1,3:04.0,,C. Anthony misses 3-pt jump shot from 25 ft,26,21
65,1,3:03.0,Defensive rebound by J. Harden,,26,21
66,1,2:55.0,Shooting foul by C. Anthony (drawn by S. Dekker),,26,21
67,1,2:55.0,S. Dekker misses free throw 1 of 2,,26,21
68,1,2:55.0,Offensive rebound by Team,,26,21
69,1,2:55.0,,J. Holiday enters the game for K. Porziņģis,26,21
70,1,2:55.0,,K. O'Quinn enters the game for L. Thomas,26,21
71,1,2:55.0,S. Dekker makes free throw 2 of 2,,27,21
72,1,2:38.0,,D. Rose misses 2-pt jump shot from 12 ft,27,21
73,1,2:37.0,Defensive rebound by J. Harden,,27,21
74,1,2:30.0,T. Ariza misses 2-pt jump shot from 17 ft,,27,21
75,1,2:29.0,,Defensive rebound by K. O'Quinn,27,21
76,1,2:23.0,,D. Rose misses 2-pt layup from 1 ft,27,21
77,1,2:22.0,Defensive rebound by M. Harrell,,27,21
78,1,2:11.0,M. Harrell makes 2-pt jump shot from 5 ft (assist by T. Ariza),,29,21
79,1,1:47.0,,D. Rose misses 2-pt jump shot from 4 ft,29,21
80,1,1:46.0,,Offensive rebound by D. Rose,29,21
81,1,1:43.0,,C. Anthony misses 2-pt jump shot from 18 ft,29,21
82,1,1:42.0,Defensive rebound by S. Dekker,,29,21
83,1,1:39.0,Turnover by S. Dekker (lost ball),,29,21
84,1,1:39.0,C. Brewer enters the game for T. Ariza,,29,21
85,1,1:23.0,,Personal foul by C. Brewer (drawn by C. Anthony),29,21
86,1,1:23.0,,B. Jennings enters the game for D. Rose,29,21
87,1,1:10.0,,C. Anthony misses 2-pt jump shot from 6 ft,29,21
88,1,1:09.0,Defensive rebound by S. Dekker,,29,21
89,1,1:05.0,K. McDaniels misses 2-pt dunk from 1 ft,,29,21
90,1,1:04.0,Offensive rebound by M. Harrell,,29,21
91,1,1:04.0,M. Harrell misses 2-pt dunk at rim,,29,21
92,1,1:02.0,Offensive rebound by S. Dekker,,29,21
93,1,1:01.0,S. Dekker misses 2-pt layup from 3 ft (block by K. O'Quinn),,29,21
94,1,1:00.0,Offensive rebound by C. Brewer,,29,21
95,1,0:59.0,C. Brewer misses 2-pt layup from 3 ft,,29,21
96,1,0:57.0,,Defensive rebound by J. Holiday,29,21
97,1,0:51.0,,C. Anthony makes 2-pt layup from 2 ft (assist by B. Jennings),29,23
98,1,0:46.0,Personal foul by C. Lee (drawn by J. Harden),,29,23
99,1,0:46.0,J. Harden makes free throw 1 of 2,,30,23
100,1,0:46.0,J. Harden makes free throw 2 of 2,,31,23
101,1,0:37.0,,Offensive foul by J. Holiday (drawn by C. Brewer),31,23
102,1,0:37.0,,Turnover by J. Holiday (offensive foul),31,23
103,1,0:31.0,Turnover by J. Harden (bad pass),,31,23
104,1,0:18.0,,K. O'Quinn makes 2-pt layup from 1 ft (assist by J. Holiday),31,25
105,1,0:01.0,J. Harden makes 2-pt dunk at rim,,33,25
106,2,11:40.0,T. Ennis misses 2-pt jump shot from 4 ft (block by K. O'Quinn),,33,25
107,2,11:39.0,Offensive rebound by Team,,33,25
108,2,11:35.0,E. Gordon makes 2-pt layup from 1 ft (assist by C. Brewer),,35,25
109,2,11:20.0,,Turnover by S. Vujačić (bad pass; steal by S. Dekker),35,25
110,2,11:14.0,C. Brewer makes 2-pt layup from 1 ft (assist by S. Dekker),,37,25
111,2,10:55.0,,K. O'Quinn makes 2-pt jump shot from 13 ft,37,27
112,2,10:41.0,M. Harrell makes 2-pt jump shot from 18 ft (assist by C. Brewer),,39,27
113,2,10:17.0,,Shooting foul by T. Ennis (drawn by B. Jennings),39,27
114,2,10:17.0,,B. Jennings makes free throw 1 of 2,39,28
115,2,10:17.0,,B. Jennings misses free throw 2 of 2,39,28
116,2,10:17.0,,K. Porziņģis enters the game for K. O'Quinn,39,28
117,2,10:16.0,Defensive rebound by S. Dekker,,39,28
118,2,10:05.0,T. Ennis makes 2-pt layup from 1 ft,,41,28
119,2,9:57.0,,Personal foul by M. Harrell (drawn by K. Porziņģis),41,28
120,2,9:48.0,,B. Jennings misses 2-pt layup from 1 ft,41,28
121,2,9:47.0,Defensive rebound by M. Harrell,,41,28
122,2,9:43.0,Shooting foul by J. Holiday (drawn by C. Brewer),,41,28
123,2,9:43.0,C. Brewer makes free throw 1 of 2,,42,28
124,2,9:43.0,C. Brewer makes free throw 2 of 2,,43,28
125,2,9:23.0,,J. Holiday misses 3-pt jump shot from 26 ft,43,28
126,2,9:22.0,,Offensive rebound by Team,43,28
127,2,9:14.0,,J. Holiday makes 2-pt jump shot from 20 ft (assist by S. Vujačić),43,30
128,2,8:56.0,S. Dekker misses 3-pt jump shot from 24 ft,,43,30
129,2,8:55.0,,Defensive rebound by K. Porziņģis,43,30
130,2,8:45.0,,S. Vujačić misses 2-pt jump shot from 21 ft,43,30
131,2,8:44.0,Defensive rebound by C. Brewer,,43,30
