,QUARTER,TIME_REMAINING,MIAMI_ACTION,MILWAUKEE_ACTION,MIAMI_SCORE,MILWAUKEE_SCORE
0,1,11:36.0,Turnover by H. Whiteside (bad pass; steal by M. Brogdon),,0,0
1,1,11:31.0,,G. Antetokounmpo misses 2-pt layup from 1 ft (block by G. Dragić),0,0
2,1,11:28.0,,Offensive rebound by G. Antetokounmpo,0,0
3,1,11:27.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,0,2
4,1,11:17.0,H. Whiteside misses 2-pt jump shot from 4 ft (block by J. Henson),,0,2
5,1,11:14.0,,Defensive rebound by M. Brogdon,0,2
6,1,11:13.0,,Personal foul by R. McGruder (drawn by G. Antetokounmpo),0,2
7,1,10:59.0,,J. Parker misses 2-pt jump shot from 10 ft,0,2
8,1,10:58.0,,Offensive rebound by J. Henson,0,2
9,1,10:58.0,,J. Henson misses 2-pt layup from 1 ft,0,2
10,1,10:56.0,Defensive rebound by G. Dragić,,0,2
11,1,10:43.0,D. Waiters makes 2-pt jump shot from 19 ft (assist by H. Whiteside),,2,2
12,1,10:23.0,,J. Henson makes 2-pt hook shot from 12 ft (assist by J. Parker),2,4
13,1,10:03.0,H. Whiteside makes 2-pt layup at rim,,4,4
14,1,9:55.0,,Shooting foul by G. Dragić (drawn by M. Brogdon),4,4
15,1,9:55.0,,M. Brogdon makes free throw 1 of 2,4,5
16,1,9:55.0,,M. Brogdon makes free throw 2 of 2,4,6
17,1,9:44.0,Turnover by G. Dragić (lost ball; steal by J. Henson),,4,6
18,1,9:40.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by T. Snell),4,8
19,1,9:20.0,L. Babbitt makes 3-pt jump shot from 30 ft (assist by R. McGruder),,7,8
20,1,9:00.0,,Shooting foul by L. Babbitt (drawn by J. Parker),7,8
21,1,9:00.0,,J. Parker misses free throw 1 of 2,7,8
22,1,9:00.0,,Offensive rebound by Team,7,8
23,1,9:00.0,,J. Parker misses free throw 2 of 2,7,8
24,1,8:58.0,,Offensive rebound by J. Henson,7,8
25,1,8:43.0,,T. Snell makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),7,11
26,1,8:28.0,D. Waiters misses 3-pt jump shot from 26 ft,,7,11
27,1,8:25.0,,Defensive rebound by M. Brogdon,7,11
28,1,8:21.0,,J. Henson misses 2-pt layup from 2 ft (block by L. Babbitt),7,11
29,1,8:21.0,,Offensive rebound by Team,7,11
30,1,8:16.0,,J. Parker makes 2-pt dunk at rim (assist by M. Brogdon),7,13
31,1,8:05.0,Personal foul by G. Antetokounmpo (drawn by D. Waiters),,7,13
32,1,7:55.0,Turnover by G. Dragić (bad pass; steal by T. Snell),,7,13
