,QUARTER,TIME_REMAINING,BOSTON_ACTION,GOLDEN STATE_ACTION,BOSTON_SCORE,GOLDEN STATE_SCORE
0,1,11:42.0,,K. Thompson misses 2-pt jump shot from 16 ft,0,0
1,1,11:41.0,Defensive rebound by A. Johnson,,0,0
2,1,11:18.0,Turnover by Team (shot clock),,0,0
3,1,10:54.0,,D. Green misses 3-pt jump shot from 30 ft,0,0
4,1,10:54.0,Defensive rebound by J. Crowder,,0,0
5,1,10:45.0,Turnover by I. Thomas (step out of bounds),,0,0
6,1,10:33.0,,P. McCaw misses 3-pt jump shot from 24 ft,0,0
7,1,10:33.0,,Offensive rebound by Z. Pachulia,0,0
8,1,10:21.0,,K. Thompson makes 2-pt jump shot from 12 ft (assist by Z. Pachulia),0,2
9,1,10:06.0,Turnover by A. Bradley (lost ball; steal by D. Green),,0,2
10,1,10:00.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),0,5
11,1,9:44.0,Personal foul by Z. Pachulia (drawn by I. Thomas),,0,5
12,1,9:38.0,A. Horford misses 2-pt jump shot from 17 ft,,0,5
13,1,9:37.0,,Defensive rebound by K. Thompson,0,5
14,1,9:21.0,,D. Green misses 3-pt jump shot from 26 ft,0,5
15,1,9:21.0,Defensive rebound by A. Horford,,0,5
16,1,9:09.0,J. Crowder misses 3-pt jump shot from 28 ft,,0,5
17,1,9:08.0,,Defensive rebound by D. Green,0,5
18,1,8:59.0,,D. Green misses 2-pt dunk at rim,0,5
19,1,8:59.0,Defensive rebound by A. Horford,,0,5
20,1,8:55.0,A. Bradley makes 2-pt dunk at rim (assist by A. Horford),,2,5
21,1,8:38.0,,K. Thompson misses 2-pt layup from 3 ft,2,5
22,1,8:36.0,Defensive rebound by A. Johnson,,2,5
23,1,8:30.0,A. Bradley misses 3-pt jump shot from 26 ft,,2,5
24,1,8:30.0,,Defensive rebound by Z. Pachulia,2,5
25,1,8:05.0,,K. Thompson makes 2-pt jump shot from 11 ft,2,7
26,1,7:43.0,A. Bradley misses 2-pt jump shot from 22 ft,,2,7
27,1,7:42.0,,Defensive rebound by P. McCaw,2,7
28,1,7:34.0,,Turnover by D. Green (bad pass; steal by I. Thomas),2,7
29,1,7:28.0,A. Bradley misses 2-pt layup from 3 ft (block by D. Green),,2,7
30,1,7:27.0,,Defensive rebound by P. McCaw,2,7
31,1,7:23.0,,Shooting foul by J. Crowder (drawn by S. Curry),2,7
32,1,7:23.0,,S. Curry makes free throw 1 of 3,2,8
33,1,7:23.0,,S. Curry makes free throw 2 of 3,2,9
34,1,7:23.0,,S. Curry makes free throw 3 of 3,2,10
35,1,7:14.0,Shooting foul by S. Curry (drawn by I. Thomas),,2,10
36,1,7:14.0,I. Thomas makes free throw 1 of 3,,3,10
37,1,7:14.0,I. Thomas makes free throw 2 of 3,,4,10
38,1,7:14.0,I. Thomas makes free throw 3 of 3,,5,10
39,1,6:55.0,,S. Curry makes 2-pt layup from 3 ft,5,12
40,1,6:49.0,Turnover by I. Thomas (lost ball; steal by D. Green),,5,12
41,1,6:42.0,,K. Thompson misses 3-pt jump shot from 26 ft,5,12
42,1,6:40.0,Defensive rebound by J. Crowder,,5,12
43,1,6:32.0,J. Crowder makes 2-pt layup from 1 ft (assist by A. Horford),,7,12
44,1,6:17.0,,S. Curry makes 3-pt jump shot from 26 ft,7,15
45,1,5:53.0,J. Crowder misses 3-pt jump shot from 25 ft,,7,15
46,1,5:52.0,,Defensive rebound by K. Thompson,7,15
47,1,5:41.0,,Z. Pachulia misses 2-pt jump shot from 11 ft,7,15
48,1,5:41.0,Defensive rebound by J. Crowder,,7,15
49,1,5:35.0,A. Bradley makes 2-pt jump shot from 21 ft (assist by J. Crowder),,9,15
50,1,5:22.0,,Z. Pachulia misses 2-pt jump shot from 14 ft,9,15
51,1,5:21.0,Defensive rebound by J. Crowder,,9,15
52,1,5:13.0,I. Thomas makes 3-pt jump shot from 29 ft,,12,15
53,1,5:03.0,,Golden State full timeout,12,15
54,1,5:03.0,,A. Iguodala enters the game for P. McCaw,12,15
55,1,5:03.0,,J. McGee enters the game for Z. Pachulia,12,15
56,1,5:03.0,M. Smart enters the game for A. Horford,,12,15
57,1,5:03.0,J. Jerebko enters the game for A. Bradley,,12,15
58,1,4:50.0,,D. Green misses 2-pt jump shot from 19 ft,12,15
59,1,4:49.0,,Offensive rebound by J. McGee,12,15
60,1,4:37.0,,J. McGee makes 2-pt hook shot from 9 ft,12,17
61,1,4:19.0,I. Thomas makes 3-pt jump shot from 25 ft (assist by J. Jerebko),,15,17
62,1,4:08.0,,Turnover by D. Green (bad pass; steal by A. Johnson),15,17
63,1,4:02.0,Turnover by J. Crowder (lost ball; steal by A. Iguodala),,15,17
64,1,3:55.0,,J. McGee misses 2-pt dunk at rim,15,17
65,1,3:55.0,,Offensive rebound by S. Curry,15,17
66,1,3:54.0,,S. Curry makes 2-pt layup from 2 ft,15,19
67,1,3:41.0,I. Thomas misses 3-pt jump shot from 25 ft,,15,19
68,1,3:41.0,,Defensive rebound by Team,15,19
69,1,3:41.0,,M. Barnes enters the game for D. Green,15,19
70,1,3:41.0,,P. McCaw enters the game for K. Thompson,15,19
71,1,3:26.0,,P. McCaw makes 2-pt layup from 2 ft,15,21
72,1,3:16.0,I. Thomas makes 2-pt layup from 3 ft,,17,21
73,1,3:01.0,,A. Iguodala makes 3-pt jump shot from 23 ft (assist by M. Barnes),17,24
74,1,2:41.0,Turnover by J. Crowder (lost ball; steal by M. Barnes),,17,24
75,1,2:36.0,,M. Barnes misses 2-pt layup from 1 ft,17,24
76,1,2:34.0,Defensive rebound by J. Jerebko,,17,24
77,1,2:28.0,Boston full timeout,,17,24
78,1,2:28.0,J. Brown enters the game for A. Johnson,,17,24
79,1,2:28.0,K. Olynyk enters the game for J. Crowder,,17,24
80,1,2:21.0,J. Jerebko makes 2-pt jump shot from 17 ft (assist by J. Brown),,19,24
81,1,2:06.0,,S. Curry misses 3-pt jump shot from 27 ft,19,24
82,1,2:05.0,,Offensive rebound by J. McGee,19,24
83,1,2:03.0,,J. McGee misses 2-pt hook shot from 3 ft,19,24
84,1,2:02.0,Defensive rebound by J. Jerebko,,19,24
85,1,1:43.0,J. Jerebko makes 3-pt jump shot from 26 ft (assist by M. Smart),,22,24
86,1,1:35.0,,J. McGee makes 2-pt layup from 1 ft (assist by M. Barnes),22,26
87,1,1:18.0,I. Thomas misses 2-pt layup from 2 ft (block by M. Barnes),,22,26
88,1,1:17.0,,Defensive rebound by J. McGee,22,26
89,1,1:13.0,T. Rozier enters the game for I. Thomas,,22,26
90,1,1:05.0,,Turnover by S. Curry (step out of bounds),22,26
91,1,0:50.0,Personal foul by P. McCaw (drawn by M. Smart),,22,26
92,1,0:36.0,T. Rozier makes 3-pt jump shot from 23 ft (assist by J. Brown),,25,26
93,1,0:20.0,,A. Iguodala makes 2-pt layup from 1 ft,25,28
94,1,0:04.0,T. Rozier misses 3-pt jump shot from 27 ft,,25,28
