,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,NEW ORLEANS_ACTION,SAN ANTONIO_SCORE,NEW ORLEANS_SCORE
0,1,11:43.0,,H. Thompson makes 2-pt layup from 3 ft (assist by D. Cousins),0,2
1,1,11:22.0,D. Dedmon makes 2-pt dunk at rim (assist by D. Green),,2,2
2,1,11:05.0,,D. Cousins makes 2-pt jump shot from 20 ft (assist by J. Holiday),2,4
3,1,10:51.0,L. Aldridge makes 2-pt jump shot from 19 ft (assist by T. Parker),,4,4
4,1,10:38.0,,Shooting foul by D. Dedmon (drawn by A. Davis),4,4
5,1,10:38.0,,A. Davis makes free throw 1 of 2,4,5
6,1,10:38.0,,A. Davis makes free throw 2 of 2,4,6
7,1,10:24.0,K. Leonard makes 3-pt jump shot from 26 ft,,7,6
8,1,10:14.0,,H. Thompson misses 2-pt layup from 3 ft (block by D. Dedmon),7,6
9,1,10:10.0,Defensive rebound by D. Dedmon,,7,6
10,1,10:04.0,T. Parker makes 2-pt layup from 4 ft,,9,6
11,1,9:48.0,,D. Cousins misses 2-pt layup from 4 ft,9,6
12,1,9:47.0,Defensive rebound by D. Dedmon,,9,6
13,1,9:43.0,Turnover by T. Parker (traveling),,9,6
14,1,9:33.0,,A. Davis misses 3-pt jump shot from 27 ft,9,6
15,1,9:31.0,Defensive rebound by D. Green,,9,6
16,1,9:24.0,L. Aldridge misses 2-pt jump shot from 17 ft,,9,6
17,1,9:23.0,,Defensive rebound by H. Thompson,9,6
18,1,9:14.0,,J. Holiday misses 2-pt jump shot from 19 ft,9,6
19,1,9:13.0,Defensive rebound by L. Aldridge,,9,6
20,1,9:03.0,,Violation by H. Thompson (kicked ball),9,6
21,1,8:48.0,D. Dedmon misses 2-pt hook shot from 4 ft,,9,6
22,1,8:46.0,Offensive rebound by L. Aldridge,,9,6
23,1,8:36.0,L. Aldridge misses 2-pt layup from 3 ft,,9,6
24,1,8:35.0,,Defensive rebound by D. Cousins,9,6
25,1,8:29.0,,S. Hill makes 3-pt jump shot from 25 ft (assist by D. Cousins),9,9
26,1,8:15.0,T. Parker misses 2-pt jump shot from 10 ft,,9,9
27,1,8:11.0,,Defensive rebound by D. Cousins,9,9
28,1,8:04.0,,D. Cousins misses 2-pt jump shot from 17 ft,9,9
29,1,8:02.0,Defensive rebound by D. Dedmon,,9,9
30,1,7:47.0,K. Leonard misses 3-pt jump shot from 27 ft,,9,9
31,1,7:45.0,,Defensive rebound by D. Cousins,9,9
32,1,7:39.0,,Turnover by J. Holiday (bad pass; steal by K. Leonard),9,9
33,1,7:32.0,D. Green makes 2-pt jump shot from 17 ft (assist by T. Parker),,11,9
34,1,7:17.0,,D. Cousins makes 2-pt layup from 3 ft,11,11
35,1,7:17.0,,Shooting foul by D. Dedmon (drawn by D. Cousins),11,11
36,1,7:17.0,,D. Cousins misses free throw 1 of 1,11,11
37,1,7:17.0,P. Gasol enters the game for D. Dedmon,,11,11
38,1,7:07.0,Defensive rebound by K. Leonard,,11,11
39,1,7:00.0,Turnover by P. Gasol (lost ball; steal by A. Davis),,11,11
40,1,6:54.0,,A. Davis makes 2-pt dunk at rim (assist by S. Hill),11,13
41,1,6:38.0,Shooting foul by S. Hill (drawn by K. Leonard),,11,13
42,1,6:38.0,K. Leonard misses free throw 1 of 2,,11,13
43,1,6:38.0,Offensive rebound by Team,,11,13
44,1,6:38.0,K. Leonard makes free throw 2 of 2,,12,13
45,1,6:22.0,,A. Davis makes 2-pt jump shot from 13 ft (assist by D. Cousins),12,15
46,1,6:21.0,San Antonio full timeout,,12,15
47,1,6:09.0,D. Green misses 2-pt jump shot from 14 ft,,12,15
48,1,6:07.0,,Defensive rebound by D. Cousins,12,15
49,1,5:53.0,,H. Thompson makes 3-pt jump shot from 24 ft (assist by A. Davis),12,18
50,1,5:37.0,Shooting foul by A. Davis (drawn by K. Leonard),,12,18
51,1,5:37.0,K. Leonard makes free throw 1 of 2,,13,18
52,1,5:37.0,M. Ginóbili enters the game for D. Green,,13,18
53,1,5:37.0,P. Mills enters the game for T. Parker,,13,18
54,1,5:37.0,K. Leonard makes free throw 2 of 2,,14,18
