,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SACRAMENTO_ACTION,LA LAKERS_SCORE,SACRAMENTO_SCORE
0,1,11:37.0,,D. Cousins misses 2-pt layup from 4 ft,0,0
1,1,11:37.0,Defensive rebound by L. Deng,,0,0
2,1,11:29.0,J. Randle misses 2-pt layup from 4 ft (block by R. Gay),,0,0
3,1,11:27.0,Offensive rebound by J. Randle,,0,0
4,1,11:26.0,Turnover by J. Randle (lost ball; steal by D. Cousins),,0,0
5,1,11:18.0,,Turnover by D. Cousins (bad pass; steal by N. Young),0,0
6,1,11:12.0,T. Mozgov makes 2-pt layup from 1 ft (assist by L. Deng),,2,0
7,1,10:53.0,,D. Cousins makes 2-pt jump shot from 7 ft (assist by R. Gay),2,2
8,1,10:34.0,L. Deng misses 2-pt layup from 3 ft,,2,2
9,1,10:33.0,,Defensive rebound by R. Gay,2,2
10,1,10:16.0,,R. Gay misses 3-pt jump shot from 24 ft,2,2
11,1,10:15.0,Defensive rebound by T. Mozgov,,2,2
12,1,9:54.0,J. Randle misses 2-pt jump shot from 17 ft,,2,2
13,1,9:53.0,Offensive rebound by T. Mozgov,,2,2
14,1,9:52.0,T. Mozgov makes 2-pt hook shot from 3 ft,,4,2
15,1,9:37.0,,D. Cousins misses 2-pt jump shot from 5 ft,4,2
16,1,9:36.0,,Offensive rebound by K. Koufos,4,2
17,1,9:36.0,,Personal foul by T. Mozgov (drawn by D. Cousins),4,2
18,1,9:17.0,,Turnover by B. McLemore (bad pass; steal by L. Deng),4,2
19,1,9:12.0,D. Russell misses 2-pt layup from 3 ft (block by D. Cousins),,4,2
20,1,9:11.0,Offensive rebound by T. Mozgov,,4,2
21,1,9:10.0,T. Mozgov misses 2-pt layup from 3 ft (block by B. McLemore),,4,2
22,1,9:08.0,Offensive rebound by T. Mozgov,,4,2
23,1,9:02.0,N. Young misses 3-pt jump shot from 22 ft,,4,2
24,1,9:01.0,,Defensive rebound by K. Koufos,4,2
25,1,8:40.0,,Turnover by D. Cousins (bad pass; steal by T. Mozgov),4,2
26,1,8:32.0,Turnover by J. Randle (bad pass; steal by R. Gay),,4,2
27,1,8:27.0,,R. Gay misses 2-pt layup from 3 ft,4,2
28,1,8:26.0,Defensive rebound by D. Russell,,4,2
29,1,8:18.0,D. Russell makes 3-pt jump shot from 23 ft (assist by L. Deng),,7,2
30,1,7:59.0,,D. Collison makes 2-pt jump shot from 17 ft,7,4
31,1,7:43.0,N. Young makes 2-pt jump shot from 17 ft,,9,4
32,1,7:35.0,,Sacramento full timeout,9,4
33,1,7:35.0,,G. Temple enters the game for B. McLemore,9,4
34,1,7:24.0,,R. Gay misses 3-pt jump shot from 23 ft,9,4
35,1,7:23.0,Defensive rebound by J. Randle,,9,4
36,1,7:09.0,N. Young makes 3-pt jump shot from 25 ft (assist by L. Deng),,12,4
37,1,6:59.0,,Def 3 sec tech foul by T. Mozgov,12,4
38,1,6:59.0,,D. Collison misses technical free throw,12,4
39,1,6:59.0,,Offensive rebound by Team,12,4
40,1,6:48.0,,D. Collison misses 3-pt jump shot from 22 ft,12,4
41,1,6:47.0,Defensive rebound by Team,,12,4
42,1,6:47.0,,Loose ball foul by D. Collison (drawn by N. Young),12,4
43,1,6:39.0,N. Young misses 3-pt jump shot from 23 ft,,12,4
44,1,6:38.0,,Defensive rebound by D. Cousins,12,4
45,1,6:28.0,,D. Collison makes 2-pt layup from 5 ft (assist by D. Cousins),12,6
46,1,6:28.0,,Shooting foul by J. Randle (drawn by D. Collison),12,6
47,1,6:28.0,,D. Collison makes free throw 1 of 1,12,7
48,1,6:12.0,T. Mozgov makes 2-pt jump shot from 15 ft (assist by D. Russell),,14,7
49,1,5:56.0,,K. Koufos makes 2-pt hook shot from 6 ft,14,9
50,1,5:47.0,Turnover by D. Russell (bad pass; steal by D. Cousins),,14,9
51,1,5:44.0,,Turnover by D. Cousins (bad pass; steal by L. Deng),14,9
52,1,5:37.0,N. Young makes 3-pt jump shot from 24 ft (assist by D. Russell),,17,9
53,1,5:13.0,,D. Cousins makes 2-pt jump shot from 18 ft,17,11
54,1,5:04.0,LA Lakers full timeout,,17,11
55,1,5:04.0,B. Ingram enters the game for N. Young,,17,11
56,1,5:04.0,J. Clarkson enters the game for D. Russell,,17,11
57,1,5:04.0,,O. Casspi enters the game for K. Koufos,17,11
58,1,4:59.0,J. Randle misses 2-pt dunk at rim (block by D. Cousins),,17,11
59,1,4:58.0,,Defensive rebound by R. Gay,17,11
60,1,4:42.0,,D. Cousins misses 2-pt jump shot from 18 ft,17,11
61,1,4:42.0,Defensive rebound by J. Randle,,17,11
62,1,4:33.0,L. Deng misses 2-pt jump shot from 17 ft,,17,11
63,1,4:32.0,,Defensive rebound by R. Gay,17,11
64,1,4:15.0,,D. Collison makes 3-pt jump shot from 24 ft (assist by O. Casspi),17,14
65,1,4:14.0,Technical foul by Team,,17,14
66,1,4:14.0,Technical foul by Team,,17,14
67,1,4:14.0,Technical foul by J. Randle,,17,14
68,1,4:14.0,LA Lakers full timeout,,17,14
69,1,4:14.0,,R. Gay makes technical free throw,17,15
70,1,4:14.0,,R. Gay makes technical free throw,17,16
71,1,4:14.0,L. Nance enters the game for J. Randle,,17,14
72,1,4:14.0,L. Williams enters the game for L. Deng,,17,14
73,1,4:14.0,,R. Gay makes technical free throw,17,17
74,1,3:59.0,J. Clarkson misses 2-pt jump shot from 17 ft,,17,17
75,1,3:58.0,Offensive rebound by T. Mozgov,,17,17
76,1,3:54.0,B. Ingram misses 2-pt jump shot from 20 ft,,17,17
77,1,3:53.0,,Defensive rebound by O. Casspi,17,17
78,1,3:49.0,,Shooting foul by L. Nance (drawn by D. Collison),17,17
79,1,3:49.0,,D. Collison misses free throw 1 of 2,17,17
80,1,3:49.0,,Offensive rebound by Team,17,17
81,1,3:49.0,,D. Collison misses free throw 2 of 2,17,17
82,1,3:47.0,Defensive rebound by B. Ingram,,17,17
83,1,3:33.0,Turnover by L. Nance (bad pass),,17,17
84,1,3:25.0,,D. Cousins makes 2-pt layup from 3 ft (assist by D. Collison),17,19
85,1,3:18.0,Personal foul by G. Temple,,17,19
86,1,3:18.0,L. Williams makes free throw 1 of 2,,18,19
87,1,3:18.0,L. Williams makes free throw 2 of 2,,19,19
88,1,2:59.0,,D. Cousins makes 2-pt layup from 4 ft,19,21
89,1,2:58.0,,Violation by Team (jump ball),19,21
90,1,2:43.0,L. Williams makes 3-pt jump shot from 25 ft,,22,21
91,1,2:27.0,,R. Gay makes 2-pt hook shot from 5 ft,22,23
92,1,2:03.0,J. Clarkson misses 2-pt jump shot from 10 ft,,22,23
93,1,2:03.0,,Defensive rebound by R. Gay,22,23
94,1,1:52.0,,R. Gay makes 2-pt dunk at rim (assist by O. Casspi),22,25
95,1,1:34.0,Turnover by L. Williams (bad pass; steal by R. Gay),,22,25
96,1,1:31.0,,D. Collison makes 2-pt dunk at rim (assist by R. Gay),22,27
97,1,1:02.0,T. Mozgov makes 2-pt jump shot from 19 ft (assist by B. Ingram),,24,27
98,1,0:53.0,,D. Cousins makes 2-pt jump shot from 8 ft,24,29
99,1,0:42.0,L. Williams misses 3-pt jump shot from 27 ft,,24,29
100,1,0:42.0,,Defensive rebound by Team,24,29
101,1,0:42.0,,T. Lawson enters the game for R. Gay,24,29
102,1,0:42.0,,A. Tolliver enters the game for D. Collison,24,29
103,1,0:42.0,T. Robinson enters the game for T. Mozgov,,24,29
104,1,0:27.0,,Shooting block foul by L. Nance (drawn by O. Casspi),24,29
105,1,0:27.0,,O. Casspi misses free throw 1 of 2,24,29
106,1,0:27.0,,Offensive rebound by Team,24,29
107,1,0:27.0,,O. Casspi misses free throw 2 of 2,24,29
108,1,0:27.0,Defensive rebound by B. Ingram,,24,29
109,1,0:27.0,,W. Cauley-Stein enters the game for D. Cousins,24,29
110,1,0:05.0,Turnover by J. Clarkson (bad pass; steal by W. Cauley-Stein),,24,29
111,1,0:00.0,,G. Temple makes 2-pt layup from 1 ft (assist by T. Lawson),24,31
112,2,11:44.0,B. Ingram misses 2-pt jump shot from 16 ft,,24,31
113,2,11:44.0,Offensive rebound by L. Nance,,24,31
114,2,11:42.0,L. Nance misses 2-pt hook shot from 6 ft,,24,31
115,2,11:39.0,Offensive rebound by T. Robinson,,24,31
116,2,11:36.0,J. Clarkson misses 3-pt jump shot from 24 ft,,24,31
117,2,11:34.0,Offensive rebound by T. Robinson,,24,31
118,2,11:34.0,T. Robinson misses 2-pt layup from 1 ft,,24,31
119,2,11:33.0,,Defensive rebound by T. Lawson,24,31
120,2,11:29.0,,T. Lawson misses 2-pt jump shot from 7 ft (block by L. Williams),24,31
121,2,11:27.0,,Offensive rebound by T. Lawson,24,31
122,2,11:19.0,,G. Temple misses 2-pt layup from 4 ft (block by T. Robinson),24,31
123,2,11:17.0,,Offensive rebound by W. Cauley-Stein,24,31
124,2,11:16.0,,W. Cauley-Stein makes 2-pt layup from 1 ft,24,33
125,2,11:04.0,L. Nance misses 2-pt jump shot from 14 ft,,24,33
126,2,11:02.0,,Defensive rebound by O. Casspi,24,33
127,2,10:51.0,,W. Cauley-Stein makes 2-pt jump shot from 7 ft (assist by T. Lawson),24,35
128,2,10:31.0,B. Ingram makes 2-pt jump shot from 20 ft,,26,35
129,2,10:16.0,,Turnover by W. Cauley-Stein (lost ball; steal by T. Robinson),26,35
130,2,10:13.0,T. Robinson makes 2-pt layup from 2 ft (assist by J. Clarkson),,28,35
