,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,INDIANA_ACTION,WASHINGTON_SCORE,INDIANA_SCORE
0,1,11:45.0,M. Gortat misses 2-pt jump shot from 12 ft,,0,0
1,1,11:44.0,,Defensive rebound by J. Teague,0,0
2,1,11:24.0,,Turnover by M. Turner (bad pass; steal by M. Morris),0,0
3,1,11:18.0,O. Porter makes 3-pt jump shot from 23 ft (assist by J. Wall),,3,0
4,1,11:02.0,,M. Turner misses 2-pt jump shot from 20 ft,3,0
5,1,11:01.0,,Offensive rebound by K. Séraphin,3,0
6,1,10:47.0,,Turnover by K. Séraphin (3 sec),3,0
7,1,10:35.0,M. Gortat misses 2-pt hook shot from 10 ft,,3,0
8,1,10:34.0,,Defensive rebound by P. George,3,0
9,1,10:21.0,,M. Turner misses 2-pt jump shot from 9 ft,3,0
10,1,10:20.0,Defensive rebound by Team,,3,0
11,1,10:13.0,B. Beal misses 3-pt jump shot from 26 ft,,3,0
12,1,10:13.0,,Defensive rebound by P. George,3,0
13,1,10:03.0,,M. Turner misses 3-pt jump shot from 26 ft,3,0
14,1,10:02.0,Defensive rebound by O. Porter,,3,0
15,1,9:48.0,J. Wall misses 3-pt jump shot from 29 ft,,3,0
16,1,9:47.0,,Defensive rebound by P. George,3,0
17,1,9:42.0,,Personal foul by B. Beal (drawn by P. George),3,0
18,1,9:27.0,,Turnover by J. Teague (traveling),3,0
19,1,9:17.0,B. Beal makes 3-pt jump shot from 28 ft (assist by J. Wall),,6,0
20,1,9:02.0,,J. Teague makes 2-pt jump shot from 7 ft,6,2
21,1,8:39.0,O. Porter makes 3-pt jump shot from 23 ft (assist by B. Beal),,9,2
22,1,8:26.0,,Turnover by P. George (bad pass),9,2
23,1,8:12.0,M. Morris misses 2-pt jump shot from 15 ft (block by M. Turner),,9,2
24,1,8:10.0,,Defensive rebound by M. Turner,9,2
25,1,8:06.0,,G. Robinson makes 2-pt jump shot from 7 ft,9,4
26,1,7:54.0,M. Gortat makes 2-pt dunk at rim (assist by J. Wall),,11,4
27,1,7:44.0,,Turnover by J. Teague (bad pass; steal by M. Morris),11,4
28,1,7:38.0,O. Porter makes 3-pt jump shot from 24 ft (assist by J. Wall),,14,4
29,1,7:38.0,,Indiana full timeout,14,4
30,1,7:24.0,,P. George misses 3-pt jump shot from 28 ft,14,4
31,1,7:23.0,Defensive rebound by O. Porter,,14,4
32,1,7:06.0,O. Porter makes 3-pt jump shot from 26 ft (assist by J. Wall),,17,4
33,1,6:48.0,,K. Séraphin makes 2-pt jump shot from 17 ft (assist by P. George),17,6
34,1,6:30.0,M. Morris makes 3-pt jump shot from 23 ft (assist by B. Beal),,20,6
35,1,6:21.0,,K. Séraphin makes 2-pt hook shot from 7 ft (assist by J. Teague),20,8
36,1,5:54.0,J. Wall misses 2-pt jump shot from 19 ft,,20,8
37,1,5:53.0,,Defensive rebound by M. Turner,20,8
38,1,5:36.0,,K. Séraphin misses 2-pt jump shot from 14 ft,20,8
39,1,5:35.0,Defensive rebound by J. Wall,,20,8
40,1,5:27.0,J. Wall misses 2-pt layup from 1 ft,,20,8
41,1,5:26.0,,Defensive rebound by M. Turner,20,8
42,1,5:23.0,Violation by B. Beal (kicked ball),,20,8
43,1,5:23.0,J. Smith enters the game for M. Morris,,20,8
44,1,5:16.0,,Personal foul by J. Wall (drawn by M. Turner),20,8
45,1,5:07.0,,G. Robinson makes 3-pt jump shot from 23 ft (assist by J. Teague),20,11
46,1,4:52.0,Shooting foul by G. Robinson (drawn by B. Beal),,20,11
