,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,DETROIT_ACTION,MILWAUKEE_SCORE,DETROIT_SCORE
0,1,11:32.0,G. Antetokounmpo makes 2-pt jump shot from 18 ft (assist by M. Dellavedova),,2,0
1,1,11:10.0,,A. Drummond makes 2-pt layup from 1 ft,2,2
2,1,10:57.0,M. Dellavedova makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,5,2
3,1,10:31.0,,K. Caldwell-Pope makes 2-pt layup at rim (assist by T. Harris),5,4
4,1,10:22.0,Personal foul by T. Harris (drawn by M. Dellavedova),,5,4
5,1,10:19.0,Personal foul by M. Morris (drawn by G. Antetokounmpo),,5,4
6,1,10:15.0,Turnover by M. Plumlee (lost ball; steal by T. Harris),,5,4
7,1,10:07.0,,T. Harris makes 3-pt jump shot from 24 ft (assist by K. Caldwell-Pope),5,7
8,1,9:49.0,T. Snell misses 2-pt jump shot from 20 ft,,5,7
9,1,9:48.0,,Defensive rebound by K. Caldwell-Pope,5,7
10,1,9:37.0,,M. Morris misses 3-pt jump shot from 24 ft,5,7
11,1,9:36.0,Defensive rebound by G. Antetokounmpo,,5,7
12,1,9:27.0,G. Antetokounmpo misses 2-pt layup at rim,,5,7
13,1,9:26.0,,Defensive rebound by I. Smith,5,7
14,1,9:19.0,,K. Caldwell-Pope makes 2-pt jump shot from 20 ft (assist by I. Smith),5,9
15,1,9:02.0,T. Snell makes 2-pt layup from 1 ft (assist by M. Plumlee),,7,9
16,1,8:38.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by M. Morris),7,11
17,1,8:29.0,Turnover by M. Dellavedova (bad pass; steal by M. Morris),,7,11
18,1,8:24.0,,Turnover by M. Morris (bad pass; steal by T. Snell),7,11
19,1,8:14.0,T. Snell makes 2-pt jump shot from 16 ft (assist by M. Plumlee),,9,11
20,1,7:58.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by I. Smith),9,14
21,1,7:39.0,G. Antetokounmpo misses 2-pt jump shot from 16 ft,,9,14
22,1,7:39.0,,Defensive rebound by A. Drummond,9,14
23,1,7:29.0,,T. Harris makes 2-pt jump shot from 13 ft (assist by I. Smith),9,16
24,1,7:27.0,Milwaukee full timeout,,9,16
25,1,7:10.0,T. Snell misses 3-pt jump shot from 24 ft,,9,16
26,1,7:08.0,,Defensive rebound by A. Drummond,9,16
27,1,6:56.0,,Turnover by I. Smith (bad pass; steal by M. Plumlee),9,16
28,1,6:33.0,M. Plumlee makes 2-pt layup from 1 ft (assist by M. Dellavedova),,11,16
29,1,6:16.0,,I. Smith misses 3-pt jump shot from 26 ft,11,16
30,1,6:16.0,Defensive rebound by G. Antetokounmpo,,11,16
31,1,5:56.0,J. Parker misses 2-pt hook shot from 8 ft,,11,16
32,1,5:56.0,,Defensive rebound by T. Harris,11,16
33,1,5:44.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,11,16
34,1,5:43.0,Defensive rebound by G. Antetokounmpo,,11,16
35,1,5:26.0,J. Parker makes 2-pt layup from 1 ft,,13,16
36,1,5:13.0,,Turnover by T. Harris (traveling),13,16
37,1,5:13.0,,J. Leuer enters the game for M. Morris,13,16
38,1,5:13.0,G. Monroe enters the game for M. Plumlee,,13,16
39,1,5:13.0,R. Vaughn enters the game for T. Snell,,13,16
40,1,5:13.0,M. Brogdon enters the game for M. Dellavedova,,13,16
41,1,4:54.0,M. Brogdon misses 2-pt jump shot at rim,,13,16
42,1,4:52.0,,Defensive rebound by J. Leuer,13,16
43,1,4:46.0,,I. Smith makes 2-pt layup at rim,13,18
44,1,4:20.0,J. Parker misses 2-pt jump shot from 6 ft (block by A. Drummond),,13,18
45,1,4:19.0,,Defensive rebound by A. Drummond,13,18
46,1,4:16.0,,J. Leuer makes 2-pt dunk at rim (assist by I. Smith),13,20
