,QUARTER,TIME_REMAINING,MIAMI_ACTION,CHICAGO_ACTION,MIAMI_SCORE,CHICAGO_SCORE
0,1,11:34.0,,T. Gibson makes 2-pt jump shot from 14 ft,0,2
1,1,11:12.0,R. McGruder makes 2-pt jump shot from 18 ft (assist by L. Babbitt),,2,2
2,1,10:58.0,,Shooting foul by D. Waiters (drawn by P. Zipser),2,2
3,1,10:58.0,,P. Zipser makes free throw 1 of 2,2,3
4,1,10:58.0,,P. Zipser makes free throw 2 of 2,2,4
5,1,10:47.0,D. Waiters makes 2-pt layup from 1 ft (assist by G. Dragić),,4,4
6,1,10:47.0,Shooting foul by P. Zipser (drawn by D. Waiters),,4,4
7,1,10:47.0,D. Waiters makes free throw 1 of 1,,5,4
8,1,10:30.0,,R. Lopez misses 2-pt hook shot from 4 ft,5,4
9,1,10:28.0,,Offensive rebound by T. Gibson,5,4
10,1,10:24.0,,Turnover by J. Grant (bad pass; steal by G. Dragić),5,4
11,1,10:22.0,G. Dragić makes 2-pt jump shot from 4 ft,,7,4
12,1,10:22.0,Shooting foul by J. Grant (drawn by G. Dragić),,7,4
13,1,10:22.0,G. Dragić makes free throw 1 of 1,,8,4
14,1,10:06.0,,D. McDermott misses 2-pt jump shot from 17 ft,8,4
15,1,10:06.0,Defensive rebound by R. McGruder,,8,4
16,1,9:59.0,D. Waiters misses 2-pt layup from 2 ft (block by T. Gibson),,8,4
17,1,9:58.0,,Defensive rebound by T. Gibson,8,4
18,1,9:52.0,,J. Grant misses 2-pt layup from 2 ft,8,4
19,1,9:51.0,Defensive rebound by G. Dragić,,8,4
20,1,9:45.0,L. Babbitt misses 3-pt jump shot from 25 ft,,8,4
21,1,9:44.0,,Defensive rebound by D. McDermott,8,4
22,1,9:33.0,,R. Lopez misses 2-pt jump shot from 18 ft,8,4
23,1,9:32.0,Defensive rebound by L. Babbitt,,8,4
24,1,9:23.0,G. Dragić makes 2-pt jump shot from 8 ft,,10,4
25,1,9:08.0,,D. McDermott makes 2-pt jump shot from 21 ft (assist by R. Lopez),10,6
26,1,9:08.0,,Shooting foul by R. McGruder (drawn by D. McDermott),10,6
27,1,9:08.0,,D. McDermott makes free throw 1 of 1,10,7
28,1,8:57.0,L. Babbitt misses 3-pt jump shot from 26 ft,,10,7
29,1,8:56.0,,Defensive rebound by P. Zipser,10,7
30,1,8:42.0,,J. Grant misses 3-pt jump shot from 26 ft,10,7
31,1,8:41.0,,Offensive rebound by J. Grant,10,7
32,1,8:40.0,,J. Grant makes 2-pt layup from 1 ft,10,9
