,QUARTER,TIME_REMAINING,NEW YORK_ACTION,SAN ANTONIO_ACTION,NEW YORK_SCORE,SAN ANTONIO_SCORE
0,1,11:44.0,,L. Aldridge misses 2-pt jump shot from 16 ft,0,0
1,1,11:43.0,Defensive rebound by K. Porziņģis,,0,0
2,1,11:25.0,D. Rose misses 2-pt jump shot from 13 ft,,0,0
3,1,11:23.0,Offensive rebound by W. Hernangómez,,0,0
4,1,11:19.0,C. Lee misses 2-pt jump shot from 13 ft,,0,0
5,1,11:17.0,,Defensive rebound by L. Aldridge,0,0
6,1,10:59.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by T. Parker),0,2
7,1,10:36.0,M. Kuzminskas makes 3-pt jump shot from 25 ft (assist by C. Lee),,3,2
8,1,10:28.0,,Turnover by J. Simmons (lost ball),3,2
9,1,10:20.0,D. Rose misses 2-pt layup from 2 ft (block by K. Leonard),,3,2
10,1,10:19.0,,Defensive rebound by K. Leonard,3,2
11,1,10:12.0,,L. Aldridge makes 3-pt jump shot from 24 ft (assist by J. Simmons),3,5
12,1,9:58.0,C. Lee misses 2-pt jump shot from 20 ft,,3,5
13,1,9:57.0,,Defensive rebound by K. Leonard,3,5
14,1,9:49.0,,Personal foul by K. Porziņģis (drawn by D. Dedmon),3,5
15,1,9:46.0,Violation by K. Porziņģis (def goaltending),,3,5
16,1,9:46.0,,T. Parker makes 2-pt layup at rim,3,7
17,1,9:34.0,Turnover by C. Lee (lost ball; steal by J. Simmons),,3,7
18,1,9:28.0,,J. Simmons makes 2-pt layup at rim,3,9
19,1,9:12.0,Personal foul by D. Dedmon (drawn by W. Hernangómez),,3,9
20,1,9:05.0,D. Rose misses 2-pt layup at rim,,3,9
21,1,9:04.0,,Defensive rebound by D. Dedmon,3,9
22,1,8:50.0,,L. Aldridge misses 2-pt jump shot from 13 ft,3,9
23,1,8:49.0,Defensive rebound by C. Lee,,3,9
24,1,8:37.0,M. Kuzminskas makes 2-pt layup from 1 ft (assist by C. Lee),,5,9
25,1,8:20.0,,T. Parker misses 2-pt jump shot from 10 ft,5,9
26,1,8:18.0,,Offensive rebound by D. Dedmon,5,9
27,1,8:15.0,,L. Aldridge misses 2-pt jump shot from 17 ft,5,9
28,1,8:14.0,,Offensive rebound by D. Dedmon,5,9
29,1,8:03.0,,K. Leonard misses 2-pt jump shot from 18 ft,5,9
30,1,8:01.0,Defensive rebound by C. Lee,,5,9
31,1,7:57.0,Personal foul by D. Dedmon (drawn by W. Hernangómez),,5,9
32,1,7:57.0,,P. Gasol enters the game for D. Dedmon,5,9
33,1,7:45.0,W. Hernangómez makes 2-pt layup from 1 ft (assist by C. Lee),,7,9
34,1,7:22.0,,J. Simmons makes 2-pt jump shot from 7 ft (assist by P. Gasol),7,11
35,1,7:16.0,M. Kuzminskas makes 2-pt dunk at rim (assist by D. Rose),,9,11
36,1,6:56.0,,P. Gasol misses 2-pt jump shot from 13 ft,9,11
37,1,6:54.0,Defensive rebound by W. Hernangómez,,9,11
38,1,6:47.0,D. Rose misses 2-pt jump shot from 19 ft,,9,11
39,1,6:44.0,,Defensive rebound by L. Aldridge,9,11
40,1,6:42.0,,Personal block foul by C. Lee (drawn by J. Simmons),9,11
41,1,6:42.0,,San Antonio full timeout,9,11
42,1,6:30.0,,L. Aldridge makes 2-pt hook shot from 4 ft (assist by T. Parker),9,13
43,1,6:11.0,K. Porziņģis misses 2-pt jump shot from 19 ft,,9,13
44,1,6:10.0,,Defensive rebound by K. Leonard,9,13
45,1,6:02.0,,Personal block foul by W. Hernangómez (drawn by P. Gasol),9,13
46,1,5:50.0,,L. Aldridge makes 2-pt jump shot from 13 ft,9,15
47,1,5:33.0,K. Porziņģis misses 2-pt jump shot from 13 ft,,9,15
48,1,5:31.0,Offensive rebound by W. Hernangómez,,9,15
49,1,5:27.0,K. Porziņģis misses 3-pt jump shot from 24 ft,,9,15
50,1,5:25.0,,Defensive rebound by P. Gasol,9,15
51,1,5:20.0,,Shooting foul by W. Hernangómez (drawn by K. Leonard),9,15
52,1,5:20.0,,K. Leonard makes free throw 1 of 2,9,16
53,1,5:20.0,,K. Leonard misses free throw 2 of 2,9,16
54,1,5:20.0,,M. Ginóbili enters the game for J. Simmons,9,16
55,1,5:20.0,,P. Mills enters the game for T. Parker,9,16
56,1,5:20.0,K. O'Quinn enters the game for W. Hernangómez,,9,16
57,1,5:19.0,Defensive rebound by K. Porziņģis,,9,16
58,1,4:59.0,K. O'Quinn makes 2-pt jump shot from 10 ft (assist by C. Lee),,11,16
59,1,4:47.0,,K. Leonard makes 2-pt jump shot from 15 ft (assist by P. Mills),11,18
