,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,LA CLIPPERS_ACTION,PHILADELPHIA_SCORE,LA CLIPPERS_SCORE
0,1,11:51.0,,Turnover by J. Redick (lost ball; steal by T. Luwawu-Cabarrot),0,0
1,1,11:41.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 24 ft,,0,0
2,1,11:40.0,,Defensive rebound by D. Jordan,0,0
3,1,11:27.0,,J. Redick misses 2-pt jump shot from 19 ft,0,0
4,1,11:25.0,Defensive rebound by J. Okafor,,0,0
5,1,11:12.0,J. Okafor makes 2-pt jump shot from 15 ft,,2,0
6,1,10:53.0,,J. Redick misses 3-pt jump shot from 25 ft,2,0
7,1,10:53.0,Defensive rebound by R. Covington,,2,0
8,1,10:44.0,D. Šarić misses 2-pt jump shot from 21 ft,,2,0
9,1,10:43.0,,Defensive rebound by D. Jordan,2,0
10,1,10:31.0,,B. Griffin makes 2-pt hook shot from 3 ft,2,2
11,1,10:11.0,J. Okafor misses 2-pt jump shot from 12 ft,,2,2
12,1,10:10.0,,Defensive rebound by D. Jordan,2,2
13,1,10:03.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Redick),2,2
14,1,10:03.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by D. Jordan),2,5
15,1,10:03.0,,J. Redick makes free throw 1 of 1,2,6
16,1,9:50.0,D. Šarić misses 3-pt jump shot from 24 ft,,2,6
17,1,9:49.0,,Defensive rebound by D. Jordan,2,6
18,1,9:38.0,,Turnover by B. Griffin (bad pass; steal by J. Okafor),2,6
19,1,9:31.0,R. Covington makes 3-pt jump shot from 25 ft (assist by T. McConnell),,5,6
20,1,9:16.0,,Personal foul by R. Covington (drawn by J. Redick),5,6
21,1,9:08.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by C. Paul),5,9
22,1,8:44.0,J. Okafor makes 2-pt jump shot from 14 ft (assist by D. Šarić),,7,9
23,1,8:39.0,,Turnover by C. Paul (bad pass; steal by J. Okafor),7,9
24,1,8:27.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 25 ft (assist by J. Okafor),,10,9
25,1,8:15.0,,J. Redick misses 3-pt jump shot from 24 ft,10,9
26,1,8:14.0,Defensive rebound by J. Okafor,,10,9
27,1,8:04.0,R. Covington makes 3-pt jump shot from 26 ft (assist by T. McConnell),,13,9
28,1,7:53.0,,Turnover by B. Griffin (discontinued dribble),13,9
29,1,7:39.0,T. Luwawu-Cabarrot misses 2-pt layup from 3 ft (block by D. Jordan),,13,9
30,1,7:38.0,,Defensive rebound by J. Redick,13,9
31,1,7:32.0,,C. Paul makes 2-pt jump shot from 18 ft,13,11
32,1,7:12.0,D. Šarić misses 2-pt jump shot from 5 ft (block by D. Jordan),,13,11
33,1,7:11.0,,Defensive rebound by D. Jordan,13,11
34,1,7:07.0,,Turnover by C. Paul (bad pass; steal by T. McConnell),13,11
35,1,7:04.0,Turnover by J. Okafor (lost ball; steal by C. Paul),,13,11
36,1,7:01.0,,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),13,13
37,1,7:01.0,Philadelphia full timeout,,13,13
38,1,7:01.0,R. Holmes enters the game for J. Okafor,,13,13
39,1,6:43.0,T. McConnell misses 3-pt jump shot from 25 ft,,13,13
40,1,6:43.0,Offensive rebound by D. Šarić,,13,13
41,1,6:37.0,R. Holmes makes 3-pt jump shot from 25 ft (assist by T. McConnell),,16,13
42,1,6:20.0,,J. Redick misses 3-pt jump shot from 25 ft,16,13
43,1,6:19.0,Defensive rebound by R. Holmes,,16,13
44,1,6:09.0,T. McConnell makes 2-pt jump shot from 16 ft,,18,13
45,1,6:00.0,,Def 3 sec tech foul by R. Holmes,18,13
46,1,6:00.0,,J. Redick makes technical free throw,18,14
47,1,6:00.0,N. Stauskas enters the game for D. Šarić,,18,14
48,1,5:46.0,,C. Paul makes 2-pt jump shot from 18 ft (assist by D. Jordan),18,16
49,1,5:37.0,R. Covington misses 3-pt jump shot from 27 ft,,18,16
50,1,5:36.0,,Defensive rebound by D. Jordan,18,16
51,1,5:32.0,,B. Griffin makes 2-pt dunk from 2 ft (assist by D. Jordan),18,18
52,1,5:16.0,T. McConnell misses 3-pt jump shot from 23 ft,,18,18
53,1,5:16.0,,Defensive rebound by L. Mbah a Moute,18,18
54,1,4:58.0,,Personal foul by N. Stauskas (drawn by D. Jordan),18,18
55,1,4:58.0,,J. Crawford enters the game for L. Mbah a Moute,18,18
56,1,4:58.0,,A. Rivers enters the game for B. Griffin,18,18
57,1,4:48.0,,D. Jordan makes 2-pt dunk at rim (assist by J. Redick),18,20
58,1,4:35.0,T. McConnell misses 2-pt jump shot from 5 ft,,18,20
59,1,4:33.0,,Defensive rebound by A. Rivers,18,20
60,1,4:27.0,,J. Crawford misses 3-pt jump shot from 24 ft,18,20
61,1,4:25.0,Defensive rebound by N. Stauskas,,18,20
