,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,LA CLIPPERS_ACTION,BROOKLYN_SCORE,LA CLIPPERS_SCORE
0,1,11:45.0,,Personal foul by J. Hamilton (drawn by D. Jordan),0,0
1,1,11:41.0,,Offensive foul by D. Jordan (drawn by B. Bogdanović),0,0
2,1,11:41.0,,Turnover by D. Jordan (offensive foul),0,0
3,1,11:30.0,Turnover by B. Bogdanović (bad pass),,0,0
4,1,11:17.0,,J. Redick misses 2-pt jump shot from 21 ft,0,0
5,1,11:16.0,Defensive rebound by S. Kilpatrick,,0,0
6,1,11:06.0,R. Hollis-Jefferson makes 2-pt jump shot from 13 ft (assist by S. Kilpatrick),,2,0
7,1,10:48.0,,B. Griffin makes 2-pt jump shot from 18 ft (assist by J. Redick),2,2
8,1,10:30.0,R. Hollis-Jefferson misses 2-pt jump shot from 8 ft,,2,2
9,1,10:28.0,,Defensive rebound by D. Jordan,2,2
10,1,10:23.0,,C. Paul makes 3-pt jump shot from 24 ft,2,5
11,1,10:08.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,2,5
12,1,10:07.0,,Defensive rebound by B. Griffin,2,5
13,1,9:54.0,,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by C. Paul),2,7
14,1,9:34.0,S. Kilpatrick misses 3-pt jump shot from 24 ft,,2,7
15,1,9:31.0,Offensive rebound by R. Hollis-Jefferson,,2,7
16,1,9:29.0,Turnover by Team (shot clock),,2,7
17,1,9:22.0,,C. Paul makes 2-pt layup from 1 ft,2,9
18,1,9:17.0,Brooklyn full timeout,,2,9
19,1,9:06.0,S. Kilpatrick misses 2-pt jump shot from 6 ft,,2,9
20,1,9:05.0,,Defensive rebound by L. Mbah a Moute,2,9
21,1,8:50.0,,J. Redick misses 2-pt jump shot from 18 ft,2,9
22,1,8:47.0,Defensive rebound by B. Bogdanović,,2,9
23,1,8:38.0,S. Kilpatrick misses 3-pt jump shot from 24 ft,,2,9
24,1,8:37.0,,Defensive rebound by B. Griffin,2,9
25,1,8:30.0,,Personal foul by J. Hamilton (drawn by D. Jordan),2,9
26,1,8:30.0,L. Scola enters the game for J. Hamilton,,2,9
27,1,8:22.0,,J. Redick misses 2-pt jump shot from 10 ft,2,9
28,1,8:20.0,Defensive rebound by L. Scola,,2,9
29,1,8:18.0,Turnover by R. Hollis-Jefferson (bad pass; steal by C. Paul),,2,9
30,1,7:57.0,,C. Paul makes 3-pt jump shot from 24 ft,2,12
31,1,7:45.0,S. Kilpatrick makes 3-pt jump shot from 25 ft (assist by T. Booker),,5,12
32,1,7:25.0,,B. Griffin misses 2-pt layup from 2 ft,5,12
33,1,7:23.0,,Offensive rebound by B. Griffin,5,12
34,1,7:23.0,,B. Griffin makes 2-pt layup from 2 ft,5,14
35,1,7:14.0,S. Kilpatrick misses 2-pt jump shot from 17 ft,,5,14
36,1,7:12.0,,Defensive rebound by D. Jordan,5,14
37,1,6:56.0,,B. Griffin misses 3-pt jump shot from 25 ft,5,14
38,1,6:56.0,,Offensive rebound by Team,5,14
39,1,6:56.0,Loose ball foul by T. Booker (drawn by D. Jordan),,5,14
40,1,6:56.0,A. Bennett enters the game for T. Booker,,5,14
41,1,6:56.0,J. Harris enters the game for B. Bogdanović,,5,14
42,1,6:38.0,,J. Redick makes 2-pt jump shot from 19 ft (assist by B. Griffin),5,16
43,1,6:29.0,Turnover by S. Kilpatrick (lost ball; steal by C. Paul),,5,16
44,1,6:24.0,,B. Griffin makes 2-pt layup from 3 ft (assist by C. Paul),5,18
45,1,6:24.0,,Shooting foul by L. Scola (drawn by B. Griffin),5,18
46,1,6:24.0,,B. Griffin makes free throw 1 of 1,5,19
47,1,6:14.0,Turnover by J. Harris (bad pass; steal by J. Redick),,5,19
48,1,6:09.0,,B. Griffin misses 2-pt layup from 1 ft,5,19
49,1,6:08.0,,Offensive rebound by D. Jordan,5,19
50,1,6:08.0,,D. Jordan makes 2-pt layup from 1 ft,5,21
51,1,5:57.0,A. Bennett misses 3-pt jump shot from 24 ft,,5,21
52,1,5:55.0,,Defensive rebound by C. Paul,5,21
53,1,5:48.0,,C. Paul misses 3-pt jump shot from 24 ft,5,21
54,1,5:47.0,,Offensive rebound by C. Paul,5,21
55,1,5:43.0,,LA Clippers full timeout,5,21
56,1,5:31.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by C. Paul),5,24
57,1,5:18.0,Personal foul by L. Mbah a Moute (drawn by A. Bennett),,5,24
58,1,5:03.0,S. Kilpatrick misses 3-pt jump shot from 25 ft,,5,24
59,1,5:02.0,,Defensive rebound by J. Redick,5,24
60,1,4:57.0,,B. Griffin makes 2-pt layup from 2 ft (assist by C. Paul),5,26
61,1,4:46.0,Shooting block foul by B. Griffin (drawn by R. Hollis-Jefferson),,5,26
62,1,4:46.0,R. Hollis-Jefferson makes free throw 1 of 2,,6,26
63,1,4:46.0,R. Hollis-Jefferson makes free throw 2 of 2,,7,26
64,1,4:33.0,,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),7,28
65,1,4:22.0,A. Bennett misses 2-pt layup at rim,,7,28
66,1,4:22.0,,Defensive rebound by B. Griffin,7,28
67,1,4:09.0,,Shooting foul by J. Harris (drawn by J. Redick),7,28
68,1,4:09.0,,J. Redick makes free throw 1 of 3,7,29
69,1,4:09.0,,J. Redick makes free throw 2 of 3,7,30
70,1,4:09.0,R. Foye enters the game for S. Kilpatrick,,7,30
71,1,4:09.0,T. Booker enters the game for A. Bennett,,7,30
72,1,4:09.0,,J. Redick makes free throw 3 of 3,7,31
73,1,3:58.0,Turnover by L. Scola (bad pass; steal by C. Paul),,7,31
74,1,3:52.0,,B. Griffin makes 2-pt layup from 2 ft (assist by C. Paul),7,33
75,1,3:37.0,J. Harris misses 2-pt layup from 2 ft (block by D. Jordan),,7,33
76,1,3:36.0,,Defensive rebound by B. Griffin,7,33
77,1,3:30.0,,C. Paul misses 2-pt jump shot from 17 ft,7,33
78,1,3:28.0,Defensive rebound by T. Booker,,7,33
79,1,3:23.0,Turnover by T. Booker (lost ball; steal by L. Mbah a Moute),,7,33
80,1,3:03.0,,B. Griffin makes 2-pt jump shot from 21 ft (assist by C. Paul),7,35
81,1,2:44.0,T. Booker misses 2-pt jump shot from 19 ft,,7,35
82,1,2:44.0,,Defensive rebound by D. Jordan,7,35
83,1,2:20.0,,B. Griffin misses 2-pt jump shot from 19 ft,7,35
84,1,2:20.0,Defensive rebound by R. Foye,,7,35
85,1,2:19.0,Personal take foul by C. Paul (drawn by R. Foye),,7,35
86,1,2:19.0,,A. Rivers enters the game for C. Paul,7,35
87,1,2:19.0,,J. Crawford enters the game for J. Redick,7,35
88,1,2:19.0,B. Bogdanović enters the game for R. Hollis-Jefferson,,7,35
89,1,2:19.0,,B. Bass enters the game for B. Griffin,7,35
90,1,2:04.0,J. Harris makes 2-pt layup from 2 ft (assist by L. Scola),,9,35
91,1,1:38.0,,J. Crawford misses 3-pt jump shot from 24 ft,9,35
92,1,1:38.0,Defensive rebound by B. Bogdanović,,9,35
93,1,1:26.0,L. Scola misses 3-pt jump shot from 24 ft,,9,35
94,1,1:26.0,,Defensive rebound by D. Jordan,9,35
95,1,1:13.0,,L. Mbah a Moute makes 2-pt jump shot from 20 ft,9,37
96,1,1:01.0,B. Bogdanović makes 2-pt jump shot from 15 ft,,11,37
97,1,1:01.0,Shooting foul by A. Rivers (drawn by B. Bogdanović),,11,37
98,1,1:01.0,,R. Felton enters the game for L. Mbah a Moute,11,37
99,1,1:01.0,,M. Speights enters the game for D. Jordan,11,37
100,1,1:01.0,B. Bogdanović makes free throw 1 of 1,,12,37
101,1,0:50.0,,J. Crawford misses 2-pt jump shot from 18 ft,12,37
102,1,0:49.0,Defensive rebound by T. Booker,,12,37
103,1,0:34.0,R. Foye misses 3-pt jump shot from 26 ft,,12,37
104,1,0:33.0,,Defensive rebound by M. Speights,12,37
105,1,0:30.0,,Turnover by M. Speights (bad pass; steal by T. Booker),12,37
106,1,0:27.0,T. Booker makes 2-pt layup from 2 ft,,14,37
107,1,0:08.0,,A. Rivers makes 2-pt jump shot from 7 ft,14,39
108,2,11:47.0,J. Hamilton misses 2-pt jump shot from 8 ft,,14,39
109,2,11:44.0,,Defensive rebound by M. Speights,14,39
110,2,11:28.0,,R. Felton makes 3-pt jump shot from 25 ft (assist by J. Crawford),14,42
111,2,11:12.0,A. Bennett misses 3-pt jump shot from 24 ft,,14,42
112,2,11:12.0,Offensive rebound by Team,,14,42
113,2,11:12.0,,Loose ball foul by R. Felton (drawn by J. Hamilton),14,42
114,2,11:03.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,14,42
115,2,11:02.0,,Defensive rebound by M. Speights,14,42
116,2,10:54.0,,M. Speights misses 2-pt layup from 3 ft,14,42
117,2,10:53.0,Defensive rebound by A. Bennett,,14,42
118,2,10:41.0,A. Bennett misses 2-pt layup from 1 ft (block by M. Speights),,14,42
119,2,10:41.0,Offensive rebound by J. Hamilton,,14,42
120,2,10:41.0,Personal foul by A. Rivers (drawn by J. Hamilton),,14,42
121,2,10:41.0,Technical foul by Team,,14,42
122,2,10:41.0,,J. Crawford makes technical free throw,14,43
123,2,10:25.0,Y. Ferrell makes 3-pt jump shot from 25 ft (assist by R. Foye),,17,43
124,2,10:12.0,,A. Rivers misses 2-pt jump shot from 20 ft,17,43
