,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,NEW YORK_ACTION,MILWAUKEE_SCORE,NEW YORK_SCORE
0,1,11:38.0,,C. Lee makes 3-pt jump shot from 23 ft (assist by C. Anthony),0,3
1,1,11:18.0,Turnover by G. Antetokounmpo (lost ball),,0,3
2,1,11:03.0,,D. Rose misses 2-pt jump shot from 18 ft,0,3
3,1,11:02.0,Defensive rebound by G. Antetokounmpo,,0,3
4,1,10:47.0,J. Henson makes 2-pt layup from 1 ft (assist by J. Parker),,2,3
5,1,10:32.0,,L. Thomas misses 2-pt jump shot from 21 ft,2,3
6,1,10:31.0,Defensive rebound by T. Snell,,2,3
7,1,10:25.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by T. Snell),,4,3
8,1,10:14.0,,Shooting foul by J. Henson (drawn by J. Noah),4,3
9,1,10:14.0,,J. Noah misses free throw 1 of 2,4,3
10,1,10:14.0,,Offensive rebound by Team,4,3
11,1,10:14.0,,J. Noah misses free throw 2 of 2,4,3
12,1,10:14.0,Defensive rebound by G. Antetokounmpo,,4,3
13,1,10:03.0,M. Brogdon makes 2-pt layup from 1 ft,,6,3
14,1,9:52.0,,D. Rose makes 3-pt jump shot from 23 ft (assist by J. Noah),6,6
15,1,9:29.0,G. Antetokounmpo makes 2-pt jump shot from 21 ft,,8,6
16,1,9:11.0,,C. Anthony misses 2-pt jump shot from 12 ft,8,6
17,1,9:10.0,Defensive rebound by J. Henson,,8,6
18,1,8:58.0,G. Antetokounmpo misses 2-pt jump shot from 11 ft,,8,6
19,1,8:57.0,,Defensive rebound by C. Anthony,8,6
20,1,8:49.0,,Turnover by D. Rose (lost ball),8,6
21,1,8:32.0,G. Antetokounmpo misses 3-pt jump shot from 24 ft,,8,6
22,1,8:31.0,,Defensive rebound by J. Noah,8,6
23,1,8:21.0,,J. Noah makes 2-pt layup from 1 ft (assist by C. Anthony),8,8
24,1,8:12.0,Shooting foul by C. Anthony (drawn by J. Parker),,8,8
25,1,8:12.0,J. Parker makes free throw 1 of 2,,9,8
26,1,8:12.0,J. Parker makes free throw 2 of 2,,10,8
27,1,7:56.0,,D. Rose makes 2-pt layup at rim,10,10
28,1,7:36.0,M. Brogdon misses 2-pt jump shot from 19 ft,,10,10
29,1,7:35.0,,Defensive rebound by D. Rose,10,10
