,QUARTER,TIME_REMAINING,PHOENIX_ACTION,CHICAGO_ACTION,PHOENIX_SCORE,CHICAGO_SCORE
0,1,11:50.0,,M. Carter-Williams misses 3-pt jump shot from 22 ft,0,0
1,1,11:49.0,Defensive rebound by E. Bledsoe,,0,0
2,1,11:45.0,E. Bledsoe makes 2-pt jump shot from 12 ft,,2,0
3,1,11:25.0,,M. Carter-Williams misses 2-pt layup from 2 ft (block by M. Chriss),2,0
4,1,11:22.0,Defensive rebound by A. Len,,2,0
5,1,11:19.0,Turnover by A. Len (bad pass; steal by D. Wade),,2,0
6,1,11:15.0,,D. Wade misses 2-pt layup from 1 ft,2,0
7,1,11:12.0,,Offensive rebound by J. Butler,2,0
8,1,11:09.0,,M. Carter-Williams misses 3-pt jump shot from 24 ft,2,0
9,1,11:08.0,Defensive rebound by M. Chriss,,2,0
10,1,11:01.0,D. Booker misses 3-pt jump shot from 25 ft,,2,0
11,1,11:00.0,,Defensive rebound by B. Portis,2,0
12,1,10:39.0,,D. Wade misses 3-pt jump shot from 25 ft,2,0
13,1,10:38.0,Defensive rebound by T. Warren,,2,0
14,1,10:24.0,A. Len makes 2-pt jump shot from 18 ft (assist by E. Bledsoe),,4,0
15,1,10:10.0,,J. Butler misses 2-pt layup from 2 ft,4,0
16,1,10:10.0,Defensive rebound by T. Warren,,4,0
17,1,9:59.0,E. Bledsoe misses 2-pt layup from 2 ft,,4,0
18,1,9:58.0,,Defensive rebound by R. Lopez,4,0
19,1,9:39.0,,J. Butler misses 3-pt jump shot from 24 ft,4,0
20,1,9:38.0,Defensive rebound by E. Bledsoe,,4,0
21,1,9:29.0,Personal foul by D. Wade (drawn by M. Chriss),,4,0
22,1,9:29.0,Turnover by E. Bledsoe (bad pass; steal by J. Butler),,4,0
23,1,9:25.0,,J. Butler makes 2-pt layup from 1 ft (assist by B. Portis),4,2
24,1,9:13.0,D. Booker makes 2-pt jump shot from 16 ft (assist by E. Bledsoe),,6,2
25,1,8:58.0,,M. Carter-Williams makes 2-pt jump shot from 7 ft (assist by D. Wade),6,4
26,1,8:39.0,M. Chriss makes 2-pt dunk at rim (assist by E. Bledsoe),,8,4
27,1,8:22.0,,R. Lopez makes 2-pt jump shot from 20 ft (assist by M. Carter-Williams),8,6
28,1,8:06.0,T. Warren misses 2-pt jump shot from 14 ft (block by D. Wade),,8,6
29,1,8:05.0,Offensive rebound by A. Len,,8,6
30,1,8:04.0,A. Len makes 2-pt jump shot from 5 ft,,10,6
31,1,7:50.0,,J. Butler misses 2-pt jump shot from 15 ft,10,6
32,1,7:49.0,Defensive rebound by A. Len,,10,6
33,1,7:48.0,Turnover by A. Len (lost ball; steal by J. Butler),,10,6
34,1,7:44.0,,B. Portis makes 2-pt layup from 2 ft (assist by J. Butler),10,8
35,1,7:33.0,D. Booker makes 2-pt dunk at rim (assist by A. Len),,12,8
36,1,7:17.0,,R. Lopez misses 2-pt jump shot from 19 ft,12,8
37,1,7:17.0,Defensive rebound by M. Chriss,,12,8
38,1,7:01.0,D. Booker misses 2-pt jump shot from 18 ft,,12,8
39,1,7:00.0,,Defensive rebound by B. Portis,12,8
40,1,6:50.0,,R. Lopez misses 2-pt jump shot from 22 ft,12,8
41,1,6:49.0,Defensive rebound by E. Bledsoe,,12,8
42,1,6:44.0,T. Warren misses 2-pt layup from 2 ft,,12,8
43,1,6:43.0,,Defensive rebound by B. Portis,12,8
44,1,6:36.0,,B. Portis misses 2-pt layup from 1 ft (block by M. Chriss),12,8
45,1,6:27.0,Defensive rebound by Team,,12,8
46,1,6:20.0,,Technical foul by B. Portis,12,8
47,1,6:06.0,M. Chriss makes 3-pt jump shot from 26 ft (assist by T. Warren),,15,8
48,1,5:43.0,,R. Lopez makes 2-pt hook shot from 5 ft,15,10
49,1,5:31.0,Turnover by M. Chriss (lost ball),,15,10
50,1,5:31.0,,Chicago full timeout,15,10
51,1,5:31.0,,D. Valentine enters the game for D. Wade,15,10
52,1,5:31.0,,R. Rondo enters the game for M. Carter-Williams,15,10
53,1,5:14.0,,B. Portis misses 2-pt jump shot from 13 ft,15,10
54,1,5:13.0,Defensive rebound by M. Chriss,,15,10
55,1,5:02.0,Personal foul by D. Valentine,,15,10
56,1,5:02.0,,N. Mirotić enters the game for B. Portis,15,10
57,1,4:56.0,T. Warren makes 2-pt jump shot from 17 ft,,17,10
58,1,4:48.0,,Personal foul by M. Chriss (drawn by J. Butler),17,10
59,1,4:36.0,,J. Butler misses 3-pt jump shot from 25 ft,17,10
60,1,4:34.0,Defensive rebound by M. Chriss,,17,10
61,1,4:26.0,D. Booker makes 2-pt jump shot from 20 ft,,19,10
