,QUARTER,TIME_REMAINING,DETROIT_ACTION,LA CLIPPERS_ACTION,DETROIT_SCORE,LA CLIPPERS_SCORE
0,1,11:38.0,A. Drummond misses 2-pt hook shot from 18 ft,,0,0
1,1,11:36.0,,Defensive rebound by B. Griffin,0,0
2,1,11:22.0,,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),0,2
3,1,11:05.0,K. Caldwell-Pope misses 2-pt jump shot from 16 ft,,0,2
4,1,11:03.0,,Defensive rebound by D. Jordan,0,2
5,1,10:52.0,,L. Mbah a Moute misses 2-pt layup from 2 ft (block by M. Morris),0,2
6,1,10:47.0,Defensive rebound by K. Caldwell-Pope,,0,2
7,1,10:45.0,A. Drummond makes 2-pt dunk at rim (assist by M. Morris),,2,2
8,1,10:29.0,,Personal foul by T. Harris (drawn by B. Griffin),2,2
9,1,10:24.0,Violation by I. Smith (def goaltending),,2,2
10,1,10:24.0,,L. Mbah a Moute makes 2-pt layup from 2 ft (assist by B. Griffin),2,4
11,1,10:12.0,T. Harris misses 3-pt jump shot from 26 ft,,2,4
12,1,10:10.0,Offensive rebound by A. Drummond,,2,4
13,1,10:03.0,A. Drummond makes 2-pt hook shot from 10 ft,,4,4
14,1,9:50.0,,J. Redick misses 2-pt jump shot from 20 ft,4,4
15,1,9:49.0,Defensive rebound by T. Harris,,4,4
16,1,9:39.0,T. Harris makes 2-pt layup from 2 ft (assist by I. Smith),,6,4
17,1,9:29.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Griffin),6,7
18,1,9:13.0,T. Harris misses 2-pt jump shot from 18 ft,,6,7
19,1,9:11.0,Offensive rebound by A. Drummond,,6,7
20,1,8:53.0,A. Drummond misses 2-pt hook shot from 11 ft,,6,7
21,1,8:49.0,,Defensive rebound by C. Paul,6,7
22,1,8:44.0,,B. Griffin makes 2-pt hook shot from 4 ft (assist by C. Paul),6,9
23,1,8:29.0,K. Caldwell-Pope misses 2-pt jump shot from 17 ft,,6,9
24,1,8:27.0,,Defensive rebound by B. Griffin,6,9
25,1,8:07.0,,C. Paul makes 2-pt jump shot from 18 ft,6,11
26,1,7:47.0,M. Morris makes 2-pt jump shot from 18 ft,,8,11
27,1,7:32.0,,J. Redick makes 2-pt jump shot from 22 ft (assist by B. Griffin),8,13
28,1,7:20.0,Detroit full timeout,,8,13
29,1,7:13.0,Turnover by A. Drummond (bad pass),,8,13
30,1,7:09.0,,D. Jordan makes 2-pt dunk from 2 ft (assist by C. Paul),8,15
31,1,6:51.0,M. Morris misses 2-pt jump shot from 15 ft,,8,15
32,1,6:49.0,,Defensive rebound by D. Jordan,8,15
33,1,6:40.0,,B. Griffin makes 2-pt jump shot from 19 ft (assist by C. Paul),8,17
34,1,6:24.0,I. Smith misses 2-pt jump shot from 17 ft,,8,17
35,1,6:22.0,,Defensive rebound by D. Jordan,8,17
36,1,6:17.0,,Personal foul by I. Smith (drawn by C. Paul),8,17
37,1,6:09.0,,B. Griffin misses 2-pt hook shot from 7 ft,8,17
38,1,6:05.0,Defensive rebound by A. Drummond,,8,17
39,1,5:56.0,T. Harris misses 3-pt jump shot from 26 ft,,8,17
