,QUARTER,TIME_REMAINING,DETROIT_ACTION,LA LAKERS_ACTION,DETROIT_SCORE,LA LAKERS_SCORE
0,1,11:49.0,Turnover by A. Drummond (bad pass),,0,0
1,1,11:28.0,,L. Deng misses 3-pt jump shot from 25 ft,0,0
2,1,11:27.0,Defensive rebound by A. Drummond,,0,0
3,1,11:18.0,T. Harris misses 2-pt jump shot from 16 ft,,0,0
4,1,11:13.0,,Defensive rebound by L. Deng,0,0
5,1,11:02.0,,N. Young misses 3-pt jump shot from 24 ft,0,0
6,1,11:00.0,Defensive rebound by R. Jackson,,0,0
7,1,10:50.0,A. Drummond misses 2-pt jump shot from 11 ft,,0,0
8,1,10:47.0,,Defensive rebound by T. Mozgov,0,0
9,1,10:30.0,,L. Deng makes 2-pt jump shot from 5 ft (assist by N. Young),0,2
10,1,10:12.0,R. Jackson misses 3-pt jump shot from 28 ft,,0,2
11,1,10:11.0,,Defensive rebound by D. Russell,0,2
12,1,9:57.0,,T. Mozgov misses 2-pt hook shot from 4 ft,0,2
13,1,9:54.0,Defensive rebound by M. Morris,,0,2
14,1,9:45.0,R. Bullock misses 3-pt jump shot from 24 ft,,0,2
15,1,9:43.0,,Defensive rebound by D. Russell,0,2
16,1,9:36.0,,D. Russell makes 2-pt layup from 1 ft,0,4
17,1,9:18.0,R. Bullock misses 2-pt jump shot from 7 ft,,0,4
18,1,9:17.0,,Defensive rebound by J. Randle,0,4
19,1,9:06.0,,J. Randle makes 2-pt dunk at rim,0,6
20,1,8:51.0,T. Harris misses 3-pt jump shot from 27 ft,,0,6
21,1,8:49.0,,Defensive rebound by T. Mozgov,0,6
22,1,8:43.0,,Personal foul by M. Morris (drawn by J. Randle),0,6
23,1,8:38.0,,Offensive foul by D. Russell (drawn by M. Morris),0,6
24,1,8:38.0,,Turnover by D. Russell (offensive foul),0,6
25,1,8:24.0,R. Jackson makes 3-pt jump shot from 24 ft (assist by T. Harris),,3,6
26,1,8:04.0,,D. Russell misses 3-pt jump shot from 26 ft,3,6
27,1,8:02.0,,Offensive rebound by N. Young,3,6
28,1,8:00.0,,Shooting foul by R. Jackson (drawn by N. Young),3,6
29,1,8:00.0,,N. Young makes free throw 1 of 3,3,7
30,1,8:00.0,,N. Young makes free throw 2 of 3,3,8
31,1,8:00.0,,N. Young makes free throw 3 of 3,3,9
32,1,7:49.0,M. Morris misses 3-pt jump shot from 25 ft,,3,9
33,1,7:47.0,,Defensive rebound by J. Randle,3,9
34,1,7:41.0,,T. Mozgov makes 2-pt jump shot from 15 ft (assist by J. Randle),3,11
35,1,7:34.0,Detroit full timeout,,3,11
36,1,7:26.0,Def 3 sec tech foul by T. Mozgov,,3,11
37,1,7:26.0,T. Harris makes technical free throw,,4,11
38,1,7:18.0,R. Jackson misses 2-pt jump shot from 10 ft,,4,11
39,1,7:14.0,Offensive rebound by A. Drummond,,4,11
40,1,7:14.0,A. Drummond misses 2-pt layup from 1 ft,,4,11
41,1,7:11.0,,Defensive rebound by D. Russell,4,11
42,1,7:02.0,,T. Mozgov makes 2-pt jump shot from 4 ft,4,13
43,1,6:44.0,A. Drummond misses 2-pt hook shot from 10 ft,,4,13
44,1,6:40.0,,Defensive rebound by L. Deng,4,13
45,1,6:28.0,,D. Russell makes 2-pt jump shot from 15 ft,4,15
46,1,6:05.0,A. Drummond misses 2-pt hook shot from 5 ft,,4,15
47,1,6:02.0,,Defensive rebound by D. Russell,4,15
48,1,5:39.0,,J. Randle misses 2-pt jump shot from 10 ft,4,15
49,1,5:37.0,Defensive rebound by A. Drummond,,4,15
50,1,5:28.0,Turnover by A. Drummond (bad pass; steal by D. Russell),,4,15
51,1,5:22.0,,N. Young makes 3-pt jump shot from 28 ft (assist by D. Russell),4,18
52,1,5:02.0,M. Morris makes 2-pt jump shot from 20 ft (assist by R. Jackson),,6,18
53,1,4:58.0,,LA Lakers full timeout,6,18
54,1,4:58.0,S. Johnson enters the game for R. Bullock,,6,18
55,1,4:58.0,A. Baynes enters the game for A. Drummond,,6,18
56,1,4:51.0,,N. Young misses 3-pt jump shot from 25 ft,6,18
57,1,4:51.0,Defensive rebound by Team,,6,18
58,1,4:32.0,T. Harris misses 2-pt jump shot from 15 ft,,6,18
59,1,4:29.0,,Defensive rebound by L. Deng,6,18
60,1,4:25.0,,Personal foul by A. Baynes (drawn by T. Mozgov),6,18
61,1,4:25.0,,T. Black enters the game for T. Mozgov,6,18
62,1,4:25.0,,B. Ingram enters the game for L. Deng,6,18
63,1,4:25.0,,J. Clarkson enters the game for N. Young,6,18
64,1,4:16.0,,D. Russell misses 2-pt jump shot from 12 ft,6,18
65,1,4:13.0,Defensive rebound by S. Johnson,,6,18
66,1,4:05.0,M. Morris makes 3-pt jump shot from 24 ft (assist by S. Johnson),,9,18
67,1,3:43.0,,Turnover by J. Randle (lost ball),9,18
68,1,3:32.0,R. Jackson makes 2-pt layup from 2 ft,,11,18
69,1,3:14.0,,D. Russell makes 2-pt layup from 3 ft (assist by J. Randle),11,20
70,1,2:57.0,R. Jackson misses 2-pt layup from 3 ft,,11,20
71,1,2:51.0,,Defensive rebound by B. Ingram,11,20
72,1,2:51.0,,B. Ingram makes 2-pt jump shot from 11 ft,11,22
73,1,2:51.0,,Shooting block foul by R. Jackson (drawn by B. Ingram),11,22
74,1,2:51.0,,L. Williams enters the game for D. Russell,11,22
75,1,2:51.0,I. Smith enters the game for M. Morris,,11,22
76,1,2:51.0,R. Bullock enters the game for R. Jackson,,11,22
77,1,2:51.0,,B. Ingram makes free throw 1 of 1,11,23
78,1,2:41.0,,Violation by L. Williams (kicked ball),11,23
79,1,2:33.0,A. Baynes misses 2-pt jump shot from 2 ft,,11,23
80,1,2:31.0,Offensive rebound by T. Harris,,11,23
81,1,2:31.0,T. Harris misses 2-pt dunk from 2 ft,,11,23
82,1,2:31.0,Offensive rebound by T. Harris,,11,23
83,1,2:31.0,T. Harris makes 2-pt layup from 2 ft,,13,23
84,1,2:31.0,Shooting foul by T. Black (drawn by T. Harris),,13,23
85,1,2:31.0,T. Harris makes free throw 1 of 1,,14,23
86,1,2:15.0,,J. Clarkson makes 2-pt jump shot from 19 ft (assist by L. Williams),14,25
87,1,2:03.0,R. Bullock misses 3-pt jump shot from 24 ft,,14,25
88,1,2:00.0,,Defensive rebound by J. Randle,14,25
89,1,1:49.0,,J. Randle misses 2-pt layup from 3 ft (block by A. Baynes),14,25
90,1,1:47.0,Defensive rebound by A. Baynes,,14,25
91,1,1:41.0,T. Harris makes 2-pt dunk at rim (assist by I. Smith),,16,25
92,1,1:33.0,,Technical foul by J. Randle,16,25
93,1,1:33.0,T. Harris makes technical free throw,,17,25
94,1,1:33.0,,L. Deng enters the game for J. Randle,17,25
95,1,1:23.0,,B. Ingram misses 2-pt layup from 2 ft (block by T. Harris),17,25
96,1,1:19.0,Defensive rebound by S. Johnson,,17,25
97,1,1:17.0,R. Bullock makes 2-pt layup from 1 ft (assist by S. Johnson),,19,25
98,1,1:04.0,,Shooting block foul by A. Baynes (drawn by J. Clarkson),19,25
99,1,1:04.0,,J. Clarkson makes 2-pt layup from 1 ft (assist by L. Williams),19,27
100,1,1:04.0,,J. Clarkson makes free throw 1 of 1,19,28
101,1,0:53.0,S. Johnson misses 3-pt jump shot from 26 ft,,19,28
102,1,0:51.0,,Defensive rebound by T. Black,19,28
103,1,0:45.0,,L. Williams makes 3-pt jump shot from 27 ft,19,31
104,1,0:37.0,Personal foul by J. Clarkson (drawn by R. Bullock),,19,31
105,1,0:21.0,S. Johnson makes 2-pt jump shot from 13 ft (assist by I. Smith),,21,31
106,1,0:04.0,,Turnover by L. Williams (lost ball; steal by I. Smith),21,31
107,1,0:01.0,T. Harris makes 2-pt dunk at rim (assist by I. Smith),,23,31
108,2,11:50.0,,Def 3 sec tech foul by M. Morris,23,31
109,2,11:50.0,,L. Williams misses technical free throw,23,31
110,2,11:50.0,,Offensive rebound by Team,23,31
111,2,11:38.0,,B. Ingram misses 2-pt jump shot from 17 ft,23,31
112,2,11:33.0,,Offensive rebound by L. Deng,23,31
113,2,11:23.0,,T. Black makes 2-pt hook shot from 8 ft,23,33
114,2,11:04.0,M. Morris makes 2-pt jump shot from 13 ft,,25,33
115,2,10:46.0,,T. Black makes 2-pt layup from 2 ft (assist by L. Williams),25,35
116,2,10:46.0,,Shooting foul by R. Bullock (drawn by T. Black),25,35
117,2,10:46.0,,T. Black makes free throw 1 of 1,25,36
118,2,10:29.0,R. Bullock makes 2-pt layup from 1 ft (assist by M. Morris),,27,36
119,2,10:17.0,,L. Williams makes 2-pt jump shot from 10 ft (assist by B. Ingram),27,38
120,2,10:01.0,A. Baynes makes 2-pt jump shot from 17 ft (assist by R. Bullock),,29,38
121,2,9:38.0,,B. Ingram misses 2-pt jump shot from 4 ft,29,38
122,2,9:36.0,Defensive rebound by M. Morris,,29,38
123,2,9:24.0,A. Baynes makes 2-pt jump shot from 15 ft (assist by S. Johnson),,31,38
124,2,9:10.0,,Personal foul by A. Baynes,31,38
125,2,9:10.0,A. Drummond enters the game for A. Baynes,,31,38
126,2,9:02.0,,L. Deng misses 3-pt jump shot from 24 ft,31,38
127,2,9:01.0,Defensive rebound by M. Morris,,31,38
128,2,8:38.0,I. Smith misses 2-pt layup from 1 ft (block by B. Ingram),,31,38
129,2,8:37.0,Offensive rebound by A. Drummond,,31,38
130,2,8:37.0,A. Drummond misses 2-pt layup from 1 ft,,31,38
131,2,8:36.0,,Defensive rebound by L. Williams,31,38
132,2,8:35.0,,L. Deng misses 2-pt layup from 2 ft,31,38
133,2,8:33.0,,Offensive rebound by B. Ingram,31,38
134,2,8:33.0,,B. Ingram misses 2-pt layup from 1 ft,31,38
135,2,8:32.0,Defensive rebound by R. Bullock,,31,38
136,2,8:27.0,Shooting foul by T. Black (drawn by A. Drummond),,31,38
137,2,8:27.0,Official timeout,,31,38
138,2,8:27.0,A. Drummond misses free throw 1 of 2,,31,38
139,2,8:27.0,Offensive rebound by Team,,31,38
140,2,8:27.0,R. Jackson enters the game for I. Smith,,31,38
141,2,8:27.0,A. Drummond makes free throw 2 of 2,,32,38
142,2,8:11.0,,J. Clarkson misses 2-pt jump shot from 17 ft,32,38
143,2,8:07.0,Defensive rebound by A. Drummond,,32,38
144,2,7:54.0,M. Morris misses 2-pt jump shot from 16 ft,,32,38
145,2,7:52.0,,Defensive rebound by J. Clarkson,32,38
146,2,7:48.0,,J. Clarkson makes 2-pt layup from 1 ft,32,40
147,2,7:28.0,A. Drummond misses 2-pt hook shot from 9 ft,,32,40
148,2,7:24.0,,Defensive rebound by J. Clarkson,32,40
149,2,7:20.0,,J. Clarkson misses 3-pt jump shot from 25 ft,32,40
150,2,7:19.0,Defensive rebound by S. Johnson,,32,40
151,2,7:08.0,M. Morris makes 3-pt jump shot from 25 ft (assist by R. Jackson),,35,40
152,2,6:46.0,,Shooting foul by A. Drummond (drawn by T. Black),35,40
153,2,6:46.0,,T. Black misses free throw 1 of 2,35,40
154,2,6:46.0,,Offensive rebound by Team,35,40
155,2,6:46.0,T. Harris enters the game for R. Bullock,,35,40
156,2,6:46.0,,N. Young enters the game for B. Ingram,35,40
157,2,6:46.0,,T. Black makes free throw 2 of 2,35,41
158,2,6:34.0,R. Jackson misses 2-pt jump shot from 16 ft,,35,41
159,2,6:30.0,,Defensive rebound by T. Black,35,41
160,2,6:26.0,,T. Mozgov enters the game for T. Black,35,41
161,2,6:17.0,,Personal foul by A. Drummond (drawn by T. Mozgov),35,41
162,2,6:09.0,,Shooting foul by R. Jackson (drawn by L. Williams),35,41
163,2,6:09.0,,L. Williams makes free throw 1 of 3,35,42
164,2,6:09.0,Technical foul by R. Jackson,,35,42
165,2,6:09.0,,J. Clarkson makes technical free throw,35,43
166,2,6:09.0,,L. Williams makes free throw 2 of 3,35,44
167,2,6:09.0,I. Smith enters the game for R. Jackson,,35,44
168,2,6:09.0,,L. Williams makes free throw 3 of 3,35,45
169,2,5:57.0,M. Morris makes 3-pt jump shot from 27 ft (assist by A. Drummond),,38,45
170,2,5:39.0,,Turnover by J. Clarkson (bad pass; steal by I. Smith),38,45
171,2,5:35.0,Personal foul by N. Young (drawn by I. Smith),,38,45
172,2,5:35.0,,LA Lakers full timeout,38,45
173,2,5:35.0,,D. Russell enters the game for L. Deng,38,45
174,2,5:35.0,,J. Randle enters the game for J. Clarkson,38,45
175,2,5:22.0,I. Smith misses 3-pt jump shot from 26 ft,,38,45
176,2,5:21.0,,Defensive rebound by N. Young,38,45
177,2,5:05.0,,L. Williams makes 3-pt jump shot from 25 ft (assist by D. Russell),38,48
178,2,5:05.0,,Shooting foul by I. Smith (drawn by L. Williams),38,48
179,2,5:05.0,,L. Williams makes free throw 1 of 1,38,49
