,QUARTER,TIME_REMAINING,INDIANA_ACTION,CHARLOTTE_ACTION,INDIANA_SCORE,CHARLOTTE_SCORE
0,1,11:47.0,,K. Walker makes 2-pt jump shot from 6 ft,0,2
1,1,11:33.0,P. George misses 3-pt jump shot from 25 ft,,0,2
2,1,11:31.0,,Defensive rebound by M. Williams,0,2
3,1,11:20.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 9 ft (assist by C. Zeller),0,4
4,1,11:08.0,P. George makes 2-pt jump shot from 16 ft (assist by J. Teague),,2,4
5,1,10:51.0,,N. Batum misses 3-pt jump shot from 24 ft,2,4
6,1,10:50.0,Defensive rebound by M. Turner,,2,4
7,1,10:39.0,T. Young misses 2-pt layup from 2 ft,,2,4
8,1,10:38.0,,Defensive rebound by M. Kidd-Gilchrist,2,4
9,1,10:27.0,,Turnover by M. Kidd-Gilchrist (bad pass),2,4
10,1,10:14.0,C. Miles misses 2-pt jump shot from 19 ft,,2,4
11,1,10:13.0,,Defensive rebound by C. Zeller,2,4
12,1,10:03.0,,K. Walker misses 2-pt layup at rim,2,4
13,1,10:02.0,,Offensive rebound by C. Zeller,2,4
14,1,9:58.0,,K. Walker misses 3-pt jump shot from 23 ft,2,4
15,1,9:57.0,Defensive rebound by P. George,,2,4
16,1,9:48.0,Turnover by P. George (lost ball; steal by M. Kidd-Gilchrist),,2,4
17,1,9:41.0,,K. Walker makes 3-pt jump shot from 23 ft (assist by N. Batum),2,7
18,1,9:16.0,C. Miles makes 3-pt jump shot from 23 ft (assist by P. George),,5,7
19,1,8:46.0,,K. Walker misses 3-pt jump shot from 25 ft,5,7
20,1,8:45.0,Defensive rebound by M. Turner,,5,7
21,1,8:37.0,Turnover by J. Teague (traveling),,5,7
22,1,8:23.0,,C. Zeller misses 2-pt dunk at rim (block by M. Turner),5,7
23,1,8:22.0,Defensive rebound by J. Teague,,5,7
24,1,8:19.0,,Violation by M. Kidd-Gilchrist (kicked ball),5,7
25,1,8:11.0,P. George makes 2-pt layup from 2 ft (assist by T. Young),,7,7
26,1,7:56.0,,N. Batum misses 3-pt jump shot from 24 ft,7,7
27,1,7:55.0,Defensive rebound by T. Young,,7,7
28,1,7:43.0,M. Turner makes 2-pt jump shot from 18 ft (assist by T. Young),,9,7
29,1,7:16.0,,K. Walker misses 2-pt jump shot from 16 ft,9,7
30,1,7:16.0,,Offensive rebound by Team,9,7
31,1,7:16.0,,Turnover by Team (shot clock),9,7
32,1,6:58.0,J. Teague misses 2-pt jump shot from 17 ft,,9,7
