,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PHILADELPHIA_ACTION,ATLANTA_SCORE,PHILADELPHIA_SCORE
0,1,11:48.0,,J. Embiid makes 3-pt jump shot from 26 ft,0,3
1,1,11:29.0,Turnover by K. Bazemore (bad pass; steal by R. Covington),,0,3
2,1,11:24.0,,Turnover by S. Rodríguez (bad pass; steal by K. Bazemore),0,3
3,1,11:18.0,Turnover by K. Bazemore (bad pass; steal by R. Covington),,0,3
4,1,11:13.0,,J. Embiid makes 2-pt layup from 1 ft (assist by R. Covington),0,5
5,1,10:56.0,D. Schröder misses 2-pt jump shot from 4 ft,,0,5
6,1,10:53.0,Offensive rebound by D. Howard,,0,5
7,1,10:52.0,D. Howard misses 2-pt layup from 2 ft,,0,5
8,1,10:50.0,Offensive rebound by D. Howard,,0,5
9,1,10:50.0,D. Howard misses 2-pt layup from 2 ft,,0,5
10,1,10:48.0,,Defensive rebound by G. Henderson,0,5
11,1,10:45.0,,R. Covington misses 3-pt jump shot from 24 ft,0,5
12,1,10:43.0,Defensive rebound by P. Millsap,,0,5
13,1,10:28.0,P. Millsap misses 2-pt jump shot from 4 ft,,0,5
14,1,10:28.0,,Defensive rebound by Team,0,5
15,1,10:28.0,Loose ball foul by D. Howard (drawn by R. Covington),,0,5
16,1,10:18.0,,S. Rodríguez misses 2-pt layup from 1 ft,0,5
17,1,10:16.0,Defensive rebound by D. Schröder,,0,5
18,1,10:04.0,Personal foul by S. Rodríguez (drawn by D. Schröder),,0,5
19,1,9:59.0,K. Korver misses 2-pt jump shot from 17 ft,,0,5
20,1,9:58.0,,Defensive rebound by R. Covington,0,5
21,1,9:49.0,,D. Šarić makes 3-pt jump shot from 27 ft,0,8
22,1,9:41.0,Atlanta full timeout,,0,8
23,1,9:37.0,K. Bazemore misses 2-pt jump shot from 15 ft,,0,8
24,1,9:35.0,,Defensive rebound by S. Rodríguez,0,8
25,1,9:21.0,,G. Henderson misses 2-pt jump shot from 14 ft,0,8
26,1,9:19.0,Defensive rebound by D. Schröder,,0,8
27,1,9:11.0,D. Schröder makes 2-pt jump shot from 3 ft,,2,8
28,1,8:56.0,,J. Embiid misses 2-pt jump shot from 15 ft,2,8
29,1,8:54.0,Defensive rebound by P. Millsap,,2,8
30,1,8:52.0,Personal foul by J. Embiid (drawn by D. Howard),,2,8
31,1,8:41.0,K. Bazemore misses 3-pt jump shot from 23 ft,,2,8
32,1,8:40.0,,Defensive rebound by S. Rodríguez,2,8
33,1,8:27.0,,R. Covington misses 3-pt jump shot from 25 ft,2,8
34,1,8:25.0,Defensive rebound by D. Howard,,2,8
35,1,8:17.0,D. Schröder misses 2-pt jump shot from 10 ft,,2,8
36,1,8:16.0,Offensive rebound by Team,,2,8
37,1,8:16.0,,J. Okafor enters the game for J. Embiid,2,8
38,1,8:09.0,K. Bazemore misses 3-pt jump shot from 25 ft,,2,8
39,1,8:08.0,Offensive rebound by D. Howard,,2,8
40,1,8:04.0,K. Korver makes 2-pt jump shot from 17 ft (assist by P. Millsap),,4,8
41,1,7:42.0,,G. Henderson misses 2-pt hook shot from 9 ft,4,8
42,1,7:42.0,,Offensive rebound by Team,4,8
43,1,7:42.0,Loose ball foul by P. Millsap (drawn by D. Šarić),,4,8
44,1,7:32.0,,D. Šarić misses 2-pt hook shot from 1 ft,4,8
45,1,7:31.0,Defensive rebound by D. Howard,,4,8
46,1,7:23.0,K. Korver makes 3-pt jump shot from 24 ft (assist by D. Schröder),,7,8
47,1,7:12.0,,Turnover by R. Covington (lost ball; steal by D. Schröder),7,8
48,1,7:03.0,K. Bazemore makes 2-pt jump shot from 17 ft (assist by D. Schröder),,9,8
49,1,6:42.0,,J. Okafor makes 2-pt layup from 2 ft (assist by D. Šarić),9,10
50,1,6:27.0,K. Korver makes 2-pt jump shot from 20 ft (assist by D. Schröder),,11,10
51,1,6:14.0,,D. Šarić misses 2-pt jump shot from 20 ft,11,10
52,1,6:13.0,Defensive rebound by K. Bazemore,,11,10
53,1,6:08.0,P. Millsap makes 2-pt layup from 1 ft (assist by K. Bazemore),,13,10
54,1,5:49.0,,D. Šarić makes 2-pt hook shot from 3 ft (assist by J. Okafor),13,12
55,1,5:37.0,Turnover by P. Millsap (lost ball; steal by R. Covington),,13,12
56,1,5:31.0,,S. Rodríguez makes 2-pt jump shot from 8 ft,13,14
57,1,5:11.0,P. Millsap makes 2-pt jump shot from 9 ft,,15,14
58,1,4:49.0,,D. Šarić misses 2-pt jump shot from 19 ft,15,14
59,1,4:49.0,Defensive rebound by Team,,15,14
60,1,4:49.0,M. Muscala enters the game for P. Millsap,,15,14
61,1,4:49.0,,N. Stauskas enters the game for G. Henderson,15,14
62,1,4:41.0,Personal foul by J. Okafor (drawn by D. Howard),,15,14
63,1,4:41.0,,J. Grant enters the game for D. Šarić,15,14
64,1,4:41.0,T. Hardaway enters the game for K. Bazemore,,15,14
65,1,4:35.0,Personal foul by R. Covington (drawn by K. Korver),,15,14
66,1,4:25.0,M. Muscala makes 2-pt layup from 3 ft (assist by D. Schröder),,17,14
67,1,4:08.0,,J. Grant misses 2-pt jump shot from 18 ft,17,14
68,1,4:06.0,,Offensive rebound by S. Rodríguez,17,14
69,1,4:00.0,,N. Stauskas makes 3-pt jump shot from 24 ft (assist by S. Rodríguez),17,17
70,1,3:47.0,M. Muscala makes 2-pt jump shot from 16 ft (assist by D. Schröder),,19,17
71,1,3:46.0,,Philadelphia full timeout,19,17
72,1,3:46.0,,R. Holmes enters the game for S. Rodríguez,19,17
73,1,3:46.0,,T. McConnell enters the game for J. Okafor,19,17
74,1,3:46.0,M. Delaney enters the game for D. Howard,,19,17
