,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,SACRAMENTO_ACTION,GOLDEN STATE_SCORE,SACRAMENTO_SCORE
0,1,11:43.0,K. Durant misses 3-pt jump shot from 23 ft,,0,0
1,1,11:41.0,,Defensive rebound by K. Koufos,0,0
2,1,11:18.0,,D. Collison makes 2-pt jump shot from 13 ft,0,2
3,1,11:04.0,S. Curry misses 2-pt jump shot from 20 ft,,0,2
4,1,11:03.0,,Defensive rebound by K. Koufos,0,2
5,1,10:48.0,,D. Cousins misses 3-pt jump shot from 24 ft,0,2
6,1,10:46.0,Defensive rebound by D. Green,,0,2
7,1,10:42.0,Turnover by D. Green (bad pass),,0,2
8,1,10:34.0,,Shooting foul by J. McGee (drawn by D. Cousins),0,2
9,1,10:34.0,,D. Cousins makes free throw 1 of 2,0,3
10,1,10:34.0,,D. Cousins makes free throw 2 of 2,0,4
11,1,10:20.0,K. Thompson misses 2-pt jump shot from 13 ft,,0,4
12,1,10:19.0,,Defensive rebound by D. Cousins,0,4
13,1,10:14.0,,D. Collison makes 2-pt layup from 2 ft (assist by D. Cousins),0,6
14,1,9:58.0,J. McGee makes 2-pt dunk at rim (assist by D. Green),,2,6
15,1,9:58.0,Shooting foul by B. McLemore (drawn by J. McGee),,2,6
16,1,9:58.0,J. McGee makes free throw 1 of 1,,3,6
17,1,9:50.0,,Turnover by D. Cousins (bad pass),3,6
18,1,9:39.0,D. Green makes 3-pt jump shot from 25 ft (assist by S. Curry),,6,6
19,1,9:38.0,Violation by Team (jump ball),,6,6
20,1,9:29.0,,Turnover by D. Cousins (bad pass; steal by S. Curry),6,6
21,1,9:24.0,S. Curry makes 3-pt jump shot from 26 ft,,9,6
22,1,9:01.0,,D. Cousins misses 3-pt jump shot from 25 ft,9,6
23,1,9:00.0,,Offensive rebound by B. McLemore,9,6
24,1,8:58.0,,D. Collison misses 3-pt jump shot from 25 ft,9,6
25,1,8:57.0,Defensive rebound by D. Green,,9,6
26,1,8:49.0,S. Curry makes 2-pt jump shot from 20 ft,,11,6
27,1,8:33.0,,D. Cousins makes 2-pt layup from 2 ft,11,8
28,1,8:25.0,S. Curry misses 3-pt jump shot from 26 ft,,11,8
29,1,8:24.0,,Defensive rebound by K. Koufos,11,8
30,1,8:14.0,,B. McLemore misses 3-pt jump shot from 24 ft,11,8
31,1,8:13.0,Defensive rebound by S. Curry,,11,8
32,1,8:09.0,K. Thompson makes 2-pt layup from 3 ft (assist by S. Curry),,13,8
33,1,7:44.0,,Turnover by D. Cousins (traveling),13,8
34,1,7:33.0,Shooting foul by D. Collison (drawn by D. Green),,13,8
35,1,7:33.0,D. Green misses free throw 1 of 2,,13,8
36,1,7:33.0,Offensive rebound by Team,,13,8
37,1,7:33.0,D. Green misses free throw 2 of 2,,13,8
38,1,7:33.0,,Defensive rebound by K. Koufos,13,8
39,1,7:17.0,,K. Koufos makes 2-pt jump shot from 9 ft (assist by B. McLemore),13,10
40,1,6:55.0,K. Thompson misses 3-pt jump shot from 23 ft,,13,10
41,1,6:54.0,,Defensive rebound by D. Cousins,13,10
42,1,6:48.0,,B. McLemore misses 3-pt jump shot from 25 ft,13,10
43,1,6:47.0,,Offensive rebound by D. Cousins,13,10
44,1,6:46.0,,D. Cousins makes 2-pt layup from 2 ft,13,12
45,1,6:31.0,D. Green misses 2-pt jump shot from 3 ft,,13,12
46,1,6:30.0,,Defensive rebound by D. Cousins,13,12
47,1,6:21.0,,D. Collison makes 2-pt layup from 2 ft,13,14
48,1,6:10.0,D. Green makes 3-pt jump shot from 26 ft (assist by S. Curry),,16,14
49,1,5:48.0,,Shooting foul by K. Thompson (drawn by B. McLemore),16,14
50,1,5:48.0,,Sacramento full timeout,16,14
51,1,5:48.0,,B. McLemore misses free throw 1 of 2,16,14
52,1,5:48.0,,Offensive rebound by Team,16,14
53,1,5:48.0,,B. McLemore makes free throw 2 of 2,16,15
54,1,5:37.0,Personal foul by D. Cousins (drawn by D. Green),,16,15
55,1,5:30.0,J. McGee misses 2-pt dunk at rim,,16,15
56,1,5:29.0,Offensive rebound by K. Thompson,,16,15
57,1,5:25.0,K. Thompson makes 3-pt jump shot from 23 ft,,19,15
58,1,5:09.0,,D. Collison misses 3-pt jump shot from 23 ft,19,15
59,1,5:07.0,Defensive rebound by J. McGee,,19,15
60,1,4:57.0,K. Thompson misses 2-pt jump shot from 4 ft,,19,15
61,1,4:56.0,Offensive rebound by J. McGee,,19,15
62,1,4:48.0,K. Durant misses 3-pt jump shot from 25 ft,,19,15
63,1,4:47.0,Offensive rebound by D. Green,,19,15
64,1,4:40.0,J. McGee misses 2-pt jump shot from 6 ft,,19,15
65,1,4:39.0,,Defensive rebound by D. Cousins,19,15
66,1,4:24.0,,A. Afflalo misses 2-pt jump shot from 20 ft,19,15
67,1,4:22.0,Defensive rebound by K. Durant,,19,15
68,1,4:12.0,Shooting foul by D. Collison (drawn by S. Curry),,19,15
69,1,4:12.0,S. Curry misses free throw 1 of 2,,19,15
70,1,4:12.0,Offensive rebound by Team,,19,15
71,1,4:12.0,,T. Lawson enters the game for D. Collison,19,15
72,1,4:12.0,,A. Tolliver enters the game for K. Koufos,19,15
73,1,4:12.0,K. Looney enters the game for D. Green,,19,15
74,1,4:12.0,A. Iguodala enters the game for J. McGee,,19,15
75,1,4:12.0,S. Curry makes free throw 2 of 2,,20,15
