,QUARTER,TIME_REMAINING,DENVER_ACTION,ATLANTA_ACTION,DENVER_SCORE,ATLANTA_SCORE
0,1,11:48.0,Personal foul by D. Howard (drawn by N. Jokić),,0,0
1,1,11:36.0,N. Jokić misses 2-pt jump shot from 16 ft,,0,0
2,1,11:35.0,Offensive rebound by Team,,0,0
3,1,11:35.0,,Loose ball foul by K. Bazemore (drawn by W. Chandler),0,0
4,1,11:29.0,Turnover by G. Harris (bad pass; steal by K. Bazemore),,0,0
5,1,11:20.0,,K. Bazemore makes 3-pt jump shot from 24 ft (assist by T. Hardaway),0,3
6,1,11:06.0,Turnover by W. Chandler (bad pass; steal by T. Hardaway),,0,3
7,1,10:52.0,,K. Bazemore makes 3-pt jump shot from 24 ft (assist by P. Millsap),0,6
8,1,10:41.0,W. Chandler misses 3-pt jump shot from 25 ft,,0,6
9,1,10:40.0,,Defensive rebound by Team,0,6
10,1,10:24.0,,D. Howard misses 2-pt hook shot from 6 ft,0,6
11,1,10:21.0,Defensive rebound by W. Chandler,,0,6
12,1,10:10.0,N. Jokić misses 3-pt jump shot from 24 ft,,0,6
13,1,10:08.0,,Defensive rebound by P. Millsap,0,6
14,1,10:00.0,,P. Millsap misses 2-pt layup at rim,0,6
15,1,9:58.0,Defensive rebound by W. Chandler,,0,6
16,1,9:52.0,N. Jokić makes 2-pt jump shot from 5 ft (assist by K. Faried),,2,6
17,1,9:38.0,,D. Schröder makes 2-pt jump shot from 19 ft,2,8
18,1,9:21.0,W. Chandler makes 2-pt dunk at rim (assist by G. Harris),,4,8
19,1,9:03.0,,D. Schröder makes 2-pt jump shot from 18 ft,4,10
20,1,8:43.0,W. Chandler makes 2-pt jump shot from 12 ft,,6,10
21,1,8:43.0,Shooting foul by K. Bazemore (drawn by W. Chandler),,6,10
22,1,8:43.0,W. Chandler makes free throw 1 of 1,,7,10
23,1,8:32.0,,K. Bazemore misses 2-pt jump shot from 8 ft,7,10
24,1,8:31.0,,Offensive rebound by D. Howard,7,10
25,1,8:31.0,,D. Howard misses 2-pt layup from 2 ft,7,10
26,1,8:29.0,Defensive rebound by N. Jokić,,7,10
27,1,8:23.0,Turnover by J. Nelson (bad pass; steal by D. Schröder),,7,10
28,1,8:16.0,,K. Bazemore misses 2-pt jump shot from 21 ft,7,10
29,1,8:14.0,,Offensive rebound by D. Howard,7,10
30,1,8:14.0,,Shooting foul by K. Faried (drawn by D. Howard),7,10
31,1,8:14.0,,D. Howard misses free throw 1 of 2,7,10
32,1,8:14.0,,Offensive rebound by Team,7,10
33,1,8:14.0,,D. Howard makes free throw 2 of 2,7,11
34,1,8:02.0,G. Harris misses 3-pt jump shot from 25 ft,,7,11
35,1,7:59.0,,Defensive rebound by D. Schröder,7,11
36,1,7:46.0,,D. Howard makes 2-pt dunk at rim (assist by P. Millsap),7,13
37,1,7:23.0,K. Faried misses 2-pt jump shot from 5 ft,,7,13
38,1,7:22.0,Offensive rebound by N. Jokić,,7,13
39,1,7:22.0,N. Jokić misses 2-pt layup from 1 ft,,7,13
40,1,7:20.0,Offensive rebound by N. Jokić,,7,13
41,1,7:20.0,N. Jokić makes 2-pt layup at rim,,9,13
42,1,7:01.0,,D. Howard makes 2-pt dunk at rim (assist by K. Bazemore),9,15
43,1,6:48.0,G. Harris misses 3-pt jump shot from 23 ft,,9,15
44,1,6:47.0,Offensive rebound by K. Faried,,9,15
45,1,6:42.0,K. Faried misses 2-pt jump shot from 9 ft,,9,15
46,1,6:39.0,Offensive rebound by N. Jokić,,9,15
47,1,6:39.0,N. Jokić misses 2-pt layup at rim,,9,15
48,1,6:38.0,Offensive rebound by N. Jokić,,9,15
49,1,6:38.0,N. Jokić misses 2-pt layup from 1 ft,,9,15
50,1,6:37.0,Offensive rebound by N. Jokić,,9,15
51,1,6:37.0,N. Jokić makes 2-pt layup from 1 ft,,11,15
52,1,6:23.0,,T. Hardaway misses 2-pt jump shot from 12 ft,11,15
53,1,6:20.0,,Offensive rebound by T. Hardaway,11,15
54,1,6:18.0,,P. Millsap makes 3-pt jump shot from 23 ft (assist by T. Hardaway),11,18
55,1,6:07.0,G. Harris misses 2-pt layup at rim,,11,18
56,1,6:04.0,Offensive rebound by W. Chandler,,11,18
57,1,6:04.0,W. Chandler makes 2-pt layup from 1 ft,,13,18
58,1,6:04.0,,Atlanta full timeout,13,18
59,1,6:04.0,,D. Bembry enters the game for K. Bazemore,13,18
60,1,6:04.0,W. Barton enters the game for K. Faried,,13,18
61,1,6:04.0,,Violation by Team (jump ball),13,18
62,1,5:45.0,,P. Millsap makes 2-pt jump shot from 7 ft,13,20
63,1,5:33.0,W. Barton misses 3-pt jump shot from 26 ft,,13,20
64,1,5:29.0,Offensive rebound by N. Jokić,,13,20
65,1,5:22.0,W. Chandler makes 3-pt jump shot from 26 ft (assist by J. Nelson),,16,20
