,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MINNESOTA_ACTION,SAN ANTONIO_SCORE,MINNESOTA_SCORE
0,1,11:46.0,L. Aldridge misses 2-pt jump shot from 21 ft,,0,0
1,1,11:45.0,,Defensive rebound by K. Towns,0,0
2,1,11:23.0,,R. Rubio makes 2-pt jump shot from 14 ft,0,2
3,1,10:56.0,L. Aldridge misses 3-pt jump shot from 23 ft,,0,2
4,1,10:55.0,,Defensive rebound by G. Dieng,0,2
5,1,10:42.0,,K. Towns misses 2-pt hook shot from 8 ft,0,2
6,1,10:41.0,Defensive rebound by L. Aldridge,,0,2
7,1,10:27.0,P. Gasol misses 2-pt hook shot from 8 ft,,0,2
8,1,10:25.0,,Defensive rebound by R. Rubio,0,2
9,1,10:21.0,,A. Wiggins misses 2-pt jump shot from 20 ft,0,2
10,1,10:20.0,Defensive rebound by D. Green,,0,2
11,1,10:10.0,N. Laprovíttola misses 3-pt jump shot from 25 ft (block by R. Rubio),,0,2
12,1,10:09.0,,Defensive rebound by Z. LaVine,0,2
13,1,10:01.0,,K. Towns makes 3-pt jump shot from 24 ft (assist by Z. LaVine),0,5
14,1,9:47.0,P. Gasol misses 2-pt jump shot from 7 ft (block by K. Towns),,0,5
15,1,9:46.0,Offensive rebound by Team,,0,5
16,1,9:36.0,K. Leonard misses 2-pt jump shot from 13 ft,,0,5
17,1,9:35.0,,Defensive rebound by A. Wiggins,0,5
18,1,9:29.0,,Z. LaVine makes 3-pt jump shot from 24 ft (assist by A. Wiggins),0,8
19,1,9:11.0,Shooting foul by K. Towns (drawn by P. Gasol),,0,8
20,1,9:11.0,P. Gasol misses free throw 1 of 2,,0,8
21,1,9:11.0,Offensive rebound by Team,,0,8
22,1,9:11.0,P. Gasol makes free throw 2 of 2,,1,8
23,1,9:07.0,,A. Wiggins makes 2-pt dunk from 2 ft (assist by R. Rubio),1,10
24,1,8:41.0,N. Laprovíttola makes 2-pt jump shot from 11 ft,,3,10
25,1,8:26.0,,K. Towns makes 2-pt jump shot from 12 ft (assist by Z. LaVine),3,12
26,1,8:03.0,D. Green misses 3-pt jump shot from 23 ft,,3,12
27,1,8:02.0,,Defensive rebound by K. Towns,3,12
28,1,7:52.0,,R. Rubio misses 3-pt jump shot from 24 ft,3,12
29,1,7:51.0,Defensive rebound by P. Gasol,,3,12
30,1,7:37.0,L. Aldridge misses 2-pt hook shot from 9 ft,,3,12
31,1,7:35.0,Offensive rebound by P. Gasol,,3,12
32,1,7:35.0,P. Gasol misses 2-pt layup from 3 ft,,3,12
33,1,7:33.0,,Defensive rebound by G. Dieng,3,12
34,1,7:24.0,,Personal foul by L. Aldridge (drawn by G. Dieng),3,12
35,1,7:24.0,K. Anderson enters the game for K. Leonard,,3,12
36,1,7:24.0,D. Dedmon enters the game for L. Aldridge,,3,12
37,1,7:24.0,P. Mills enters the game for N. Laprovíttola,,3,12
38,1,7:24.0,D. Lee enters the game for P. Gasol,,3,12
39,1,7:24.0,J. Simmons enters the game for D. Green,,3,12
40,1,7:20.0,,G. Dieng misses 2-pt jump shot from 18 ft,3,12
41,1,7:18.0,Defensive rebound by P. Mills,,3,12
42,1,7:10.0,D. Lee makes 2-pt layup at rim (assist by P. Mills),,5,12
43,1,6:51.0,,Turnover by Z. LaVine (bad pass; steal by P. Mills),5,12
44,1,6:45.0,K. Anderson misses 3-pt jump shot from 24 ft,,5,12
45,1,6:44.0,,Defensive rebound by R. Rubio,5,12
46,1,6:34.0,,Shooting foul by P. Mills (drawn by G. Dieng),5,12
47,1,6:34.0,,G. Dieng makes 2-pt layup from 1 ft (assist by R. Rubio),5,14
48,1,6:34.0,,G. Dieng makes free throw 1 of 1,5,15
49,1,6:23.0,J. Simmons misses 2-pt jump shot from 5 ft,,5,15
50,1,6:22.0,,Defensive rebound by K. Towns,5,15
51,1,6:20.0,,Turnover by K. Towns (bad pass; steal by D. Lee),5,15
52,1,6:16.0,D. Lee misses 2-pt jump shot from 18 ft,,5,15
53,1,6:15.0,,Defensive rebound by A. Wiggins,5,15
54,1,6:08.0,,Offensive foul by A. Wiggins (drawn by J. Simmons),5,15
55,1,6:08.0,,Turnover by A. Wiggins (offensive foul),5,15
56,1,5:46.0,D. Dedmon makes 2-pt jump shot from 18 ft,,7,15
57,1,5:20.0,,A. Wiggins misses 2-pt jump shot from 18 ft,7,15
58,1,5:19.0,Defensive rebound by K. Anderson,,7,15
59,1,5:10.0,P. Mills makes 2-pt jump shot from 19 ft (assist by D. Dedmon),,9,15
