,QUARTER,TIME_REMAINING,DETROIT_ACTION,UTAH_ACTION,DETROIT_SCORE,UTAH_SCORE
0,1,11:37.0,,D. Favors misses 2-pt jump shot from 14 ft,0,0
1,1,11:37.0,,Offensive rebound by R. Gobert,0,0
2,1,11:34.0,,Turnover by R. Gobert (lost ball; steal by A. Drummond),0,0
3,1,11:26.0,M. Morris misses 2-pt jump shot from 19 ft,,0,0
4,1,11:25.0,,Defensive rebound by R. Gobert,0,0
5,1,11:15.0,,G. Hill misses 2-pt jump shot from 17 ft,0,0
6,1,11:14.0,Defensive rebound by R. Jackson,,0,0
7,1,10:56.0,A. Drummond misses 2-pt jump shot from 10 ft,,0,0
8,1,10:56.0,,Defensive rebound by G. Hill,0,0
9,1,10:47.0,,D. Favors misses 2-pt jump shot from 14 ft,0,0
10,1,10:46.0,Defensive rebound by A. Drummond,,0,0
11,1,10:40.0,Turnover by R. Jackson (bad pass),,0,0
12,1,10:25.0,,G. Hayward misses 3-pt jump shot from 25 ft,0,0
13,1,10:25.0,Defensive rebound by A. Drummond,,0,0
14,1,10:01.0,R. Jackson misses 2-pt jump shot from 18 ft,,0,0
15,1,10:00.0,,Defensive rebound by G. Hayward,0,0
16,1,9:45.0,,G. Hill makes 2-pt jump shot from 10 ft,0,2
17,1,9:45.0,,Shooting foul by M. Morris (drawn by G. Hill),0,2
18,1,9:45.0,,G. Hill misses free throw 1 of 1,0,2
19,1,9:45.0,,Offensive rebound by R. Gobert,0,2
20,1,9:30.0,,G. Hayward misses 3-pt jump shot from 24 ft,0,2
21,1,9:29.0,Defensive rebound by M. Morris,,0,2
22,1,9:21.0,Turnover by M. Morris (bad pass; steal by G. Hayward),,0,2
23,1,9:18.0,,G. Hayward makes 2-pt dunk at rim,0,4
24,1,8:59.0,R. Jackson misses 2-pt jump shot from 20 ft,,0,4
25,1,8:59.0,,Defensive rebound by R. Gobert,0,4
26,1,8:48.0,,R. Hood makes 3-pt jump shot from 24 ft,0,7
27,1,8:24.0,R. Jackson misses 2-pt jump shot from 18 ft,,0,7
28,1,8:24.0,,Defensive rebound by Team,0,7
29,1,8:03.0,,G. Hill makes 3-pt jump shot from 25 ft (assist by R. Gobert),0,10
30,1,7:56.0,Detroit full timeout,,0,10
31,1,7:49.0,M. Morris makes 2-pt jump shot from 14 ft (assist by A. Drummond),,2,10
32,1,7:35.0,,Turnover by G. Hill (bad pass),2,10
33,1,7:23.0,A. Drummond misses 2-pt layup from 3 ft (block by R. Gobert),,2,10
34,1,7:23.0,,Defensive rebound by G. Hill,2,10
35,1,7:15.0,,R. Hood misses 3-pt jump shot from 26 ft,2,10
36,1,7:15.0,Defensive rebound by A. Drummond,,2,10
37,1,6:57.0,T. Harris misses 2-pt jump shot from 4 ft,,2,10
38,1,6:56.0,,Defensive rebound by R. Gobert,2,10
39,1,6:46.0,,D. Favors misses 2-pt jump shot from 17 ft,2,10
