,QUARTER,TIME_REMAINING,ORLANDO_ACTION,UTAH_ACTION,ORLANDO_SCORE,UTAH_SCORE
0,1,11:44.0,,G. Hill misses 3-pt jump shot from 24 ft,0,0
1,1,11:44.0,Defensive rebound by J. Meeks,,0,0
2,1,11:27.0,N. Vučević makes 2-pt jump shot from 19 ft (assist by J. Meeks),,2,0
3,1,11:03.0,,R. Hood misses 3-pt jump shot from 27 ft,2,0
4,1,11:03.0,Defensive rebound by Team,,2,0
5,1,10:51.0,N. Vučević misses 2-pt jump shot from 13 ft,,2,0
6,1,10:51.0,Offensive rebound by E. Payton,,2,0
7,1,10:49.0,Turnover by E. Payton (step out of bounds),,2,0
8,1,10:31.0,,D. Favors misses 2-pt jump shot from 15 ft,2,0
9,1,10:30.0,Defensive rebound by J. Meeks,,2,0
10,1,10:21.0,A. Gordon misses 3-pt jump shot from 24 ft,,2,0
11,1,10:20.0,,Defensive rebound by R. Gobert,2,0
12,1,10:10.0,,Turnover by G. Hill (bad pass; steal by J. Meeks),2,0
13,1,10:06.0,A. Gordon makes 2-pt dunk at rim (assist by J. Meeks),,4,0
14,1,9:46.0,,R. Gobert makes 2-pt dunk at rim (assist by D. Favors),4,2
15,1,9:30.0,Shooting foul by R. Gobert (drawn by E. Payton),,4,2
16,1,9:30.0,E. Payton misses free throw 1 of 2,,4,2
17,1,9:30.0,Offensive rebound by Team,,4,2
18,1,9:30.0,E. Payton misses free throw 2 of 2,,4,2
19,1,9:30.0,,Defensive rebound by G. Hayward,4,2
20,1,9:09.0,,D. Favors makes 2-pt jump shot from 14 ft (assist by G. Hill),4,4
21,1,8:55.0,A. Gordon makes 3-pt jump shot from 24 ft (assist by E. Payton),,7,4
22,1,8:36.0,,D. Favors makes 2-pt jump shot from 13 ft (assist by R. Hood),7,6
23,1,8:18.0,S. Ibaka makes 3-pt jump shot from 24 ft (assist by N. Vučević),,10,6
24,1,8:01.0,,D. Favors makes 2-pt layup from 2 ft (assist by G. Hill),10,8
25,1,7:53.0,E. Payton makes 2-pt dunk at rim,,12,8
26,1,7:30.0,,Shooting foul by S. Ibaka (drawn by G. Hayward),12,8
27,1,7:30.0,,G. Hayward makes free throw 1 of 2,12,9
28,1,7:30.0,,G. Hayward makes free throw 2 of 2,12,10
29,1,7:24.0,Shooting foul by G. Hill (drawn by E. Payton),,12,10
30,1,7:24.0,E. Payton makes free throw 1 of 2,,13,10
31,1,7:24.0,E. Payton makes free throw 2 of 2,,14,10
32,1,7:15.0,,G. Hill makes 2-pt layup from 2 ft,14,12
33,1,6:58.0,S. Ibaka misses 3-pt jump shot from 25 ft,,14,12
34,1,6:58.0,,Defensive rebound by R. Gobert,14,12
35,1,6:49.0,,D. Favors makes 2-pt dunk at rim (assist by G. Hill),14,14
36,1,6:48.0,Orlando full timeout,,14,14
37,1,6:48.0,Violation by Team (jump ball),,14,14
38,1,6:33.0,E. Payton makes 2-pt layup from 1 ft,,16,14
39,1,6:17.0,,Turnover by R. Hood (bad pass; steal by E. Payton),16,14
40,1,6:12.0,A. Gordon makes 2-pt dunk at rim (assist by J. Meeks),,18,14
41,1,5:52.0,,G. Hill misses 2-pt jump shot from 22 ft,18,14
42,1,5:51.0,Defensive rebound by S. Ibaka,,18,14
43,1,5:37.0,S. Ibaka makes 3-pt jump shot from 25 ft (assist by E. Payton),,21,14
44,1,5:27.0,,Personal foul by S. Ibaka (drawn by D. Favors),21,14
45,1,5:27.0,,D. Exum enters the game for G. Hill,21,14
46,1,5:27.0,,T. Lyles enters the game for D. Favors,21,14
47,1,5:27.0,J. Green enters the game for S. Ibaka,,21,14
48,1,5:21.0,,R. Hood misses 3-pt jump shot from 24 ft,21,14
49,1,5:20.0,Defensive rebound by N. Vučević,,21,14
50,1,5:11.0,J. Green makes 3-pt jump shot from 23 ft (assist by E. Payton),,24,14
51,1,5:05.0,,Utah full timeout,24,14
52,1,4:57.0,,D. Exum misses 3-pt jump shot from 24 ft,24,14
53,1,4:56.0,Defensive rebound by J. Green,,24,14
54,1,4:41.0,N. Vučević makes 2-pt hook shot from 5 ft,,26,14
55,1,4:33.0,,Personal foul by E. Payton (drawn by D. Exum),26,14
56,1,4:33.0,,J. Ingles enters the game for R. Hood,26,14
57,1,4:30.0,,Offensive foul by T. Lyles (drawn by J. Meeks),26,14
58,1,4:30.0,,Turnover by T. Lyles (offensive foul),26,14
59,1,4:10.0,J. Green misses 3-pt jump shot from 25 ft,,26,14
60,1,4:10.0,,Defensive rebound by R. Gobert,26,14
61,1,3:52.0,,R. Gobert makes 2-pt layup from 2 ft (assist by G. Hayward),26,16
62,1,3:39.0,A. Gordon misses 3-pt jump shot from 25 ft,,26,16
63,1,3:38.0,,Defensive rebound by R. Gobert,26,16
64,1,3:27.0,,R. Gobert makes 2-pt layup from 2 ft (assist by D. Exum),26,18
65,1,3:23.0,Shooting foul by D. Exum (drawn by E. Payton),,26,18
66,1,3:23.0,E. Payton misses free throw 1 of 2,,26,18
67,1,3:23.0,Offensive rebound by Team,,26,18
68,1,3:23.0,,B. Diaw enters the game for T. Lyles,26,18
69,1,3:23.0,B. Biyombo enters the game for N. Vučević,,26,18
70,1,3:23.0,E. Payton makes free throw 2 of 2,,27,18
71,1,3:10.0,,G. Hayward makes 2-pt hook shot from 4 ft (assist by J. Ingles),27,20
72,1,2:57.0,E. Payton makes 2-pt dunk at rim,,29,20
73,1,2:50.0,,D. Exum misses 2-pt layup from 2 ft,29,20
74,1,2:50.0,Defensive rebound by J. Meeks,,29,20
75,1,2:48.0,Personal foul by G. Hayward (drawn by E. Payton),,29,20
76,1,2:48.0,,Utah full timeout,29,20
77,1,2:48.0,D. Augustin enters the game for J. Meeks,,29,20
78,1,2:31.0,D. Augustin misses 2-pt jump shot from 11 ft,,29,20
79,1,2:31.0,Offensive rebound by B. Biyombo,,29,20
80,1,2:28.0,B. Biyombo misses 2-pt jump shot from 4 ft (block by R. Gobert),,29,20
81,1,2:27.0,,Defensive rebound by J. Ingles,29,20
82,1,2:14.0,,Turnover by J. Ingles (bad pass; steal by D. Augustin),29,20
83,1,2:07.0,E. Payton makes 2-pt layup from 2 ft (assist by D. Augustin),,31,20
84,1,1:53.0,,G. Hayward makes 2-pt layup from 1 ft (assist by B. Diaw),31,22
85,1,1:53.0,,Shooting foul by A. Gordon (drawn by G. Hayward),31,22
86,1,1:53.0,,D. Favors enters the game for R. Gobert,31,22
87,1,1:53.0,,G. Hayward makes free throw 1 of 1,31,23
88,1,1:39.0,Personal foul by J. Ingles (drawn by B. Biyombo),,31,23
89,1,1:39.0,B. Biyombo makes free throw 1 of 2,,32,23
90,1,1:39.0,,A. Burks enters the game for G. Hayward,32,23
91,1,1:39.0,B. Biyombo makes free throw 2 of 2,,33,23
92,1,1:24.0,,D. Exum misses 3-pt jump shot from 25 ft,33,23
93,1,1:24.0,Defensive rebound by E. Payton,,33,23
94,1,1:15.0,E. Payton makes 2-pt jump shot from 13 ft,,35,23
95,1,0:59.0,,B. Diaw misses 2-pt layup from 3 ft (block by B. Biyombo),35,23
96,1,0:58.0,,Offensive rebound by D. Favors,35,23
97,1,0:49.0,,B. Diaw misses 3-pt jump shot from 25 ft,35,23
98,1,0:48.0,Defensive rebound by E. Payton,,35,23
99,1,0:41.0,Shooting foul by D. Favors (drawn by J. Green),,35,23
100,1,0:41.0,J. Green makes free throw 1 of 2,,36,23
101,1,0:41.0,M. Hezonja enters the game for A. Gordon,,36,23
102,1,0:41.0,,G. Hill enters the game for D. Exum,36,23
103,1,0:41.0,J. Green makes free throw 2 of 2,,37,23
104,1,0:36.0,,G. Hill makes 2-pt jump shot from 4 ft,37,25
105,1,0:36.0,,Shooting foul by D. Augustin (drawn by G. Hill),37,25
106,1,0:36.0,,G. Hill makes free throw 1 of 1,37,26
107,1,0:31.0,J. Green makes 2-pt jump shot from 6 ft,,39,26
108,1,0:31.0,Shooting foul by B. Diaw (drawn by J. Green),,39,26
109,1,0:31.0,J. Green misses free throw 1 of 1,,39,26
110,1,0:31.0,,Defensive rebound by Team,39,26
111,1,0:30.0,Loose ball foul by M. Hezonja (drawn by B. Diaw),,39,26
112,1,0:30.0,,B. Diaw misses free throw 1 of 2,39,26
113,1,0:30.0,,Offensive rebound by Team,39,26
114,1,0:30.0,,B. Diaw makes free throw 2 of 2,39,27
115,1,0:08.0,M. Hezonja makes 3-pt jump shot from 24 ft (assist by E. Payton),,42,27
116,1,0:01.0,,A. Burks makes 2-pt jump shot from 12 ft,42,29
117,1,0:00.0,J. Green misses 3-pt jump shot from 66 ft,,42,29
118,1,0:00.0,Offensive rebound by Team,,42,29
119,2,11:51.0,Turnover by M. Hezonja (bad pass; steal by G. Hill),,42,29
120,2,11:43.0,,Personal foul by D. Augustin (drawn by R. Hood),42,29
121,2,11:38.0,,Shooting foul by C. Watson (drawn by R. Hood),42,29
122,2,11:38.0,,R. Hood makes 2-pt jump shot from 12 ft,42,31
123,2,11:38.0,,R. Hood misses free throw 1 of 1,42,31
124,2,11:37.0,,Offensive rebound by B. Diaw,42,31
125,2,11:33.0,,A. Burks makes 3-pt jump shot from 25 ft (assist by B. Diaw),42,34
126,2,11:31.0,Orlando full timeout,,42,34
127,2,11:20.0,J. Green misses 2-pt hook shot from 7 ft,,42,34
128,2,11:20.0,,Defensive rebound by D. Favors,42,34
129,2,11:10.0,,G. Hill makes 2-pt jump shot from 11 ft,42,36
130,2,10:57.0,D. Augustin misses 3-pt jump shot from 25 ft,,42,36
131,2,10:56.0,,Defensive rebound by Team,42,36
132,2,10:38.0,,R. Hood makes 3-pt jump shot from 24 ft (assist by G. Hill),42,39
133,2,10:11.0,B. Biyombo misses 2-pt jump shot from 21 ft,,42,39
134,2,10:10.0,,Defensive rebound by Team,42,39
135,2,10:10.0,Loose ball foul by M. Hezonja (drawn by A. Burks),,42,39
136,2,10:10.0,S. Ibaka enters the game for D. Augustin,,42,39
137,2,10:00.0,,G. Hill misses 3-pt jump shot from 26 ft,42,39
138,2,9:59.0,Defensive rebound by B. Biyombo,,42,39
139,2,9:43.0,C. Watson misses 2-pt jump shot from 17 ft,,42,39
140,2,9:41.0,,Defensive rebound by A. Burks,42,39
141,2,9:21.0,,B. Diaw makes 2-pt layup from 2 ft,42,41
142,2,9:03.0,J. Green makes 2-pt hook shot from 8 ft,,44,41
143,2,9:03.0,Shooting foul by A. Burks (drawn by J. Green),,44,41
144,2,9:03.0,J. Green misses free throw 1 of 1,,44,41
145,2,9:02.0,,Defensive rebound by A. Burks,44,41
146,2,8:47.0,,R. Hood misses 3-pt jump shot from 25 ft,44,41
147,2,8:47.0,,Offensive rebound by A. Burks,44,41
148,2,8:41.0,,R. Hood misses 2-pt jump shot from 8 ft,44,41
149,2,8:40.0,Defensive rebound by S. Ibaka,,44,41
150,2,8:31.0,S. Ibaka misses 3-pt jump shot from 25 ft,,44,41
151,2,8:31.0,,Defensive rebound by A. Burks,44,41
