,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DETROIT_ACTION,LA LAKERS_SCORE,DETROIT_SCORE
0,1,12:00.0,Violation by Team (jump ball),,0,0
1,1,12:00.0,,Violation by Team (jump ball),0,0
2,1,11:51.0,,Personal foul by T. Black (drawn by K. Caldwell-Pope),0,0
3,1,11:42.0,,A. Drummond makes 2-pt layup from 1 ft (assist by J. Leuer),0,2
4,1,11:14.0,J. Randle makes 2-pt hook shot from 6 ft (assist by B. Ingram),,2,2
5,1,11:04.0,,K. Caldwell-Pope misses 2-pt jump shot from 21 ft,2,2
6,1,11:03.0,Defensive rebound by B. Ingram,,2,2
7,1,10:52.0,J. Randle misses 2-pt jump shot from 7 ft,,2,2
8,1,10:50.0,Offensive rebound by T. Black,,2,2
9,1,10:43.0,B. Ingram makes 3-pt jump shot from 23 ft (assist by T. Black),,5,2
10,1,10:22.0,,M. Morris misses 2-pt jump shot from 12 ft,5,2
11,1,10:22.0,Defensive rebound by T. Black,,5,2
12,1,10:12.0,B. Ingram makes 2-pt jump shot from 19 ft,,7,2
13,1,9:53.0,,J. Leuer makes 2-pt layup at rim (assist by M. Morris),7,4
14,1,9:52.0,Turnover by J. Randle (inbound),,7,4
15,1,9:46.0,,R. Jackson misses 2-pt jump shot from 9 ft,7,4
16,1,9:45.0,Defensive rebound by T. Black,,7,4
17,1,9:37.0,B. Ingram makes 3-pt jump shot from 25 ft (assist by D. Russell),,10,4
18,1,9:31.0,,Detroit full timeout,10,4
19,1,9:21.0,,M. Morris makes 2-pt layup from 1 ft,10,6
20,1,9:01.0,T. Black misses 2-pt layup from 2 ft (block by A. Drummond),,10,6
21,1,8:59.0,,Defensive rebound by J. Leuer,10,6
22,1,8:49.0,,A. Drummond makes 2-pt hook shot from 7 ft (assist by R. Jackson),10,8
23,1,8:30.0,N. Young makes 2-pt jump shot from 5 ft (assist by T. Black),,12,8
24,1,8:11.0,,A. Drummond makes 2-pt dunk at rim (assist by K. Caldwell-Pope),12,10
25,1,7:52.0,N. Young makes 2-pt jump shot from 16 ft,,14,10
26,1,7:39.0,,J. Leuer misses 3-pt jump shot from 27 ft,14,10
27,1,7:38.0,,Offensive rebound by M. Morris,14,10
28,1,7:38.0,,Shooting foul by B. Ingram (drawn by M. Morris),14,10
29,1,7:38.0,,M. Morris makes free throw 1 of 2,14,11
30,1,7:38.0,,M. Morris misses free throw 2 of 2,14,11
31,1,7:37.0,Defensive rebound by J. Randle,,14,11
32,1,7:18.0,T. Black makes 2-pt layup from 1 ft,,16,11
33,1,7:06.0,,R. Jackson misses 3-pt jump shot from 27 ft,16,11
34,1,7:05.0,,Offensive rebound by A. Drummond,16,11
35,1,7:03.0,,A. Drummond misses 2-pt layup from 1 ft,16,11
36,1,7:02.0,Defensive rebound by T. Black,,16,11
37,1,6:58.0,Offensive foul by J. Randle (drawn by R. Jackson),,16,11
38,1,6:58.0,Turnover by J. Randle (offensive foul),,16,11
39,1,6:45.0,,J. Leuer misses 2-pt hook shot from 4 ft,16,11
40,1,6:43.0,Defensive rebound by B. Ingram,,16,11
41,1,6:34.0,J. Randle makes 2-pt layup at rim,,18,11
42,1,6:24.0,,Shooting foul by N. Young (drawn by K. Caldwell-Pope),18,11
43,1,6:24.0,,K. Caldwell-Pope misses free throw 1 of 3,18,11
44,1,6:24.0,,Offensive rebound by Team,18,11
45,1,6:24.0,,K. Caldwell-Pope makes free throw 2 of 3,18,12
46,1,6:24.0,,K. Caldwell-Pope makes free throw 3 of 3,18,13
47,1,6:15.0,Turnover by D. Russell (palming),,18,13
48,1,6:01.0,,A. Drummond misses 2-pt hook shot from 6 ft,18,13
49,1,5:59.0,Defensive rebound by J. Randle,,18,13
50,1,5:54.0,N. Young misses 3-pt jump shot from 27 ft,,18,13
51,1,5:53.0,,Defensive rebound by A. Drummond,18,13
52,1,5:42.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,18,13
53,1,5:41.0,,Offensive rebound by A. Drummond,18,13
54,1,5:38.0,,A. Drummond misses 2-pt layup at rim,18,13
55,1,5:37.0,Defensive rebound by J. Randle,,18,13
56,1,5:31.0,Turnover by J. Randle (lost ball; steal by A. Drummond),,18,13
57,1,5:27.0,,Personal foul by B. Ingram (drawn by R. Jackson),18,13
58,1,5:27.0,,T. Harris enters the game for J. Leuer,18,13
59,1,5:18.0,,A. Drummond misses 2-pt hook shot from 6 ft,18,13
60,1,5:17.0,,Offensive rebound by M. Morris,18,13
61,1,5:16.0,,M. Morris makes 2-pt layup at rim,18,15
62,1,5:16.0,LA Lakers full timeout,,18,15
63,1,5:16.0,L. Deng enters the game for B. Ingram,,18,15
64,1,4:54.0,Turnover by N. Young (traveling),,18,15
65,1,4:41.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,18,15
66,1,4:40.0,Defensive rebound by T. Black,,18,15
67,1,4:30.0,L. Deng makes 3-pt jump shot from 23 ft (assist by D. Russell),,21,15
68,1,4:18.0,,T. Harris makes 3-pt jump shot from 23 ft (assist by R. Jackson),21,18
69,1,3:58.0,J. Randle misses 2-pt layup from 3 ft,,21,18
70,1,3:57.0,Offensive rebound by J. Randle,,21,18
71,1,3:54.0,J. Randle misses 2-pt layup from 2 ft,,21,18
72,1,3:51.0,,Defensive rebound by R. Jackson,21,18
73,1,3:48.0,,T. Harris misses 3-pt jump shot from 26 ft,21,18
74,1,3:48.0,Defensive rebound by N. Young,,21,18
75,1,3:37.0,Offensive foul by T. Black (drawn by R. Jackson),,21,18
76,1,3:37.0,Turnover by T. Black (offensive foul),,21,18
77,1,3:37.0,L. Nance enters the game for J. Randle,,21,18
78,1,3:37.0,I. Zubac enters the game for T. Black,,21,18
79,1,3:37.0,J. Clarkson enters the game for D. Russell,,21,18
80,1,3:37.0,,I. Smith enters the game for R. Jackson,21,18
81,1,3:24.0,,A. Drummond misses 2-pt layup at rim,21,18
82,1,3:24.0,Defensive rebound by L. Nance,,21,18
83,1,3:16.0,Turnover by L. Nance (bad pass; steal by M. Morris),,21,18
84,1,3:09.0,,M. Morris misses 2-pt layup from 2 ft,21,18
85,1,3:09.0,Defensive rebound by I. Zubac,,21,18
86,1,2:58.0,L. Deng misses 3-pt jump shot from 25 ft,,21,18
87,1,2:57.0,,Defensive rebound by A. Drummond,21,18
88,1,2:49.0,,M. Morris misses 2-pt layup from 1 ft,21,18
89,1,2:48.0,Defensive rebound by L. Nance,,21,18
90,1,2:26.0,N. Young misses 3-pt jump shot from 26 ft,,21,18
91,1,2:25.0,,Defensive rebound by T. Harris,21,18
92,1,2:23.0,,Turnover by I. Smith (lost ball; steal by J. Clarkson),21,18
93,1,2:08.0,Shooting foul by K. Caldwell-Pope (drawn by N. Young),,21,18
94,1,2:08.0,N. Young makes free throw 1 of 2,,22,18
95,1,2:08.0,N. Young misses free throw 2 of 2,,22,18
96,1,2:08.0,,Defensive rebound by A. Baynes,22,18
97,1,2:08.0,,A. Baynes enters the game for A. Drummond,22,18
98,1,2:08.0,,J. Leuer enters the game for M. Morris,22,18
99,1,1:58.0,,Turnover by I. Smith (bad pass),22,18
100,1,1:58.0,L. Williams enters the game for N. Young,,22,18
101,1,1:41.0,J. Clarkson misses 2-pt jump shot from 18 ft,,22,18
102,1,1:40.0,,Defensive rebound by A. Baynes,22,18
103,1,1:33.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft,22,21
104,1,1:23.0,Turnover by J. Clarkson (lost ball; steal by I. Smith),,22,21
105,1,1:19.0,,Shooting foul by L. Deng (drawn by T. Harris),22,21
106,1,1:19.0,,T. Harris misses free throw 1 of 2,22,21
107,1,1:19.0,,Offensive rebound by Team,22,21
108,1,1:19.0,,T. Harris misses free throw 2 of 2,22,21
109,1,1:18.0,Defensive rebound by L. Nance,,22,21
110,1,0:59.0,L. Deng misses 3-pt jump shot from 24 ft,,22,21
111,1,0:59.0,,Defensive rebound by K. Caldwell-Pope,22,21
112,1,0:50.0,,I. Smith makes 2-pt jump shot from 18 ft,22,23
113,1,0:39.0,L. Nance makes 2-pt jump shot from 6 ft (assist by L. Williams),,24,23
114,1,0:22.0,,I. Smith makes 2-pt layup from 1 ft,24,25
115,1,0:00.0,Shooting foul by A. Baynes (drawn by I. Zubac),,24,25
116,1,0:00.0,I. Zubac misses free throw 1 of 2,,24,25
117,1,0:00.0,Offensive rebound by Team,,24,25
118,1,0:00.0,I. Zubac makes free throw 2 of 2,,25,25
119,2,11:46.0,Turnover by L. Nance (lost ball; steal by I. Smith),,25,25
120,2,11:30.0,,A. Baynes misses 2-pt hook shot from 5 ft,25,25
121,2,11:29.0,Defensive rebound by L. Deng,,25,25
122,2,11:26.0,Shooting foul by S. Johnson (drawn by L. Williams),,25,25
123,2,11:26.0,L. Williams makes free throw 1 of 2,,26,25
124,2,11:26.0,L. Williams makes free throw 2 of 2,,27,25
