,QUARTER,TIME_REMAINING,PHOENIX_ACTION,MIAMI_ACTION,PHOENIX_SCORE,MIAMI_SCORE
0,1,11:40.0,,H. Whiteside misses 2-pt jump shot from 3 ft,0,0
1,1,11:39.0,Defensive rebound by A. Len,,0,0
2,1,11:23.0,Turnover by A. Len (offensive foul),,0,0
3,1,11:23.0,Offensive foul by A. Len (drawn by J. Richardson),,0,0
4,1,11:02.0,,Offensive foul by G. Dragić (drawn by T. Ulis),0,0
5,1,11:02.0,,Turnover by G. Dragić (offensive foul),0,0
6,1,10:46.0,Shooting foul by L. Babbitt (drawn by M. Chriss),,0,0
7,1,10:46.0,M. Chriss makes 2-pt layup from 2 ft,,2,0
8,1,10:46.0,M. Chriss makes free throw 1 of 1,,3,0
9,1,10:26.0,,R. McGruder misses 3-pt jump shot from 26 ft,3,0
10,1,10:25.0,,Offensive rebound by J. Richardson,3,0
11,1,10:16.0,,G. Dragić misses 3-pt jump shot from 25 ft,3,0
12,1,10:15.0,Defensive rebound by D. Booker,,3,0
13,1,10:07.0,D. Booker misses 3-pt jump shot from 24 ft,,3,0
14,1,10:06.0,,Defensive rebound by H. Whiteside,3,0
15,1,9:57.0,,J. Richardson makes 2-pt layup from 2 ft,3,2
16,1,9:46.0,D. Booker misses 2-pt jump shot from 18 ft,,3,2
17,1,9:45.0,,Defensive rebound by G. Dragić,3,2
18,1,9:36.0,,L. Babbitt misses 3-pt jump shot from 25 ft,3,2
19,1,9:35.0,Defensive rebound by Team,,3,2
20,1,9:19.0,Turnover by D. Booker (bad pass),,3,2
21,1,9:00.0,,H. Whiteside misses 2-pt jump shot from 21 ft,3,2
22,1,8:59.0,Defensive rebound by T. Ulis,,3,2
23,1,8:44.0,Shooting foul by J. Richardson (drawn by M. Chriss),,3,2
24,1,8:44.0,M. Chriss makes free throw 1 of 2,,4,2
25,1,8:44.0,M. Chriss misses free throw 2 of 2,,4,2
26,1,8:43.0,,Defensive rebound by H. Whiteside,4,2
27,1,8:37.0,,H. Whiteside makes 2-pt layup at rim,4,4
28,1,8:17.0,M. Chriss makes 2-pt dunk at rim (assist by D. Booker),,6,4
29,1,8:06.0,,Personal foul by D. Booker (drawn by L. Babbitt),6,4
30,1,7:57.0,,J. Richardson misses 2-pt jump shot from 18 ft,6,4
31,1,7:56.0,Defensive rebound by M. Chriss,,6,4
32,1,7:48.0,D. Booker misses 3-pt jump shot from 25 ft,,6,4
33,1,7:47.0,,Defensive rebound by R. McGruder,6,4
34,1,7:29.0,,L. Babbitt misses 3-pt jump shot from 25 ft,6,4
35,1,7:28.0,Defensive rebound by T. Warren,,6,4
36,1,7:21.0,T. Warren misses 2-pt jump shot from 13 ft,,6,4
37,1,7:20.0,Offensive rebound by T. Warren,,6,4
38,1,7:18.0,T. Warren makes 2-pt jump shot from 5 ft,,8,4
39,1,7:01.0,,J. Richardson makes 3-pt jump shot from 24 ft (assist by G. Dragić),8,7
40,1,6:51.0,T. Ulis makes 2-pt jump shot from 13 ft,,10,7
41,1,6:41.0,,G. Dragić misses 2-pt layup from 1 ft (block by A. Len),10,7
42,1,6:38.0,,Offensive rebound by G. Dragić,10,7
43,1,6:35.0,,G. Dragić misses 2-pt layup from 1 ft,10,7
44,1,6:34.0,Defensive rebound by A. Len,,10,7
45,1,6:30.0,T. Warren makes 2-pt layup from 2 ft (assist by T. Ulis),,12,7
46,1,6:10.0,,H. Whiteside misses 2-pt jump shot from 18 ft,12,7
47,1,6:09.0,Defensive rebound by D. Booker,,12,7
48,1,6:07.0,Turnover by D. Booker (bad pass),,12,7
49,1,5:53.0,,Turnover by G. Dragić (bad pass; steal by D. Booker),12,7
50,1,5:46.0,Turnover by D. Booker (bad pass; steal by L. Babbitt),,12,7
51,1,5:41.0,,G. Dragić makes 2-pt jump shot from 12 ft,12,9
52,1,5:19.0,A. Len makes 2-pt dunk at rim (assist by T. Ulis),,14,9
53,1,5:19.0,,Miami full timeout,14,9
54,1,5:19.0,,T. Johnson enters the game for G. Dragić,14,9
55,1,5:04.0,,T. Johnson misses 2-pt jump shot from 18 ft,14,9
56,1,5:02.0,,Offensive rebound by H. Whiteside,14,9
57,1,4:59.0,,H. Whiteside misses 2-pt jump shot from 3 ft,14,9
58,1,4:58.0,,Offensive rebound by R. McGruder,14,9
59,1,4:56.0,,T. Johnson makes 3-pt jump shot from 25 ft (assist by R. McGruder),14,12
60,1,4:40.0,M. Chriss makes 3-pt jump shot from 24 ft (assist by D. Booker),,17,12
61,1,4:20.0,,H. Whiteside misses 2-pt hook shot from 9 ft,17,12
62,1,4:18.0,Defensive rebound by M. Chriss,,17,12
63,1,4:09.0,Turnover by T. Ulis (lost ball; steal by H. Whiteside),,17,12
64,1,4:04.0,,J. Richardson makes 2-pt layup from 2 ft (assist by R. McGruder),17,14
65,1,3:58.0,Shooting foul by J. Richardson (drawn by D. Booker),,17,14
66,1,3:58.0,D. Booker misses free throw 1 of 2,,17,14
67,1,3:58.0,Offensive rebound by Team,,17,14
68,1,3:58.0,,W. Ellington enters the game for J. Richardson,17,14
69,1,3:58.0,,J. Johnson enters the game for L. Babbitt,17,14
70,1,3:58.0,D. Booker makes free throw 2 of 2,,18,14
71,1,3:49.0,Violation by M. Chriss (kicked ball),,18,14
72,1,3:40.0,,T. Johnson makes 2-pt jump shot from 6 ft,18,16
73,1,3:21.0,Turnover by M. Chriss (lost ball; steal by J. Johnson),,18,16
