,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,GOLDEN STATE_ACTION,SACRAMENTO_SCORE,GOLDEN STATE_SCORE
0,1,11:52.0,Turnover by B. Hield (lost ball; steal by D. Green),,0,0
1,1,11:35.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),0,3
2,1,11:12.0,A. Afflalo misses 2-pt jump shot from 12 ft,,0,3
3,1,11:11.0,,Defensive rebound by Z. Pachulia,0,3
4,1,11:03.0,,P. McCaw misses 3-pt jump shot from 23 ft,0,3
5,1,11:03.0,Defensive rebound by A. Afflalo,,0,3
6,1,10:46.0,B. Hield makes 3-pt jump shot from 23 ft (assist by K. Koufos),,3,3
7,1,10:24.0,,D. Green misses 3-pt jump shot from 26 ft,3,3
8,1,10:24.0,Defensive rebound by K. Koufos,,3,3
9,1,10:14.0,T. Lawson makes 3-pt jump shot from 25 ft (assist by B. Hield),,6,3
10,1,10:01.0,,P. McCaw makes 2-pt jump shot from 6 ft (assist by D. Green),6,5
11,1,9:46.0,Shooting foul by P. McCaw (drawn by B. Hield),,6,5
12,1,9:46.0,B. Hield makes free throw 1 of 2,,7,5
13,1,9:46.0,B. Hield makes free throw 2 of 2,,8,5
14,1,9:34.0,,Turnover by Z. Pachulia (bad pass; steal by B. Hield),8,5
15,1,9:25.0,T. Lawson misses 2-pt jump shot from 14 ft,,8,5
16,1,9:24.0,,Defensive rebound by Team,8,5
17,1,9:14.0,,Turnover by D. Green (bad pass),8,5
18,1,8:49.0,Turnover by Team (shot clock),,8,5
19,1,8:36.0,,S. Curry makes 2-pt jump shot from 16 ft,8,7
20,1,8:19.0,B. Hield makes 2-pt jump shot from 11 ft,,10,7
21,1,8:13.0,,Shooting foul by K. Koufos (drawn by Z. Pachulia),10,7
22,1,8:13.0,,Z. Pachulia makes free throw 1 of 2,10,8
23,1,8:13.0,,Z. Pachulia makes free throw 2 of 2,10,9
24,1,7:49.0,K. Koufos misses 2-pt hook shot from 9 ft,,10,9
25,1,7:49.0,,Defensive rebound by S. Curry,10,9
26,1,7:40.0,,S. Curry misses 3-pt jump shot from 27 ft,10,9
27,1,7:40.0,Defensive rebound by W. Cauley-Stein,,10,9
28,1,7:30.0,K. Koufos makes 2-pt layup from 2 ft (assist by B. Hield),,12,9
29,1,7:16.0,,K. Thompson misses 3-pt jump shot from 27 ft,12,9
30,1,7:16.0,Defensive rebound by K. Koufos,,12,9
31,1,7:05.0,T. Lawson makes 2-pt layup from 1 ft,,14,9
32,1,7:05.0,,Golden State full timeout,14,9
33,1,6:41.0,,Turnover by Team (shot clock),14,9
34,1,6:15.0,B. Hield misses 3-pt jump shot from 27 ft (block by P. McCaw),,14,9
35,1,6:14.0,,Defensive rebound by S. Curry,14,9
36,1,6:12.0,,Z. Pachulia makes 2-pt layup from 2 ft (assist by S. Curry),14,11
