,QUARTER,TIME_REMAINING,DETROIT_ACTION,CHARLOTTE_ACTION,DETROIT_SCORE,CHARLOTTE_SCORE
0,1,11:49.0,K. Caldwell-Pope makes 2-pt layup at rim (assist by I. Smith),,2,0
1,1,11:38.0,,C. Zeller makes 2-pt jump shot from 14 ft (assist by K. Walker),2,2
2,1,11:20.0,T. Harris makes 2-pt jump shot from 8 ft,,4,2
3,1,11:02.0,,Turnover by N. Batum (bad pass; steal by M. Morris),4,2
4,1,10:42.0,T. Harris makes 3-pt jump shot from 24 ft (assist by K. Caldwell-Pope),,7,2
5,1,10:22.0,,C. Zeller misses 2-pt layup from 1 ft (block by T. Harris),7,2
6,1,10:20.0,Defensive rebound by T. Harris,,7,2
7,1,10:10.0,A. Drummond misses 2-pt hook shot from 13 ft,,7,2
8,1,10:09.0,,Defensive rebound by M. Kidd-Gilchrist,7,2
9,1,9:56.0,,F. Kaminsky misses 3-pt jump shot from 25 ft,7,2
10,1,9:55.0,Defensive rebound by M. Morris,,7,2
11,1,9:46.0,Turnover by M. Morris (bad pass; steal by K. Walker),,7,2
12,1,9:38.0,,K. Walker misses 2-pt layup from 1 ft,7,2
13,1,9:37.0,Defensive rebound by A. Drummond,,7,2
14,1,9:29.0,A. Drummond misses 2-pt layup from 1 ft,,7,2
15,1,9:28.0,Offensive rebound by A. Drummond,,7,2
16,1,9:28.0,A. Drummond makes 2-pt layup at rim,,9,2
17,1,9:28.0,Shooting foul by M. Kidd-Gilchrist (drawn by A. Drummond),,9,2
18,1,9:28.0,A. Drummond makes free throw 1 of 1,,10,2
19,1,9:19.0,,K. Walker misses 2-pt layup at rim,10,2
20,1,9:19.0,Defensive rebound by Team,,10,2
21,1,9:03.0,T. Harris makes 3-pt jump shot from 24 ft (assist by K. Caldwell-Pope),,13,2
22,1,8:55.0,,Charlotte full timeout,13,2
23,1,8:45.0,,N. Batum misses 2-pt jump shot from 6 ft,13,2
24,1,8:45.0,,Offensive rebound by C. Zeller,13,2
25,1,8:45.0,,Personal foul by I. Smith (drawn by C. Zeller),13,2
