,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,NEW ORLEANS_ACTION,MEMPHIS_SCORE,NEW ORLEANS_SCORE
0,1,11:44.0,,A. Davis misses 2-pt layup from 2 ft,0,0
1,1,11:43.0,Defensive rebound by M. Gasol,,0,0
2,1,11:22.0,M. Gasol makes 2-pt jump shot from 14 ft,,2,0
3,1,11:10.0,,T. Frazier makes 2-pt jump shot from 16 ft,2,2
4,1,10:53.0,M. Gasol makes 2-pt layup from 1 ft,,4,2
5,1,10:34.0,,B. Hield makes 3-pt jump shot from 27 ft (assist by T. Frazier),4,5
6,1,10:21.0,M. Gasol misses 3-pt jump shot from 25 ft,,4,5
7,1,10:20.0,,Defensive rebound by T. Frazier,4,5
8,1,10:12.0,,T. Frazier misses 2-pt layup from 2 ft,4,5
9,1,10:11.0,Defensive rebound by M. Gasol,,4,5
10,1,10:07.0,J. Green makes 2-pt layup from 2 ft (assist by M. Gasol),,6,5
11,1,10:07.0,Shooting foul by B. Hield (drawn by J. Green),,6,5
12,1,10:07.0,J. Green misses free throw 1 of 1,,6,5
13,1,10:06.0,,Defensive rebound by Ö. Aşık,6,5
14,1,9:53.0,,B. Hield misses 3-pt jump shot from 25 ft,6,5
15,1,9:52.0,Defensive rebound by J. Green,,6,5
16,1,9:40.0,J. Green misses 3-pt jump shot from 24 ft,,6,5
17,1,9:39.0,,Defensive rebound by B. Hield,6,5
18,1,9:28.0,,A. Davis misses 3-pt jump shot from 25 ft,6,5
19,1,9:27.0,Defensive rebound by M. Gasol,,6,5
20,1,9:21.0,M. Gasol misses 2-pt hook shot from 7 ft,,6,5
21,1,9:19.0,,Defensive rebound by A. Davis,6,5
22,1,9:08.0,,Ö. Aşık misses 2-pt layup from 2 ft,6,5
23,1,9:07.0,Defensive rebound by J. Green,,6,5
24,1,8:48.0,Turnover by M. Gasol (bad pass),,6,5
25,1,8:31.0,,Turnover by S. Hill (bad pass; steal by T. Allen),6,5
26,1,8:28.0,T. Williams makes 2-pt layup from 1 ft,,8,5
27,1,8:15.0,,Personal foul by J. Green (drawn by A. Davis),8,5
28,1,8:11.0,,S. Hill misses 2-pt layup from 2 ft,8,5
29,1,8:10.0,Defensive rebound by J. Green,,8,5
30,1,8:02.0,M. Gasol misses 2-pt jump shot from 19 ft,,8,5
31,1,8:01.0,,Defensive rebound by A. Davis,8,5
32,1,7:52.0,Violation by M. Gasol (kicked ball),,8,5
33,1,7:44.0,,T. Frazier misses 2-pt jump shot from 21 ft,8,5
34,1,7:43.0,Defensive rebound by T. Williams,,8,5
35,1,7:30.0,T. Williams misses 3-pt jump shot from 25 ft,,8,5
36,1,7:29.0,,Defensive rebound by Ö. Aşık,8,5
37,1,7:17.0,,Ö. Aşık misses 2-pt layup from 2 ft (block by T. Allen),8,5
38,1,7:17.0,,Offensive rebound by Team,8,5
39,1,7:17.0,,T. Jones enters the game for Ö. Aşık,8,5
40,1,7:14.0,,S. Hill misses 3-pt jump shot from 23 ft,8,5
41,1,7:13.0,Defensive rebound by T. Allen,,8,5
42,1,6:57.0,A. Harrison misses 2-pt jump shot from 15 ft,,8,5
43,1,6:56.0,,Defensive rebound by B. Hield,8,5
