,QUARTER,TIME_REMAINING,TORONTO_ACTION,CHICAGO_ACTION,TORONTO_SCORE,CHICAGO_SCORE
0,1,11:44.0,J. Valančiūnas makes 2-pt jump shot from 15 ft (assist by J. Poeltl),,2,0
1,1,11:32.0,,Turnover by J. Butler (step out of bounds),2,0
2,1,11:14.0,J. Valančiūnas makes 2-pt jump shot from 10 ft (assist by K. Lowry),,4,0
3,1,10:57.0,,T. Gibson makes 2-pt jump shot from 15 ft (assist by J. Butler),4,2
4,1,10:35.0,K. Lowry misses 2-pt jump shot from 18 ft,,4,2
5,1,10:34.0,,Defensive rebound by J. Butler,4,2
6,1,10:20.0,,T. Gibson makes 2-pt layup from 2 ft,4,4
7,1,10:04.0,D. DeRozan misses 2-pt jump shot from 13 ft,,4,4
8,1,10:03.0,,Defensive rebound by R. Lopez,4,4
9,1,9:54.0,,J. Butler makes 2-pt layup from 3 ft,4,6
10,1,9:48.0,Turnover by D. DeRozan (lost ball; steal by J. Butler),,4,6
11,1,9:43.0,,T. Gibson makes 2-pt dunk at rim (assist by J. Butler),4,8
12,1,9:38.0,Toronto full timeout,,4,8
13,1,9:18.0,D. DeRozan misses 2-pt jump shot from 22 ft,,4,8
14,1,9:17.0,Offensive rebound by Team,,4,8
15,1,9:17.0,,Loose ball foul by T. Gibson (drawn by J. Poeltl),4,8
16,1,9:11.0,K. Lowry makes 2-pt jump shot from 19 ft,,6,8
17,1,8:44.0,,J. Grant misses 2-pt jump shot from 20 ft,6,8
18,1,8:42.0,,Offensive rebound by Team,6,8
19,1,8:36.0,,R. Lopez misses 2-pt jump shot from 15 ft,6,8
20,1,8:35.0,Defensive rebound by D. DeRozan,,6,8
21,1,8:19.0,J. Valančiūnas misses 2-pt hook shot from 10 ft,,6,8
22,1,8:19.0,,Defensive rebound by R. Lopez,6,8
23,1,8:10.0,,M. Carter-Williams makes 2-pt jump shot from 11 ft,6,10
24,1,7:52.0,D. Carroll makes 2-pt jump shot from 16 ft,,8,10
25,1,7:31.0,,Shooting foul by J. Poeltl (drawn by T. Gibson),8,10
26,1,7:31.0,,T. Gibson makes free throw 1 of 2,8,11
27,1,7:31.0,,T. Gibson makes free throw 2 of 2,8,12
28,1,7:16.0,D. DeRozan misses 2-pt jump shot from 19 ft,,8,12
29,1,7:16.0,,Defensive rebound by M. Carter-Williams,8,12
30,1,7:07.0,,R. Lopez misses 2-pt jump shot from 15 ft,8,12
31,1,7:06.0,Defensive rebound by J. Valančiūnas,,8,12
32,1,6:52.0,Turnover by D. DeRozan (bad pass),,8,12
33,1,6:42.0,,Personal foul by D. DeRozan (drawn by M. Carter-Williams),8,12
34,1,6:31.0,,T. Gibson misses 2-pt jump shot from 8 ft,8,12
35,1,6:30.0,,Offensive rebound by R. Lopez,8,12
36,1,6:30.0,,R. Lopez misses 2-pt layup from 2 ft,8,12
37,1,6:29.0,Defensive rebound by J. Valančiūnas,,8,12
38,1,6:15.0,D. DeRozan misses 2-pt layup from 3 ft (block by R. Lopez),,8,12
