,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,BOSTON_ACTION,MINNESOTA_SCORE,BOSTON_SCORE
0,1,11:43.0,K. Towns makes 2-pt hook shot from 8 ft (assist by A. Wiggins),,2,0
1,1,11:33.0,,Personal foul by R. Rubio (drawn by A. Bradley),2,0
2,1,11:28.0,,I. Thomas makes 2-pt jump shot from 20 ft (assist by A. Horford),2,2
3,1,11:13.0,A. Wiggins misses 3-pt jump shot from 25 ft,,2,2
4,1,11:12.0,,Defensive rebound by A. Horford,2,2
5,1,11:00.0,,A. Horford makes 2-pt jump shot from 8 ft (assist by A. Bradley),2,4
6,1,10:51.0,Minnesota full timeout,,2,4
7,1,10:48.0,Turnover by G. Dieng (lost ball; steal by I. Thomas),,2,4
8,1,10:43.0,,Turnover by I. Thomas (lost ball; steal by R. Rubio),2,4
9,1,10:35.0,Shooting foul by J. Crowder (drawn by A. Wiggins),,2,4
10,1,10:35.0,A. Wiggins misses free throw 1 of 2,,2,4
11,1,10:35.0,Offensive rebound by Team,,2,4
12,1,10:35.0,A. Wiggins makes free throw 2 of 2,,3,4
13,1,10:21.0,,J. Crowder misses 3-pt jump shot from 26 ft,3,4
14,1,10:20.0,,Offensive rebound by A. Horford,3,4
15,1,10:17.0,,A. Bradley makes 3-pt jump shot from 26 ft (assist by A. Horford),3,7
16,1,10:00.0,R. Rubio misses 2-pt layup from 2 ft (block by A. Horford),,3,7
17,1,9:59.0,,Defensive rebound by A. Horford,3,7
18,1,9:48.0,,Shooting foul by A. Wiggins (drawn by J. Crowder),3,7
19,1,9:48.0,,J. Crowder makes free throw 1 of 2,3,8
20,1,9:48.0,,J. Crowder makes free throw 2 of 2,3,9
21,1,9:43.0,A. Wiggins makes 2-pt dunk at rim (assist by R. Rubio),,5,9
22,1,9:30.0,,I. Thomas makes 3-pt jump shot from 26 ft,5,12
23,1,9:08.0,Shooting foul by A. Bradley (drawn by R. Rubio),,5,12
24,1,9:08.0,R. Rubio makes free throw 1 of 2,,6,12
25,1,9:08.0,R. Rubio makes free throw 2 of 2,,7,12
26,1,8:57.0,Violation by G. Dieng (kicked ball),,7,12
27,1,8:48.0,,J. Crowder misses 3-pt jump shot from 25 ft,7,12
28,1,8:47.0,Defensive rebound by K. Towns,,7,12
