,QUARTER,TIME_REMAINING,UTAH_ACTION,HOUSTON_ACTION,UTAH_SCORE,HOUSTON_SCORE
0,1,11:38.0,R. Hood makes 3-pt jump shot from 26 ft (assist by G. Hayward),,3,0
1,1,11:22.0,,R. Anderson misses 3-pt jump shot from 25 ft,3,0
2,1,11:21.0,,Offensive rebound by Team,3,0
3,1,11:12.0,,J. Harden makes 2-pt jump shot from 16 ft,3,2
4,1,10:55.0,Shooting foul by T. Ariza (drawn by D. Exum),,3,2
5,1,10:55.0,D. Exum misses free throw 1 of 2,,3,2
6,1,10:55.0,Offensive rebound by Team,,3,2
7,1,10:55.0,D. Exum makes free throw 2 of 2,,4,2
8,1,10:42.0,,R. Anderson makes 2-pt layup from 2 ft (assist by C. Capela),4,4
9,1,10:25.0,D. Exum misses 3-pt jump shot from 25 ft,,4,4
10,1,10:24.0,,Defensive rebound by C. Capela,4,4
11,1,10:15.0,,R. Anderson misses 3-pt jump shot from 26 ft,4,4
12,1,10:14.0,,Offensive rebound by C. Capela,4,4
13,1,10:05.0,,C. Capela makes 2-pt layup from 2 ft (assist by P. Beverley),4,6
14,1,9:49.0,R. Gobert misses 2-pt jump shot from 6 ft,,4,6
15,1,9:48.0,Offensive rebound by R. Gobert,,4,6
16,1,9:40.0,D. Exum misses 2-pt layup from 3 ft (block by C. Capela),,4,6
17,1,9:38.0,,Defensive rebound by T. Ariza,4,6
18,1,9:31.0,,R. Anderson misses 3-pt jump shot from 25 ft,4,6
19,1,9:30.0,Defensive rebound by G. Hayward,,4,6
20,1,9:22.0,Turnover by G. Hayward (lost ball; steal by P. Beverley),,4,6
21,1,9:18.0,,P. Beverley makes 2-pt layup from 2 ft,4,8
22,1,9:18.0,Utah full timeout,,4,8
23,1,9:18.0,S. Mack enters the game for D. Exum,,4,8
24,1,9:03.0,S. Mack makes 2-pt layup from 2 ft (assist by G. Hayward),,6,8
25,1,9:03.0,Shooting foul by J. Harden (drawn by S. Mack),,6,8
26,1,9:03.0,S. Mack misses free throw 1 of 1,,6,8
27,1,9:03.0,,Defensive rebound by C. Capela,6,8
28,1,8:43.0,,J. Harden makes 2-pt jump shot from 12 ft,6,10
29,1,8:22.0,R. Gobert makes 2-pt dunk at rim (assist by S. Mack),,8,10
30,1,8:08.0,,R. Anderson misses 2-pt jump shot from 19 ft,8,10
31,1,8:07.0,Defensive rebound by G. Hayward,,8,10
32,1,7:56.0,Turnover by T. Lyles (bad pass; steal by P. Beverley),,8,10
33,1,7:38.0,,J. Harden misses 3-pt jump shot from 24 ft,8,10
34,1,7:37.0,Defensive rebound by R. Gobert,,8,10
35,1,7:16.0,R. Gobert misses 2-pt layup from 1 ft,,8,10
36,1,7:15.0,,Defensive rebound by R. Anderson,8,10
37,1,7:07.0,,C. Capela misses 2-pt layup from 2 ft,8,10
38,1,7:06.0,Defensive rebound by R. Hood,,8,10
39,1,6:58.0,R. Hood misses 2-pt layup from 2 ft,,8,10
40,1,6:57.0,,Defensive rebound by J. Harden,8,10
41,1,6:50.0,,Shooting foul by R. Gobert (drawn by C. Capela),8,10
42,1,6:50.0,,C. Capela misses free throw 1 of 2,8,10
43,1,6:50.0,,Offensive rebound by Team,8,10
44,1,6:50.0,,C. Capela misses free throw 2 of 2,8,10
45,1,6:50.0,Defensive rebound by T. Lyles,,8,10
46,1,6:50.0,,E. Gordon enters the game for P. Beverley,8,10
47,1,6:30.0,S. Mack misses 3-pt jump shot from 26 ft,,8,10
48,1,6:28.0,,Defensive rebound by Team,8,10
49,1,6:13.0,,J. Harden makes 3-pt jump shot from 24 ft,8,13
50,1,5:55.0,T. Lyles makes 3-pt jump shot from 25 ft (assist by G. Hayward),,11,13
51,1,5:38.0,,C. Capela misses 2-pt hook shot from 5 ft,11,13
52,1,5:37.0,Defensive rebound by R. Gobert,,11,13
53,1,5:33.0,,Offensive charge foul by S. Mack (drawn by E. Gordon),11,13
54,1,5:33.0,Turnover by S. Mack (offensive foul),,11,13
55,1,5:33.0,,N. Hilário enters the game for C. Capela,11,13
56,1,5:33.0,J. Johnson enters the game for G. Hayward,,11,13
57,1,5:24.0,,E. Gordon misses 3-pt jump shot from 26 ft,11,13
58,1,5:23.0,Defensive rebound by T. Lyles,,11,13
