,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MEMPHIS_ACTION,SACRAMENTO_SCORE,MEMPHIS_SCORE
0,1,11:34.0,D. Cousins makes 3-pt jump shot from 26 ft (assist by D. Collison),,3,0
1,1,11:08.0,,M. Gasol misses 2-pt jump shot from 18 ft,3,0
2,1,11:08.0,Defensive rebound by D. Cousins,,3,0
3,1,11:02.0,Personal foul by T. Allen (drawn by D. Collison),,3,0
4,1,10:47.0,K. Koufos misses 2-pt jump shot from 13 ft,,3,0
5,1,10:47.0,,Defensive rebound by T. Allen,3,0
6,1,10:33.0,,J. Green misses 3-pt jump shot from 22 ft,3,0
7,1,10:32.0,Defensive rebound by D. Collison,,3,0
8,1,10:20.0,K. Koufos makes 2-pt layup from 1 ft (assist by G. Temple),,5,0
9,1,10:06.0,,M. Gasol misses 2-pt layup from 1 ft,5,0
10,1,10:04.0,,Offensive rebound by M. Gasol,5,0
11,1,9:50.0,,M. Conley misses 3-pt jump shot from 25 ft,5,0
12,1,9:50.0,Defensive rebound by D. Cousins,,5,0
13,1,9:31.0,D. Cousins makes 2-pt jump shot from 21 ft,,7,0
14,1,9:13.0,,J. Ennis misses 2-pt jump shot from 3 ft (block by G. Temple),7,0
15,1,9:11.0,Defensive rebound by G. Temple,,7,0
16,1,9:08.0,D. Collison makes 2-pt layup from 2 ft (assist by G. Temple),,9,0
17,1,8:51.0,,M. Gasol makes 2-pt jump shot from 11 ft,9,2
18,1,8:36.0,A. Afflalo misses 3-pt jump shot from 26 ft,,9,2
19,1,8:36.0,,Defensive rebound by M. Conley,9,2
20,1,8:23.0,,J. Green misses 3-pt jump shot from 23 ft,9,2
21,1,8:22.0,Defensive rebound by A. Afflalo,,9,2
22,1,8:02.0,G. Temple misses 2-pt layup from 1 ft (block by J. Ennis),,9,2
23,1,8:00.0,,Defensive rebound by M. Gasol,9,2
24,1,7:48.0,,M. Conley makes 2-pt jump shot from 7 ft,9,4
25,1,7:48.0,,Shooting foul by K. Koufos (drawn by M. Conley),9,4
26,1,7:48.0,,M. Conley makes free throw 1 of 1,9,5
27,1,7:37.0,Personal foul by J. Green (drawn by D. Cousins),,9,5
28,1,7:27.0,D. Cousins misses 3-pt jump shot from 26 ft,,9,5
29,1,7:27.0,,Defensive rebound by T. Allen,9,5
30,1,7:21.0,,M. Gasol misses 2-pt layup from 1 ft,9,5
31,1,7:19.0,,Offensive rebound by J. Ennis,9,5
32,1,7:07.0,,J. Green makes 2-pt jump shot from 7 ft (assist by M. Conley),9,7
33,1,6:52.0,D. Collison misses 2-pt jump shot from 20 ft,,9,7
34,1,6:49.0,,Defensive rebound by M. Gasol,9,7
35,1,6:40.0,,Personal foul by D. Cousins (drawn by M. Gasol),9,7
36,1,6:32.0,,M. Conley misses 2-pt jump shot from 6 ft,9,7
37,1,6:31.0,,Offensive rebound by T. Allen,9,7
38,1,6:29.0,,T. Allen misses 2-pt layup from 3 ft (block by K. Koufos),9,7
39,1,6:28.0,,Offensive rebound by T. Allen,9,7
40,1,6:28.0,,T. Allen makes 2-pt layup from 1 ft,9,9
41,1,6:24.0,Sacramento full timeout,,9,9
42,1,6:13.0,Offensive foul by D. Cousins (drawn by T. Allen),,9,9
43,1,6:13.0,Turnover by D. Cousins (offensive foul),,9,9
44,1,5:50.0,,M. Gasol misses 2-pt jump shot from 21 ft,9,9
45,1,5:49.0,Defensive rebound by G. Temple,,9,9
46,1,5:26.0,D. Cousins misses 2-pt layup from 1 ft,,9,9
47,1,5:25.0,,Defensive rebound by T. Allen,9,9
48,1,5:18.0,,Turnover by J. Green (bad pass; steal by A. Afflalo),9,9
49,1,5:09.0,D. Cousins misses 2-pt jump shot from 12 ft,,9,9
50,1,5:07.0,,Defensive rebound by M. Gasol,9,9
51,1,5:04.0,,T. Allen makes 2-pt layup from 1 ft (assist by M. Conley),9,11
52,1,5:00.0,Sacramento full timeout,,9,11
