,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CLEVELAND_ACTION,PHILADELPHIA_SCORE,CLEVELAND_SCORE
0,1,11:43.0,T. McConnell misses 2-pt jump shot from 7 ft,,0,0
1,1,11:41.0,,Defensive rebound by K. Love,0,0
2,1,11:35.0,,K. Irving makes 2-pt jump shot from 18 ft,0,2
3,1,11:17.0,J. Anderson makes 3-pt jump shot from 25 ft (assist by D. Šarić),,3,2
4,1,11:03.0,,K. Love makes 2-pt jump shot from 21 ft (assist by L. James),3,4
5,1,10:42.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 26 ft,,3,4
6,1,10:41.0,Offensive rebound by J. Anderson,,3,4
7,1,10:41.0,Flagrant foul type 1 by K. Irving (drawn by J. Anderson),,3,4
8,1,10:41.0,J. Anderson makes flagrant free throw 1 of 2,,4,4
9,1,10:41.0,J. Anderson makes flagrant free throw 2 of 2,,5,4
10,1,10:33.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 26 ft,,5,4
11,1,10:33.0,,Defensive rebound by K. Love,5,4
12,1,10:22.0,,L. James misses 2-pt jump shot from 8 ft,5,4
13,1,10:20.0,Defensive rebound by D. Šarić,,5,4
14,1,10:19.0,Turnover by D. Šarić (bad pass),,5,4
15,1,10:10.0,,K. Irving makes 2-pt jump shot from 19 ft,5,6
16,1,9:57.0,Shooting foul by K. Love (drawn by T. Luwawu-Cabarrot),,5,6
17,1,9:57.0,T. Luwawu-Cabarrot makes free throw 1 of 2,,6,6
18,1,9:57.0,T. Luwawu-Cabarrot makes free throw 2 of 2,,7,6
19,1,9:38.0,,L. James misses 2-pt layup at rim,7,6
20,1,9:35.0,,Offensive rebound by L. James,7,6
21,1,9:33.0,,L. James makes 2-pt layup from 1 ft,7,8
22,1,9:23.0,R. Holmes makes 2-pt layup from 1 ft (assist by T. McConnell),,9,8
23,1,9:10.0,,T. Thompson misses 2-pt hook shot from 9 ft,9,8
24,1,9:09.0,Defensive rebound by R. Holmes,,9,8
25,1,9:01.0,T. McConnell misses 2-pt jump shot from 17 ft,,9,8
26,1,9:00.0,Offensive rebound by J. Anderson,,9,8
27,1,9:00.0,J. Anderson makes 2-pt dunk at rim,,11,8
28,1,8:43.0,,K. Love misses 3-pt jump shot from 25 ft,11,8
29,1,8:43.0,,Offensive rebound by L. James,11,8
30,1,8:36.0,,K. Love makes 2-pt hook shot from 8 ft (assist by L. James),11,10
31,1,8:16.0,D. Šarić makes 2-pt jump shot from 6 ft (assist by J. Anderson),,13,10
32,1,8:02.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by K. Love),13,13
33,1,7:53.0,Personal foul by K. Love (drawn by R. Holmes),,13,13
34,1,7:44.0,Turnover by D. Šarić (bad pass; steal by K. Love),,13,13
35,1,7:42.0,,Shooting foul by J. Anderson (drawn by L. James),13,13
36,1,7:42.0,,L. James makes free throw 1 of 2,13,14
37,1,7:42.0,,L. James misses free throw 2 of 2,13,14
38,1,7:41.0,Defensive rebound by J. Anderson,,13,14
39,1,7:31.0,Turnover by R. Holmes (bad pass),,13,14
40,1,7:23.0,,K. Irving misses 2-pt jump shot from 14 ft,13,14
41,1,7:22.0,Defensive rebound by J. Anderson,,13,14
42,1,7:08.0,D. Šarić makes 2-pt jump shot from 11 ft,,15,14
43,1,6:53.0,,Shooting foul by T. McConnell (drawn by K. Irving),15,14
44,1,6:53.0,,K. Irving makes 2-pt layup from 1 ft (assist by L. James),15,16
45,1,6:53.0,N. Stauskas enters the game for T. Luwawu-Cabarrot,,15,16
46,1,6:53.0,,K. Irving makes free throw 1 of 1,15,17
47,1,6:39.0,R. Holmes makes 2-pt jump shot from 16 ft (assist by J. Anderson),,17,17
48,1,6:27.0,,K. Irving misses 2-pt jump shot from 15 ft,17,17
49,1,6:27.0,,Offensive rebound by T. Thompson,17,17
50,1,6:23.0,,J. Smith misses 3-pt jump shot from 24 ft,17,17
51,1,6:23.0,,Offensive rebound by K. Love,17,17
52,1,6:23.0,,Personal foul by T. McConnell (drawn by K. Love),17,17
53,1,6:23.0,G. Henderson enters the game for T. McConnell,,17,17
