,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MIAMI_ACTION,NEW YORK_SCORE,MIAMI_SCORE
0,1,11:41.0,K. Porziņģis makes 2-pt jump shot from 11 ft (assist by W. Hernangómez),,2,0
1,1,11:20.0,,L. Babbitt misses 3-pt jump shot from 26 ft,2,0
2,1,11:19.0,Defensive rebound by W. Hernangómez,,2,0
3,1,11:09.0,S. Vujačić misses 2-pt jump shot from 19 ft,,2,0
4,1,11:08.0,,Defensive rebound by R. McGruder,2,0
5,1,11:04.0,,R. McGruder misses 2-pt layup from 1 ft,2,0
6,1,11:03.0,Defensive rebound by W. Hernangómez,,2,0
7,1,10:49.0,S. Vujačić misses 3-pt jump shot from 25 ft,,2,0
8,1,10:48.0,Offensive rebound by K. Porziņģis,,2,0
9,1,10:44.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,2,0
10,1,10:43.0,,Defensive rebound by Team,2,0
11,1,10:24.0,,J. Richardson misses 2-pt jump shot from 16 ft,2,0
12,1,10:23.0,Defensive rebound by K. Porziņģis,,2,0
13,1,10:13.0,W. Hernangómez makes 2-pt layup from 1 ft (assist by C. Lee),,4,0
14,1,9:50.0,,L. Babbitt makes 2-pt jump shot from 16 ft,4,2
15,1,9:36.0,W. Hernangómez makes 2-pt layup from 2 ft (assist by R. Baker),,6,2
16,1,9:36.0,Shooting foul by H. Whiteside (drawn by W. Hernangómez),,6,2
17,1,9:36.0,W. Hernangómez makes free throw 1 of 1,,7,2
18,1,9:24.0,,G. Dragić misses 2-pt jump shot from 15 ft,7,2
19,1,9:23.0,Defensive rebound by W. Hernangómez,,7,2
20,1,9:15.0,K. Porziņģis misses 2-pt jump shot from 11 ft,,7,2
21,1,9:14.0,Offensive rebound by W. Hernangómez,,7,2
22,1,9:13.0,W. Hernangómez makes 2-pt layup from 1 ft,,9,2
23,1,9:03.0,,G. Dragić makes 2-pt layup from 1 ft,9,4
24,1,8:36.0,K. Porziņģis makes 3-pt jump shot from 24 ft (assist by S. Vujačić),,12,4
25,1,8:27.0,,G. Dragić misses 2-pt layup from 3 ft (block by R. Baker),12,4
26,1,8:26.0,Defensive rebound by W. Hernangómez,,12,4
27,1,8:14.0,R. Baker makes 3-pt jump shot from 25 ft (assist by S. Vujačić),,15,4
28,1,8:08.0,,Miami full timeout,15,4
29,1,7:59.0,,H. Whiteside makes 2-pt layup from 2 ft (assist by J. Richardson),15,6
30,1,7:40.0,C. Lee misses 2-pt jump shot from 12 ft,,15,6
31,1,7:39.0,,Defensive rebound by H. Whiteside,15,6
32,1,7:28.0,,Turnover by H. Whiteside (lost ball; steal by S. Vujačić),15,6
33,1,7:11.0,K. Porziņģis misses 2-pt jump shot from 17 ft,,15,6
34,1,7:10.0,,Defensive rebound by R. McGruder,15,6
35,1,7:02.0,,G. Dragić makes 3-pt jump shot from 25 ft,15,9
36,1,6:45.0,C. Lee makes 3-pt jump shot from 24 ft (assist by R. Baker),,18,9
37,1,6:28.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by R. McGruder),18,11
38,1,6:19.0,W. Hernangómez misses 2-pt jump shot from 12 ft,,18,11
39,1,6:18.0,Offensive rebound by W. Hernangómez,,18,11
40,1,6:14.0,W. Hernangómez misses 2-pt hook shot from 5 ft,,18,11
41,1,6:13.0,,Defensive rebound by R. McGruder,18,11
42,1,6:06.0,,L. Babbitt misses 3-pt jump shot from 24 ft,18,11
43,1,6:05.0,Defensive rebound by W. Hernangómez,,18,11
44,1,5:56.0,K. Porziņģis misses 3-pt jump shot from 24 ft,,18,11
45,1,5:55.0,,Defensive rebound by G. Dragić,18,11
46,1,5:49.0,,G. Dragić makes 2-pt jump shot from 5 ft,18,13
