,QUARTER,TIME_REMAINING,BOSTON_ACTION,CHICAGO_ACTION,BOSTON_SCORE,CHICAGO_SCORE
0,1,11:43.0,,J. Butler misses 2-pt layup from 2 ft,0,0
1,1,11:42.0,Defensive rebound by G. Green,,0,0
2,1,11:25.0,A. Horford makes 3-pt jump shot from 26 ft (assist by J. Crowder),,3,0
3,1,11:03.0,,D. Wade misses 2-pt jump shot from 15 ft,3,0
4,1,11:01.0,,Offensive rebound by R. Lopez,3,0
5,1,11:01.0,,R. Lopez makes 2-pt layup from 2 ft,3,2
6,1,10:41.0,I. Thomas misses 2-pt jump shot from 10 ft,,3,2
7,1,10:41.0,Offensive rebound by Team,,3,2
8,1,10:32.0,Turnover by J. Crowder (bad pass; steal by J. Grant),,3,2
9,1,10:20.0,,Shooting foul by G. Green (drawn by D. Wade),3,2
10,1,10:20.0,,D. Wade makes free throw 1 of 2,3,3
11,1,10:20.0,,D. Wade makes free throw 2 of 2,3,4
12,1,10:12.0,I. Thomas misses 2-pt layup from 2 ft,,3,4
13,1,10:11.0,,Defensive rebound by J. Butler,3,4
14,1,10:02.0,,J. Butler misses 2-pt jump shot from 21 ft,3,4
15,1,10:01.0,Defensive rebound by A. Bradley,,3,4
16,1,9:48.0,G. Green makes 2-pt layup from 3 ft (assist by I. Thomas),,5,4
17,1,9:30.0,,N. Mirotić misses 3-pt jump shot from 26 ft,5,4
18,1,9:28.0,Defensive rebound by A. Horford,,5,4
19,1,9:20.0,G. Green misses 3-pt jump shot from 25 ft,,5,4
20,1,9:19.0,,Defensive rebound by J. Butler,5,4
21,1,9:06.0,,Personal foul by I. Thomas (drawn by J. Grant),5,4
22,1,8:54.0,,J. Butler misses 2-pt jump shot from 17 ft,5,4
23,1,8:53.0,Defensive rebound by I. Thomas,,5,4
24,1,8:47.0,I. Thomas misses 3-pt jump shot from 25 ft,,5,4
25,1,8:47.0,,Defensive rebound by J. Butler,5,4
26,1,8:37.0,,D. Wade misses 3-pt jump shot from 25 ft,5,4
27,1,8:36.0,Defensive rebound by J. Crowder,,5,4
28,1,8:30.0,A. Bradley makes 3-pt jump shot from 26 ft (assist by J. Crowder),,8,4
29,1,8:15.0,,Turnover by J. Grant (bad pass),8,4
30,1,8:01.0,A. Bradley makes 3-pt jump shot from 26 ft (assist by I. Thomas),,11,4
31,1,7:36.0,,Turnover by J. Grant (bad pass; steal by A. Horford),11,4
32,1,7:33.0,Personal foul by J. Grant (drawn by A. Horford),,11,4
33,1,7:21.0,G. Green makes 3-pt jump shot from 24 ft (assist by I. Thomas),,14,4
34,1,7:21.0,,Chicago full timeout,14,4
35,1,7:13.0,,D. Wade makes 2-pt jump shot from 9 ft,14,6
36,1,6:56.0,J. Crowder misses 2-pt layup from 2 ft (block by N. Mirotić),,14,6
37,1,6:54.0,,Defensive rebound by N. Mirotić,14,6
38,1,6:38.0,,J. Butler misses 2-pt jump shot from 7 ft,14,6
39,1,6:36.0,Defensive rebound by I. Thomas,,14,6
40,1,6:25.0,I. Thomas misses 2-pt jump shot from 9 ft,,14,6
41,1,6:24.0,,Defensive rebound by J. Grant,14,6
42,1,6:19.0,,J. Grant makes 2-pt layup from 2 ft,14,8
43,1,5:52.0,A. Horford misses 2-pt jump shot from 11 ft,,14,8
44,1,5:51.0,,Defensive rebound by J. Butler,14,8
45,1,5:41.0,,D. Wade makes 2-pt layup from 2 ft,14,10
46,1,5:25.0,I. Thomas makes 2-pt layup from 1 ft,,16,10
47,1,5:05.0,,Turnover by J. Grant (bad pass; steal by A. Horford),16,10
48,1,5:02.0,Turnover by A. Horford (bad pass),,16,10
49,1,5:02.0,T. Rozier enters the game for G. Green,,16,10
50,1,5:02.0,M. Smart enters the game for I. Thomas,,16,10
51,1,4:46.0,,D. Wade misses 2-pt jump shot from 15 ft,16,10
52,1,4:46.0,Defensive rebound by M. Smart,,16,10
53,1,4:29.0,A. Horford makes 3-pt jump shot from 25 ft (assist by A. Bradley),,19,10
54,1,4:02.0,,R. Lopez misses 2-pt jump shot from 21 ft (block by A. Horford),19,10
55,1,4:00.0,Defensive rebound by T. Rozier,,19,10
56,1,3:54.0,Shooting foul by J. Grant (drawn by J. Crowder),,19,10
57,1,3:54.0,J. Crowder makes free throw 1 of 2,,20,10
58,1,3:54.0,,B. Portis enters the game for N. Mirotić,20,10
59,1,3:54.0,,M. Carter-Williams enters the game for J. Grant,20,10
60,1,3:54.0,,P. Zipser enters the game for D. Wade,20,10
61,1,3:54.0,J. Crowder makes free throw 2 of 2,,21,10
62,1,3:53.0,,Personal foul by T. Rozier (drawn by M. Carter-Williams),21,10
63,1,3:35.0,,B. Portis misses 3-pt jump shot from 23 ft,21,10
64,1,3:34.0,Defensive rebound by Team,,21,10
65,1,3:10.0,M. Smart misses 3-pt jump shot from 25 ft,,21,10
66,1,3:09.0,,Defensive rebound by B. Portis,21,10
67,1,2:52.0,,P. Zipser misses 3-pt jump shot from 23 ft,21,10
68,1,2:51.0,Defensive rebound by Team,,21,10
69,1,2:51.0,Boston full timeout,,21,10
70,1,2:51.0,A. Johnson enters the game for A. Horford,,21,10
71,1,2:51.0,,C. Felício enters the game for R. Lopez,21,10
72,1,2:37.0,J. Crowder makes 3-pt jump shot from 26 ft (assist by M. Smart),,24,10
73,1,2:19.0,,M. Carter-Williams misses 2-pt layup from 1 ft,24,10
74,1,2:18.0,Defensive rebound by J. Crowder,,24,10
75,1,2:18.0,Personal foul by M. Carter-Williams (drawn by J. Crowder),,24,10
76,1,2:04.0,J. Crowder makes 3-pt jump shot from 26 ft (assist by M. Smart),,27,10
77,1,1:38.0,,P. Zipser makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),27,13
78,1,1:27.0,Personal foul by B. Portis (drawn by J. Crowder),,27,13
79,1,1:18.0,A. Johnson makes 2-pt layup from 1 ft (assist by A. Bradley),,29,13
80,1,0:57.0,,J. Butler makes 2-pt jump shot from 11 ft,29,15
81,1,0:46.0,A. Bradley makes 2-pt layup from 2 ft (assist by M. Smart),,31,15
82,1,0:37.0,,Turnover by M. Carter-Williams (bad pass; steal by A. Bradley),31,15
83,1,0:31.0,J. Crowder makes 2-pt jump shot from 19 ft (assist by A. Bradley),,33,15
84,1,0:10.0,,J. Butler misses 2-pt jump shot from 11 ft,33,15
85,1,0:08.0,,Offensive rebound by B. Portis,33,15
86,1,0:07.0,,Turnover by B. Portis (lost ball; steal by A. Bradley),33,15
87,1,0:02.0,M. Smart misses 3-pt jump shot from 24 ft,,33,15
88,1,0:00.0,,Defensive rebound by C. Felício,33,15
89,2,11:44.0,I. Thomas makes 2-pt jump shot from 16 ft,,35,15
90,2,11:29.0,,Shooting foul by M. Smart (drawn by D. Wade),35,15
91,2,11:29.0,,D. Wade makes free throw 1 of 2,35,16
92,2,11:29.0,,D. Wade makes free throw 2 of 2,35,17
93,2,11:18.0,I. Thomas makes 2-pt layup from 1 ft (assist by A. Johnson),,37,17
94,2,11:03.0,,Turnover by P. Zipser (traveling),37,17
