,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,LA LAKERS_ACTION,LA CLIPPERS_SCORE,LA LAKERS_SCORE
0,1,11:38.0,J. Redick makes 2-pt jump shot from 17 ft (assist by B. Griffin),,2,0
1,1,11:19.0,,D. Russell misses 2-pt jump shot from 19 ft,2,0
2,1,11:15.0,Defensive rebound by C. Paul,,2,0
3,1,11:07.0,C. Paul makes 2-pt jump shot from 17 ft,,4,0
4,1,10:48.0,,J. Randle misses 2-pt jump shot from 16 ft,4,0
5,1,10:45.0,Defensive rebound by D. Jordan,,4,0
6,1,10:42.0,Personal foul by J. Clarkson,,4,0
7,1,10:26.0,B. Griffin misses 2-pt jump shot from 19 ft,,4,0
8,1,10:23.0,Offensive rebound by D. Jordan,,4,0
9,1,10:16.0,J. Redick makes 3-pt jump shot from 25 ft (assist by D. Jordan),,7,0
10,1,10:01.0,,I. Zubac makes 2-pt jump shot from 12 ft (assist by B. Ingram),7,2
11,1,9:39.0,B. Griffin misses 2-pt jump shot from 21 ft,,7,2
12,1,9:38.0,,Defensive rebound by I. Zubac,7,2
13,1,9:22.0,,I. Zubac misses 2-pt jump shot from 20 ft,7,2
14,1,9:21.0,Defensive rebound by C. Paul,,7,2
15,1,9:12.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,9,2
16,1,8:56.0,,J. Randle misses 2-pt jump shot from 20 ft,9,2
17,1,8:55.0,Defensive rebound by D. Jordan,,9,2
18,1,8:46.0,B. Griffin makes 2-pt layup from 1 ft (assist by C. Paul),,11,2
19,1,8:46.0,,LA Lakers full timeout,11,2
20,1,8:36.0,,Offensive foul by B. Ingram (drawn by L. Mbah a Moute),11,2
21,1,8:36.0,,Turnover by B. Ingram (offensive foul),11,2
22,1,8:22.0,J. Redick makes 2-pt jump shot from 6 ft (assist by C. Paul),,13,2
23,1,8:08.0,,Personal foul by J. Redick,13,2
24,1,8:04.0,,Turnover by D. Russell (bad pass; steal by C. Paul),13,2
25,1,7:56.0,C. Paul misses 3-pt jump shot from 24 ft,,13,2
26,1,7:55.0,,Defensive rebound by I. Zubac,13,2
27,1,7:38.0,,B. Ingram makes 2-pt layup from 3 ft,13,4
28,1,7:25.0,L. Mbah a Moute misses 3-pt jump shot from 23 ft,,13,4
29,1,7:23.0,,Defensive rebound by J. Clarkson,13,4
30,1,7:16.0,,I. Zubac misses 2-pt layup from 1 ft,13,4
31,1,7:15.0,Defensive rebound by J. Redick,,13,4
32,1,7:10.0,J. Redick makes 3-pt jump shot from 26 ft,,16,4
33,1,7:07.0,,Technical foul by Team,16,4
34,1,7:07.0,C. Paul makes technical free throw,,17,4
35,1,6:50.0,,I. Zubac makes 2-pt jump shot from 16 ft (assist by D. Russell),17,6
36,1,6:31.0,Turnover by J. Redick (offensive foul),,17,6
37,1,6:31.0,Offensive foul by J. Redick (drawn by B. Ingram),,17,6
38,1,6:31.0,J. Crawford enters the game for J. Redick,,17,6
39,1,6:20.0,,J. Randle makes 2-pt jump shot from 9 ft (assist by J. Clarkson),17,8
40,1,6:03.0,Turnover by D. Jordan (traveling),,17,8
41,1,5:57.0,,Personal foul by J. Crawford (drawn by J. Clarkson),17,8
42,1,5:50.0,,J. Clarkson misses 3-pt jump shot from 26 ft,17,8
43,1,5:49.0,Defensive rebound by C. Paul,,17,8
44,1,5:36.0,B. Griffin makes 3-pt jump shot from 25 ft (assist by J. Crawford),,20,8
45,1,5:24.0,,Shooting foul by D. Jordan (drawn by J. Clarkson),20,8
46,1,5:24.0,,J. Clarkson makes free throw 1 of 2,20,9
47,1,5:24.0,A. Rivers enters the game for L. Mbah a Moute,,20,9
48,1,5:24.0,,J. Clarkson makes free throw 2 of 2,20,10
49,1,5:06.0,C. Paul makes 2-pt jump shot from 16 ft,,22,10
50,1,4:52.0,,I. Zubac makes 2-pt dunk at rim (assist by J. Clarkson),22,12
51,1,4:35.0,C. Paul makes 3-pt jump shot from 25 ft (assist by B. Griffin),,25,12
52,1,4:21.0,,B. Ingram makes 2-pt layup from 1 ft (assist by J. Clarkson),25,14
53,1,4:03.0,C. Paul misses 2-pt jump shot from 7 ft,,25,14
54,1,3:59.0,Offensive rebound by D. Jordan,,25,14
55,1,3:59.0,D. Jordan misses 2-pt layup from 1 ft,,25,14
56,1,3:55.0,Offensive rebound by D. Jordan,,25,14
57,1,3:55.0,D. Jordan misses 2-pt layup from 2 ft,,25,14
58,1,3:53.0,Offensive rebound by D. Jordan,,25,14
59,1,3:53.0,D. Jordan makes 2-pt dunk at rim,,27,14
60,1,3:44.0,,I. Zubac makes 2-pt dunk at rim (assist by J. Randle),27,16
61,1,3:36.0,LA Clippers full timeout,,27,16
62,1,3:36.0,,D. Nwaba enters the game for J. Clarkson,27,16
63,1,3:24.0,B. Griffin misses 3-pt jump shot from 26 ft,,27,16
64,1,3:23.0,Offensive rebound by D. Jordan,,27,16
65,1,3:22.0,D. Jordan misses 2-pt layup from 2 ft,,27,16
66,1,3:19.0,Offensive rebound by D. Jordan,,27,16
67,1,3:15.0,,Violation by D. Nwaba (kicked ball),27,16
68,1,3:15.0,M. Speights enters the game for D. Jordan,,27,16
69,1,3:04.0,A. Rivers misses 3-pt jump shot from 24 ft,,27,16
70,1,3:03.0,,Defensive rebound by I. Zubac,27,16
71,1,2:50.0,,D. Russell makes 2-pt jump shot from 19 ft (assist by J. Randle),27,18
72,1,2:39.0,J. Crawford misses 3-pt jump shot from 25 ft,,27,18
73,1,2:37.0,Offensive rebound by M. Speights,,27,18
74,1,2:28.0,C. Paul makes 2-pt jump shot from 19 ft,,29,18
75,1,2:13.0,,I. Zubac misses 2-pt jump shot from 17 ft,29,18
76,1,2:11.0,Defensive rebound by A. Rivers,,29,18
77,1,1:58.0,C. Paul makes 2-pt jump shot from 15 ft (assist by B. Griffin),,31,18
78,1,1:48.0,,D. Russell makes 2-pt jump shot from 17 ft,31,20
79,1,1:30.0,M. Speights misses 3-pt jump shot from 25 ft,,31,20
80,1,1:29.0,,Defensive rebound by D. Nwaba,31,20
81,1,1:16.0,Offensive charge foul by J. Randle (drawn by M. Speights),,31,20
82,1,1:16.0,,Turnover by J. Randle (offensive foul),31,20
83,1,1:16.0,,L. Nance enters the game for I. Zubac,31,20
84,1,1:16.0,R. Felton enters the game for C. Paul,,31,20
85,1,1:00.0,B. Griffin misses 3-pt jump shot from 26 ft,,31,20
86,1,0:59.0,,Defensive rebound by B. Ingram,31,20
87,1,0:54.0,,B. Ingram misses 2-pt layup from 1 ft,31,20
88,1,0:54.0,,Offensive rebound by L. Nance,31,20
89,1,0:54.0,,L. Nance makes 2-pt layup from 2 ft,31,22
90,1,0:39.0,Turnover by B. Griffin (lost ball; steal by B. Ingram),,31,22
91,1,0:36.0,,Personal foul by M. Speights (drawn by L. Nance),31,22
92,1,0:36.0,P. Pierce enters the game for B. Griffin,,31,22
93,1,0:29.0,,B. Ingram makes 2-pt layup from 2 ft (assist by D. Russell),31,24
94,1,0:04.0,A. Rivers makes 2-pt layup from 2 ft,,33,24
95,1,0:01.0,,J. Randle misses 3-pt jump shot from 26 ft,33,24
96,1,0:00.0,,Offensive rebound by Team,33,24
97,2,11:41.0,,C. Brewer misses 2-pt jump shot from 9 ft,33,24
98,2,11:39.0,Defensive rebound by P. Pierce,,33,24
99,2,11:34.0,J. Crawford makes 2-pt jump shot from 22 ft,,35,24
100,2,11:26.0,,D. Nwaba misses 2-pt layup from 1 ft,35,24
101,2,11:25.0,Defensive rebound by M. Speights,,35,24
102,2,11:12.0,M. Speights misses 2-pt jump shot from 5 ft,,35,24
103,2,11:05.0,,Defensive rebound by J. Clarkson,35,24
104,2,10:47.0,,Turnover by Team (shot clock),35,24
105,2,10:24.0,J. Crawford makes 3-pt jump shot from 30 ft (assist by A. Rivers),,38,24
106,2,10:11.0,,L. Nance misses 2-pt jump shot from 11 ft,38,24
107,2,10:08.0,Defensive rebound by M. Speights,,38,24
108,2,9:54.0,J. Crawford makes 2-pt jump shot from 19 ft,,40,24
109,2,9:36.0,,B. Ingram makes 2-pt layup from 2 ft,40,26
110,2,9:21.0,A. Rivers makes 2-pt layup from 1 ft,,42,26
111,2,9:21.0,,LA Lakers full timeout,42,26
112,2,9:21.0,,T. Black enters the game for B. Ingram,42,26
113,2,9:07.0,,Def 3 sec tech foul by J. Crawford,42,26
114,2,9:07.0,,J. Clarkson makes technical free throw,42,27
115,2,8:59.0,,T. Black misses 2-pt layup from 3 ft,42,27
116,2,8:57.0,Defensive rebound by P. Pierce,,42,27
117,2,8:45.0,A. Rivers makes 2-pt layup from 2 ft,,44,27
118,2,8:26.0,,J. Clarkson misses 2-pt jump shot from 11 ft,44,27
119,2,8:25.0,,Offensive rebound by T. Black,44,27
120,2,8:23.0,,T. Black misses 2-pt layup from 3 ft,44,27
121,2,8:22.0,Defensive rebound by Team,,44,27
122,2,8:03.0,A. Rivers makes 3-pt jump shot from 25 ft,,47,27
123,2,7:56.0,,Turnover by J. Clarkson (bad pass),47,27
124,2,7:41.0,A. Rivers misses 3-pt jump shot from 26 ft,,47,27
125,2,7:40.0,,Defensive rebound by D. Nwaba,47,27
126,2,7:31.0,,Shooting foul by P. Pierce (drawn by C. Brewer),47,27
127,2,7:31.0,,C. Brewer misses free throw 1 of 2,47,27
128,2,7:31.0,,Offensive rebound by Team,47,27
129,2,7:31.0,,C. Brewer misses free throw 2 of 2,47,27
130,2,7:30.0,Defensive rebound by J. Crawford,,47,27
131,2,7:19.0,J. Crawford makes 2-pt jump shot from 21 ft,,49,27
132,2,7:03.0,,C. Brewer makes 2-pt jump shot from 2 ft,49,29
133,2,6:44.0,J. Crawford misses 3-pt jump shot from 25 ft,,49,29
134,2,6:43.0,Offensive rebound by M. Speights,,49,29
