,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DENVER_ACTION,NEW ORLEANS_SCORE,DENVER_SCORE
0,1,11:37.0,S. Hill misses 3-pt jump shot from 26 ft,,0,0
1,1,11:36.0,,Defensive rebound by N. Jokić,0,0
2,1,11:27.0,,N. Jokić makes 2-pt dunk at rim (assist by W. Chandler),0,2
3,1,11:15.0,A. Davis makes 2-pt jump shot from 17 ft (assist by J. Holiday),,2,2
4,1,10:56.0,,N. Jokić misses 2-pt hook shot from 5 ft,2,2
5,1,10:55.0,,Offensive rebound by N. Jokić,2,2
6,1,10:47.0,,N. Jokić makes 2-pt hook shot from 6 ft,2,4
7,1,10:35.0,J. Holiday makes 3-pt jump shot from 25 ft,,5,4
8,1,10:20.0,,N. Jokić makes 2-pt dunk at rim (assist by J. Nelson),5,6
9,1,10:08.0,,Violation by G. Harris (kicked ball),5,6
10,1,10:01.0,Shooting foul by W. Chandler (drawn by A. Davis),,5,6
11,1,10:01.0,A. Davis makes free throw 1 of 2,,6,6
12,1,10:01.0,A. Davis makes free throw 2 of 2,,7,6
13,1,10:00.0,,Personal foul by S. Hill (drawn by D. Gallinari),7,6
14,1,9:44.0,,G. Harris makes 2-pt dunk at rim (assist by N. Jokić),7,8
15,1,9:39.0,New Orleans full timeout,,7,8
16,1,9:31.0,A. Davis misses 2-pt jump shot from 19 ft,,7,8
17,1,9:30.0,,Defensive rebound by J. Nelson,7,8
18,1,9:20.0,,W. Chandler misses 3-pt jump shot from 24 ft,7,8
19,1,9:19.0,Defensive rebound by Team,,7,8
20,1,9:05.0,D. Cunningham misses 2-pt jump shot from 9 ft,,7,8
21,1,9:04.0,,Defensive rebound by N. Jokić,7,8
22,1,8:57.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by G. Harris),7,11
23,1,8:57.0,,Shooting foul by A. Davis (drawn by D. Gallinari),7,11
24,1,8:57.0,,D. Gallinari makes free throw 1 of 1,7,12
25,1,8:42.0,J. Holiday misses 3-pt jump shot from 24 ft,,7,12
26,1,8:42.0,,Defensive rebound by D. Gallinari,7,12
27,1,8:30.0,,W. Chandler makes 2-pt layup from 1 ft (assist by J. Nelson),7,14
28,1,8:18.0,S. Hill makes 3-pt jump shot from 25 ft (assist by A. Davis),,10,14
29,1,7:59.0,,G. Harris makes 2-pt jump shot from 14 ft (assist by W. Chandler),10,16
30,1,7:42.0,J. Holiday misses 2-pt layup from 2 ft,,10,16
31,1,7:42.0,,Defensive rebound by N. Jokić,10,16
32,1,7:32.0,,W. Chandler misses 2-pt jump shot from 15 ft,10,16
33,1,7:31.0,Defensive rebound by A. Davis,,10,16
34,1,7:16.0,A. Davis makes 2-pt layup from 3 ft (assist by J. Holiday),,12,16
35,1,7:04.0,,G. Harris makes 3-pt jump shot from 24 ft (assist by J. Nelson),12,19
36,1,6:48.0,J. Holiday misses 3-pt jump shot from 25 ft,,12,19
37,1,6:48.0,,Defensive rebound by N. Jokić,12,19
38,1,6:38.0,,Turnover by J. Nelson (lost ball; steal by J. Holiday),12,19
39,1,6:25.0,D. Cunningham misses 3-pt jump shot from 23 ft,,12,19
40,1,6:25.0,,Defensive rebound by J. Nelson,12,19
41,1,6:17.0,,D. Gallinari misses 3-pt jump shot from 25 ft,12,19
42,1,6:16.0,Defensive rebound by A. Davis,,12,19
43,1,6:11.0,Shooting foul by D. Gallinari (drawn by A. Davis),,12,19
44,1,6:11.0,A. Davis makes free throw 1 of 2,,13,19
45,1,6:11.0,A. Davis misses free throw 2 of 2,,13,19
46,1,6:11.0,E. Moore enters the game for T. Frazier,,13,19
47,1,6:10.0,,Defensive rebound by N. Jokić,13,19
48,1,5:55.0,,Turnover by G. Harris (bad pass),13,19
49,1,5:55.0,D. Motiejūnas enters the game for D. Cunningham,,13,19
50,1,5:38.0,D. Motiejūnas makes 2-pt hook shot from 7 ft (assist by E. Moore),,15,19
51,1,5:22.0,,W. Chandler makes 2-pt jump shot from 10 ft,15,21
52,1,5:05.0,E. Moore misses 2-pt jump shot from 20 ft,,15,21
53,1,5:05.0,,Defensive rebound by J. Nelson,15,21
54,1,4:56.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by J. Nelson),15,24
55,1,4:40.0,S. Hill misses 2-pt jump shot from 19 ft,,15,24
56,1,4:39.0,,Defensive rebound by J. Nelson,15,24
57,1,4:34.0,,D. Gallinari misses 2-pt layup from 2 ft,15,24
58,1,4:33.0,Defensive rebound by J. Holiday,,15,24
59,1,4:23.0,D. Motiejūnas makes 3-pt jump shot from 25 ft (assist by A. Davis),,18,24
60,1,4:23.0,,Denver full timeout,18,24
61,1,4:23.0,,W. Barton enters the game for D. Gallinari,18,24
62,1,4:03.0,,G. Harris misses 3-pt jump shot from 25 ft,18,24
63,1,4:01.0,Defensive rebound by S. Hill,,18,24
64,1,3:49.0,Turnover by D. Motiejūnas (bad pass),,18,24
65,1,3:32.0,,N. Jokić misses 3-pt jump shot from 26 ft,18,24
66,1,3:31.0,Defensive rebound by A. Davis,,18,24
67,1,3:19.0,A. Davis misses 3-pt jump shot from 26 ft,,18,24
