,QUARTER,TIME_REMAINING,DENVER_ACTION,OKLAHOMA CITY_ACTION,DENVER_SCORE,OKLAHOMA CITY_SCORE
0,1,11:44.0,,Turnover by R. Westbrook (bad pass; steal by J. Nurkić),0,0
1,1,11:29.0,D. Gallinari misses 3-pt jump shot from 25 ft,,0,0
2,1,11:29.0,,Defensive rebound by S. Adams,0,0
3,1,11:16.0,,V. Oladipo misses 3-pt jump shot from 23 ft,0,0
4,1,11:16.0,Defensive rebound by W. Barton,,0,0
5,1,11:11.0,Personal foul by S. Adams (drawn by J. Nurkić),,0,0
6,1,10:57.0,D. Gallinari misses 2-pt jump shot from 12 ft,,0,0
7,1,10:56.0,Offensive rebound by J. Nurkić,,0,0
8,1,10:56.0,J. Nurkić misses 2-pt layup from 2 ft,,0,0
9,1,10:55.0,Offensive rebound by J. Nurkić,,0,0
10,1,10:55.0,J. Nurkić makes 2-pt layup from 1 ft,,2,0
11,1,10:40.0,,S. Adams makes 2-pt layup from 1 ft (assist by V. Oladipo),2,2
12,1,10:16.0,E. Mudiay misses 2-pt jump shot from 8 ft (block by S. Adams),,2,2
13,1,10:16.0,Offensive rebound by Team,,2,2
14,1,10:14.0,D. Arthur misses 2-pt jump shot from 15 ft,,2,2
15,1,10:13.0,Offensive rebound by E. Mudiay,,2,2
16,1,10:09.0,W. Barton makes 3-pt jump shot from 27 ft (assist by E. Mudiay),,5,2
17,1,9:55.0,,V. Oladipo misses 3-pt jump shot from 24 ft,5,2
18,1,9:54.0,Defensive rebound by J. Nurkić,,5,2
19,1,9:43.0,J. Nurkić misses 2-pt hook shot from 4 ft,,5,2
20,1,9:43.0,,Defensive rebound by R. Westbrook,5,2
21,1,9:38.0,,V. Oladipo makes 2-pt layup from 2 ft (assist by R. Westbrook),5,4
22,1,9:28.0,D. Arthur makes 3-pt jump shot from 25 ft (assist by E. Mudiay),,8,4
23,1,9:07.0,,D. Sabonis makes 2-pt layup from 1 ft,8,6
24,1,8:55.0,Personal foul by D. Sabonis (drawn by D. Gallinari),,8,6
25,1,8:48.0,D. Gallinari misses 2-pt jump shot from 11 ft,,8,6
