,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,BOSTON_ACTION,SAN ANTONIO_SCORE,BOSTON_SCORE
0,1,11:38.0,L. Aldridge misses 2-pt jump shot from 16 ft,,0,0
1,1,11:37.0,,Defensive rebound by A. Bradley,0,0
2,1,11:11.0,,A. Johnson misses 2-pt layup from 2 ft,0,0
3,1,11:10.0,Defensive rebound by D. Green,,0,0
4,1,10:54.0,P. Gasol misses 2-pt jump shot from 16 ft (block by A. Horford),,0,0
5,1,10:53.0,,Defensive rebound by A. Bradley,0,0
6,1,10:45.0,,A. Horford misses 3-pt jump shot from 25 ft,0,0
7,1,10:44.0,Defensive rebound by T. Parker,,0,0
8,1,10:33.0,P. Gasol misses 2-pt jump shot from 21 ft (block by A. Horford),,0,0
9,1,10:31.0,,Defensive rebound by A. Bradley,0,0
10,1,10:22.0,,A. Bradley makes 2-pt layup from 2 ft,0,2
11,1,9:59.0,K. Leonard makes 3-pt jump shot from 26 ft (assist by T. Parker),,3,2
12,1,9:35.0,,A. Horford makes 2-pt dunk at rim (assist by J. Crowder),3,4
13,1,9:12.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Leonard),,6,4
14,1,8:52.0,,I. Thomas makes 2-pt layup from 1 ft (assist by A. Horford),6,6
15,1,8:34.0,T. Parker makes 2-pt jump shot from 6 ft,,8,6
16,1,8:18.0,,A. Horford misses 3-pt jump shot from 25 ft,8,6
17,1,8:17.0,Defensive rebound by P. Gasol,,8,6
18,1,8:13.0,Turnover by K. Leonard (lost ball; steal by J. Crowder),,8,6
19,1,7:58.0,,A. Bradley makes 3-pt jump shot from 23 ft,8,9
20,1,7:42.0,L. Aldridge misses 2-pt jump shot from 6 ft,,8,9
21,1,7:41.0,,Defensive rebound by A. Horford,8,9
22,1,7:34.0,,A. Bradley misses 2-pt layup from 2 ft (block by D. Green),8,9
23,1,7:33.0,,Offensive rebound by A. Bradley,8,9
24,1,7:29.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by A. Bradley),8,12
25,1,7:13.0,T. Parker misses 2-pt jump shot from 19 ft,,8,12
26,1,7:12.0,,Defensive rebound by I. Thomas,8,12
27,1,7:05.0,,Shooting foul by K. Leonard (drawn by I. Thomas),8,12
28,1,7:05.0,,I. Thomas misses free throw 1 of 2,8,12
29,1,7:05.0,,Offensive rebound by Team,8,12
30,1,7:05.0,,I. Thomas makes free throw 2 of 2,8,13
31,1,6:50.0,Turnover by T. Parker (traveling),,8,13
32,1,6:40.0,,A. Bradley makes 2-pt dunk at rim (assist by I. Thomas),8,15
33,1,6:40.0,San Antonio full timeout,,8,15
34,1,6:40.0,P. Mills enters the game for L. Aldridge,,8,15
35,1,6:40.0,D. Lee enters the game for P. Gasol,,8,15
36,1,6:40.0,D. Bertāns enters the game for T. Parker,,8,15
37,1,6:24.0,P. Mills makes 2-pt jump shot from 21 ft (assist by D. Lee),,10,15
38,1,6:09.0,,J. Crowder makes 3-pt jump shot from 26 ft (assist by I. Thomas),10,18
39,1,5:54.0,K. Leonard misses 2-pt hook shot from 11 ft,,10,18
40,1,5:52.0,Offensive rebound by K. Leonard,,10,18
41,1,5:48.0,K. Leonard misses 2-pt hook shot from 7 ft,,10,18
42,1,5:47.0,,Defensive rebound by A. Horford,10,18
43,1,5:36.0,,J. Crowder makes 2-pt jump shot from 16 ft (assist by A. Horford),10,20
44,1,5:18.0,D. Lee misses 2-pt layup from 1 ft (block by A. Johnson),,10,20
45,1,5:17.0,,Defensive rebound by A. Bradley,10,20
46,1,5:08.0,,J. Crowder makes 2-pt layup from 1 ft (assist by A. Horford),10,22
47,1,4:51.0,Turnover by P. Mills (bad pass; steal by A. Johnson),,10,22
48,1,4:45.0,,A. Bradley misses 2-pt jump shot from 5 ft (block by D. Green),10,22
49,1,4:45.0,,Offensive rebound by Team,10,22
50,1,4:45.0,,J. Jerebko enters the game for A. Johnson,10,22
51,1,4:45.0,,M. Smart enters the game for J. Crowder,10,22
52,1,4:45.0,J. Simmons enters the game for D. Green,,10,22
53,1,4:45.0,M. Ginóbili enters the game for K. Leonard,,10,22
54,1,4:42.0,,A. Bradley makes 2-pt layup from 1 ft (assist by M. Smart),10,24
55,1,4:25.0,Turnover by P. Mills (bad pass),,10,24
56,1,4:12.0,,Turnover by I. Thomas (discontinued dribble),10,24
57,1,3:59.0,Turnover by D. Lee (lost ball),,10,24
58,1,3:50.0,,I. Thomas misses 2-pt layup from 2 ft,10,24
59,1,3:50.0,Defensive rebound by D. Lee,,10,24
60,1,3:39.0,D. Lee makes 2-pt dunk at rim (assist by J. Simmons),,12,24
61,1,3:22.0,,Turnover by A. Horford (bad pass; steal by P. Mills),12,24
62,1,3:16.0,M. Ginóbili misses 3-pt jump shot from 26 ft,,12,24
63,1,3:15.0,Offensive rebound by D. Lee,,12,24
64,1,3:13.0,D. Lee makes 2-pt layup from 1 ft,,14,24
65,1,3:11.0,,Boston full timeout,14,24
66,1,3:11.0,,T. Rozier enters the game for A. Horford,14,24
67,1,3:11.0,,K. Olynyk enters the game for A. Bradley,14,24
68,1,2:50.0,,I. Thomas misses 3-pt jump shot from 25 ft,14,24
69,1,2:49.0,,Offensive rebound by M. Smart,14,24
70,1,2:44.0,,M. Smart makes 2-pt jump shot from 5 ft,14,26
71,1,2:44.0,P. Mills misses 3-pt jump shot from 25 ft,,14,26
72,1,2:44.0,Offensive rebound by Team,,14,26
73,1,2:37.0,Personal foul by M. Smart (drawn by M. Ginóbili),,14,26
74,1,2:30.0,M. Ginóbili misses 2-pt jump shot from 12 ft,,14,26
75,1,2:28.0,Offensive rebound by D. Lee,,14,26
76,1,2:27.0,D. Lee misses 2-pt layup from 1 ft,,14,26
77,1,2:25.0,,Defensive rebound by J. Jerebko,14,26
78,1,2:10.0,,J. Jerebko makes 2-pt jump shot from 22 ft (assist by I. Thomas),14,28
79,1,1:54.0,D. Bertāns makes 2-pt jump shot from 21 ft (assist by M. Ginóbili),,16,28
80,1,1:44.0,,Turnover by M. Smart (bad pass; steal by D. Bertāns),16,28
81,1,1:41.0,D. Bertāns makes 2-pt dunk at rim,,18,28
82,1,1:15.0,,Turnover by T. Rozier (bad pass; steal by J. Simmons),18,28
83,1,1:09.0,J. Simmons misses 2-pt layup at rim,,18,28
84,1,1:08.0,Offensive rebound by D. Lee,,18,28
85,1,1:08.0,D. Lee makes 2-pt layup at rim,,20,28
86,1,0:55.0,,I. Thomas makes 2-pt jump shot from 18 ft (assist by M. Smart),20,30
87,1,0:45.0,P. Mills makes 2-pt jump shot from 19 ft,,22,30
88,1,0:28.0,,Shooting foul by J. Simmons (drawn by I. Thomas),22,30
89,1,0:28.0,,I. Thomas makes free throw 1 of 2,22,31
90,1,0:28.0,,I. Thomas makes free throw 2 of 2,22,32
91,1,0:05.0,M. Ginóbili misses 3-pt jump shot from 25 ft,,22,32
92,1,0:05.0,,Defensive rebound by T. Rozier,22,32
93,1,0:01.0,,T. Rozier misses 3-pt jump shot from 30 ft,22,32
94,1,0:00.0,,Offensive rebound by Team,22,32
95,2,11:51.0,,Shooting foul by D. Green (drawn by M. Smart),22,32
96,2,11:51.0,,M. Smart makes free throw 1 of 2,22,33
97,2,11:51.0,,A. Johnson enters the game for J. Jerebko,22,33
98,2,11:51.0,,M. Smart makes free throw 2 of 2,22,34
99,2,11:33.0,L. Aldridge misses 2-pt jump shot from 20 ft,,22,34
100,2,11:32.0,,Defensive rebound by J. Brown,22,34
101,2,11:19.0,,M. Smart misses 3-pt jump shot from 25 ft,22,34
102,2,11:17.0,Defensive rebound by P. Gasol,,22,34
103,2,10:57.0,Personal foul by T. Rozier (drawn by L. Aldridge),,22,34
104,2,10:48.0,D. Green makes 3-pt jump shot from 24 ft (assist by P. Gasol),,25,34
105,2,10:31.0,,J. Brown makes 2-pt jump shot from 5 ft,25,36
106,2,10:31.0,,Shooting foul by L. Aldridge (drawn by J. Brown),25,36
107,2,10:31.0,,J. Brown misses free throw 1 of 1,25,36
108,2,10:30.0,,Offensive rebound by K. Olynyk,25,36
109,2,10:12.0,,K. Olynyk makes 2-pt jump shot from 5 ft (assist by M. Smart),25,38
110,2,9:57.0,P. Gasol misses 2-pt jump shot from 21 ft,,25,38
111,2,9:56.0,Offensive rebound by L. Aldridge,,25,38
112,2,9:49.0,Shooting foul by A. Johnson (drawn by L. Aldridge),,25,38
113,2,9:49.0,L. Aldridge misses free throw 1 of 2,,25,38
114,2,9:49.0,Offensive rebound by Team,,25,38
115,2,9:49.0,L. Aldridge misses free throw 2 of 2,,25,38
116,2,9:49.0,,Defensive rebound by A. Johnson,25,38
117,2,9:49.0,,A. Bradley enters the game for M. Smart,25,38
118,2,9:34.0,,J. Brown misses 2-pt layup from 2 ft,25,38
119,2,9:34.0,Defensive rebound by P. Gasol,,25,38
120,2,9:19.0,K. Leonard misses 2-pt jump shot from 18 ft,,25,38
121,2,9:17.0,,Defensive rebound by A. Bradley,25,38
122,2,9:07.0,,A. Johnson misses 2-pt layup from 3 ft (block by D. Green),25,38
123,2,9:06.0,Defensive rebound by Team,,25,38
124,2,9:06.0,,Loose ball foul by A. Johnson (drawn by D. Green),25,38
125,2,8:56.0,Official timeout,,25,38
126,2,8:52.0,T. Parker misses 2-pt jump shot from 7 ft,,25,38
127,2,8:51.0,,Defensive rebound by T. Rozier,25,38
128,2,8:34.0,,K. Olynyk misses 2-pt jump shot from 16 ft,25,38
129,2,8:33.0,Defensive rebound by K. Leonard,,25,38
130,2,8:16.0,D. Green misses 3-pt jump shot from 25 ft,,25,38
131,2,8:15.0,,Defensive rebound by J. Brown,25,38
132,2,7:58.0,,A. Bradley misses 2-pt jump shot from 7 ft,25,38
133,2,7:57.0,Defensive rebound by L. Aldridge,,25,38
134,2,7:49.0,Shooting foul by J. Brown (drawn by K. Leonard),,25,38
135,2,7:49.0,K. Leonard makes free throw 1 of 2,,26,38
136,2,7:49.0,,A. Horford enters the game for K. Olynyk,26,38
137,2,7:49.0,D. Bertāns enters the game for P. Gasol,,26,38
138,2,7:49.0,K. Leonard makes free throw 2 of 2,,27,38
139,2,7:38.0,,Turnover by A. Johnson (bad pass),27,38
140,2,7:27.0,Turnover by K. Leonard (traveling),,27,38
141,2,7:27.0,Violation by Team (delay of game),,27,38
142,2,7:14.0,,Turnover by A. Horford (bad pass; steal by T. Parker),27,38
143,2,6:58.0,D. Bertāns makes 3-pt jump shot from 25 ft (assist by T. Parker),,30,38
