,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PHILADELPHIA_ACTION,NEW ORLEANS_SCORE,PHILADELPHIA_SCORE
0,1,11:44.0,,Turnover by R. Covington (bad pass),0,0
1,1,11:30.0,A. Davis makes 2-pt dunk at rim (assist by J. Holiday),,2,0
2,1,11:14.0,,J. Embiid makes 2-pt jump shot from 4 ft (assist by R. Covington),2,2
3,1,10:59.0,A. Davis misses 2-pt jump shot from 17 ft,,2,2
4,1,10:57.0,,Defensive rebound by S. Rodríguez,2,2
5,1,10:48.0,,Shooting foul by A. Davis (drawn by J. Embiid),2,2
6,1,10:48.0,,J. Embiid makes free throw 1 of 2,2,3
7,1,10:48.0,,J. Embiid makes free throw 2 of 2,2,4
8,1,10:28.0,A. Davis misses 2-pt jump shot from 16 ft,,2,4
9,1,10:26.0,,Defensive rebound by J. Okafor,2,4
10,1,10:15.0,,R. Covington makes 3-pt jump shot from 23 ft (assist by S. Rodríguez),2,7
11,1,10:04.0,A. Davis misses 2-pt hook shot from 6 ft,,2,7
12,1,10:02.0,,Defensive rebound by J. Okafor,2,7
13,1,9:47.0,,J. Embiid misses 2-pt jump shot from 16 ft,2,7
14,1,9:45.0,Defensive rebound by A. Ajinça,,2,7
15,1,9:35.0,J. Holiday misses 2-pt jump shot from 11 ft,,2,7
16,1,9:33.0,,Defensive rebound by J. Okafor,2,7
17,1,9:21.0,,G. Henderson misses 3-pt jump shot from 25 ft,2,7
18,1,9:20.0,Defensive rebound by J. Holiday,,2,7
19,1,9:11.0,Def 3 sec tech foul by R. Covington,,2,7
20,1,9:11.0,A. Davis makes technical free throw,,3,7
21,1,9:06.0,B. Hield makes 2-pt layup from 1 ft (assist by J. Holiday),,5,7
22,1,8:48.0,,S. Rodríguez misses 3-pt jump shot from 26 ft,5,7
23,1,8:47.0,,Offensive rebound by Team,5,7
24,1,8:42.0,,Personal foul by J. Holiday (drawn by S. Rodríguez),5,7
25,1,8:32.0,,G. Henderson misses 2-pt jump shot from 6 ft,5,7
26,1,8:30.0,Defensive rebound by A. Ajinça,,5,7
27,1,8:13.0,B. Hield misses 2-pt jump shot from 19 ft,,5,7
28,1,8:12.0,,Defensive rebound by J. Embiid,5,7
29,1,8:05.0,Offensive charge foul by J. Embiid (drawn by A. Ajinça),,5,7
30,1,8:05.0,,Turnover by J. Embiid (offensive foul),5,7
31,1,7:55.0,J. Holiday misses 3-pt jump shot from 26 ft,,5,7
32,1,7:54.0,,Defensive rebound by G. Henderson,5,7
33,1,7:42.0,,Def 3 sec tech foul by B. Hield,5,7
34,1,7:42.0,,S. Rodríguez misses technical free throw,5,7
35,1,7:42.0,,Offensive rebound by Team,5,7
